,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.816,0.089,0.647,0.973,0.005,0.004,318.0,374.0,1.01
Ds[0],33.902,0.087,33.735,34.059,0.005,0.004,299.0,408.0,1.01
RV[0],1.723,0.281,1.205,2.235,0.016,0.011,313.0,439.0,1.01
"eps[0, 0]",0.112,0.046,0.026,0.2,0.002,0.001,484.0,617.0,1.0
"eps[1, 0]",-0.126,0.073,-0.264,0.012,0.003,0.002,645.0,637.0,1.0
"eps[2, 0]",0.054,0.045,-0.022,0.145,0.002,0.001,692.0,708.0,1.0
"eps[3, 0]",-0.111,0.036,-0.18,-0.043,0.001,0.001,650.0,735.0,1.0
"eps[4, 0]",0.072,0.035,0.0,0.132,0.001,0.001,568.0,732.0,1.01
"eps[5, 0]",-0.073,0.151,-0.381,0.188,0.005,0.004,876.0,680.0,1.0
"eps[6, 0]",0.179,0.044,0.09,0.26,0.002,0.001,595.0,694.0,1.0
"eps[7, 0]",0.039,0.037,-0.023,0.115,0.002,0.001,375.0,587.0,1.01
"eps[8, 0]",0.1,0.058,-0.009,0.209,0.003,0.002,498.0,607.0,1.01
"eps[9, 0]",0.034,0.037,-0.028,0.107,0.002,0.001,416.0,548.0,1.0
"eps[10, 0]",0.019,0.034,-0.046,0.077,0.001,0.001,677.0,836.0,1.0
"eps[11, 0]",0.041,0.027,-0.012,0.088,0.001,0.001,752.0,728.0,1.0
"eps[12, 0]",0.005,0.02,-0.029,0.045,0.001,0.001,490.0,659.0,1.0
"eps[13, 0]",0.011,0.023,-0.034,0.051,0.001,0.001,454.0,608.0,1.01
"eps[14, 0]",-0.039,0.12,-0.232,0.202,0.004,0.004,913.0,841.0,1.0
"eps[15, 0]",0.12,0.046,0.03,0.202,0.002,0.001,646.0,700.0,1.01
"eps[16, 0]",0.055,0.027,0.003,0.102,0.001,0.001,420.0,600.0,1.0
"eps[17, 0]",-0.001,0.044,-0.081,0.081,0.002,0.002,374.0,596.0,1.0
"eps[18, 0]",0.078,0.03,0.028,0.141,0.001,0.001,489.0,709.0,1.01
"eps[19, 0]",0.024,0.033,-0.039,0.085,0.001,0.001,585.0,618.0,1.0
"eps[20, 0]",-0.027,0.02,-0.069,0.006,0.001,0.001,472.0,594.0,1.01
"eps[21, 0]",-0.115,0.02,-0.148,-0.074,0.001,0.001,477.0,599.0,1.01
"eps[22, 0]",0.003,0.024,-0.045,0.045,0.001,0.001,348.0,571.0,1.01
"eps[23, 0]",-0.036,0.102,-0.233,0.14,0.003,0.003,898.0,733.0,1.0
"eps[24, 0]",0.051,0.04,-0.021,0.126,0.002,0.001,560.0,794.0,1.0
"eps[25, 0]",0.023,0.03,-0.035,0.075,0.001,0.001,512.0,734.0,1.0
"eps[26, 0]",-0.007,0.042,-0.091,0.066,0.002,0.002,371.0,403.0,1.0
"eps[27, 0]",0.06,0.039,-0.01,0.135,0.002,0.001,546.0,628.0,1.01
"eps[28, 0]",-0.074,0.032,-0.135,-0.017,0.001,0.001,685.0,830.0,1.01
"eps[29, 0]",0.034,0.019,-0.002,0.068,0.001,0.001,554.0,620.0,1.0
"eps[30, 0]",-0.041,0.017,-0.071,-0.009,0.001,0.001,428.0,502.0,1.0
"eps[31, 0]",0.03,0.024,-0.018,0.074,0.001,0.001,415.0,624.0,1.0
"eps[32, 0]",0.234,0.132,-0.019,0.483,0.005,0.003,748.0,652.0,1.01
"eps[33, 0]",-0.182,0.045,-0.266,-0.098,0.003,0.002,317.0,680.0,1.01
"eps[34, 0]",-0.062,0.041,-0.134,0.016,0.002,0.001,388.0,652.0,1.0
"eps[35, 0]",0.062,0.041,-0.006,0.143,0.002,0.002,316.0,452.0,1.01
"eps[36, 0]",-0.22,0.037,-0.286,-0.153,0.002,0.001,544.0,668.0,1.0
"eps[37, 0]",-0.005,0.036,-0.068,0.066,0.001,0.001,733.0,641.0,1.0
"eps[38, 0]",-0.058,0.024,-0.104,-0.017,0.001,0.001,490.0,549.0,1.01
"eps[39, 0]",-0.036,0.025,-0.081,0.011,0.001,0.001,465.0,677.0,1.01
"eps[40, 0]",0.081,0.025,0.03,0.123,0.001,0.001,403.0,572.0,1.01
"eps[41, 0]",-0.05,0.108,-0.236,0.165,0.003,0.003,1142.0,917.0,1.0
"eps[42, 0]",0.38,0.04,0.308,0.458,0.001,0.001,776.0,750.0,1.0
"eps[43, 0]",0.383,0.032,0.326,0.443,0.001,0.001,546.0,699.0,1.0
"eps[44, 0]",0.143,0.038,0.076,0.215,0.002,0.001,461.0,749.0,1.0
"eps[45, 0]",0.072,0.05,-0.018,0.164,0.001,0.001,1149.0,622.0,1.0
"eps[46, 0]",0.013,0.091,-0.15,0.183,0.002,0.003,1361.0,764.0,1.01
