,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.344,0.036,0.277,0.41,0.002,0.001,325.0,548.0,1.01
Ds[0],31.92,0.037,31.85,31.99,0.002,0.001,382.0,624.0,1.01
RV[0],4.126,1.005,2.579,5.988,0.046,0.033,473.0,516.0,1.0
"eps[0, 0]",0.175,0.047,0.083,0.264,0.002,0.001,609.0,396.0,1.0
"eps[1, 0]",-0.034,0.062,-0.152,0.084,0.002,0.002,758.0,735.0,1.0
"eps[2, 0]",0.161,0.045,0.075,0.245,0.002,0.001,659.0,697.0,1.0
"eps[3, 0]",-0.106,0.034,-0.173,-0.051,0.001,0.001,616.0,661.0,1.0
"eps[4, 0]",0.124,0.041,0.049,0.199,0.002,0.001,433.0,697.0,1.01
"eps[5, 0]",0.636,0.16,0.331,0.93,0.005,0.004,887.0,542.0,1.0
"eps[6, 0]",-0.001,0.039,-0.09,0.063,0.002,0.001,400.0,542.0,1.0
"eps[7, 0]",0.069,0.033,0.008,0.131,0.002,0.001,332.0,527.0,1.01
"eps[8, 0]",-0.114,0.037,-0.183,-0.042,0.002,0.001,362.0,652.0,1.01
"eps[9, 0]",0.04,0.031,-0.017,0.097,0.001,0.001,544.0,436.0,1.01
"eps[10, 0]",-0.085,0.032,-0.141,-0.025,0.001,0.001,909.0,738.0,1.0
"eps[11, 0]",0.086,0.02,0.046,0.121,0.001,0.001,648.0,711.0,1.0
"eps[12, 0]",0.016,0.019,-0.019,0.051,0.001,0.001,485.0,774.0,1.0
"eps[13, 0]",-0.038,0.021,-0.077,0.002,0.001,0.001,381.0,562.0,1.0
"eps[14, 0]",0.776,0.095,0.604,0.962,0.003,0.002,1044.0,720.0,1.0
"eps[15, 0]",-0.239,0.03,-0.291,-0.182,0.001,0.001,426.0,643.0,1.0
"eps[16, 0]",0.106,0.025,0.061,0.153,0.001,0.001,452.0,707.0,1.0
"eps[17, 0]",-0.051,0.031,-0.106,0.011,0.002,0.001,408.0,556.0,1.0
"eps[18, 0]",0.01,0.029,-0.046,0.06,0.001,0.001,567.0,655.0,1.01
"eps[19, 0]",-0.1,0.028,-0.149,-0.046,0.001,0.001,617.0,897.0,1.0
"eps[20, 0]",-0.003,0.02,-0.041,0.032,0.001,0.001,588.0,791.0,1.0
"eps[21, 0]",-0.071,0.02,-0.107,-0.035,0.001,0.001,396.0,568.0,1.0
"eps[22, 0]",-0.03,0.017,-0.064,-0.002,0.001,0.001,470.0,690.0,1.0
"eps[23, 0]",-0.207,0.101,-0.383,-0.015,0.004,0.003,771.0,637.0,1.0
"eps[24, 0]",-0.095,0.035,-0.159,-0.029,0.002,0.001,420.0,435.0,1.0
"eps[25, 0]",-0.088,0.024,-0.137,-0.044,0.001,0.001,579.0,702.0,1.0
"eps[26, 0]",-0.093,0.033,-0.157,-0.033,0.002,0.001,368.0,593.0,1.0
"eps[27, 0]",-0.046,0.033,-0.107,0.017,0.001,0.001,602.0,651.0,1.0
"eps[28, 0]",-0.091,0.032,-0.155,-0.035,0.001,0.001,677.0,770.0,1.0
"eps[29, 0]",-0.012,0.016,-0.042,0.02,0.001,0.0,684.0,781.0,1.0
"eps[30, 0]",-0.065,0.018,-0.097,-0.029,0.001,0.001,424.0,622.0,1.0
"eps[31, 0]",-0.047,0.024,-0.094,-0.003,0.001,0.001,395.0,498.0,1.0
"eps[32, 0]",-0.625,0.113,-0.817,-0.393,0.003,0.002,1215.0,696.0,1.0
"eps[33, 0]",0.085,0.048,-0.003,0.176,0.002,0.002,459.0,644.0,1.01
"eps[34, 0]",0.067,0.04,-0.013,0.14,0.002,0.001,418.0,387.0,1.0
"eps[35, 0]",-0.038,0.031,-0.098,0.018,0.002,0.001,343.0,571.0,1.01
"eps[36, 0]",-0.023,0.029,-0.078,0.029,0.001,0.001,572.0,546.0,1.01
"eps[37, 0]",0.019,0.03,-0.036,0.079,0.001,0.001,837.0,707.0,1.01
"eps[38, 0]",-0.02,0.02,-0.058,0.016,0.001,0.001,624.0,675.0,1.0
"eps[39, 0]",-0.095,0.028,-0.152,-0.047,0.001,0.001,571.0,562.0,1.01
"eps[40, 0]",-0.114,0.019,-0.151,-0.08,0.001,0.001,686.0,749.0,1.0
"eps[41, 0]",0.139,0.129,-0.097,0.395,0.004,0.003,945.0,596.0,1.01
"eps[42, 0]",-0.14,0.034,-0.209,-0.083,0.001,0.001,551.0,600.0,1.0
"eps[43, 0]",-0.143,0.029,-0.196,-0.09,0.001,0.001,442.0,535.0,1.01
"eps[44, 0]",-0.131,0.033,-0.194,-0.069,0.001,0.001,482.0,516.0,1.01
"eps[45, 0]",0.058,0.034,-0.002,0.123,0.001,0.001,1056.0,727.0,1.0
"eps[46, 0]",0.152,0.044,0.062,0.229,0.001,0.001,949.0,875.0,1.0
"eps[47, 0]",0.078,0.017,0.047,0.109,0.001,0.0,796.0,856.0,1.0
"eps[48, 0]",0.036,0.022,-0.007,0.078,0.001,0.001,565.0,813.0,1.0
"eps[49, 0]",0.01,0.02,-0.03,0.047,0.001,0.001,607.0,789.0,1.01
"eps[50, 0]",0.021,0.101,-0.159,0.212,0.003,0.003,947.0,716.0,1.0
"eps[51, 0]",0.187,0.056,0.081,0.288,0.002,0.001,852.0,718.0,1.0
"eps[52, 0]",0.364,0.046,0.27,0.444,0.001,0.001,1262.0,908.0,1.01
"eps[53, 0]",0.123,0.035,0.052,0.184,0.001,0.001,1063.0,731.0,1.0
"eps_tform[0, 0]",1.903,0.516,0.904,2.87,0.021,0.016,609.0,396.0,1.0
"eps_tform[0, 1]",-0.431,0.296,-0.976,0.135,0.01,0.008,910.0,655.0,1.0
"eps_tform[0, 2]",0.567,0.228,0.132,0.974,0.009,0.006,696.0,814.0,1.0
"eps_tform[0, 3]",-0.555,0.126,-0.785,-0.327,0.005,0.003,712.0,816.0,1.0
"eps_tform[0, 4]",0.648,0.11,0.446,0.862,0.006,0.004,398.0,658.0,1.01
"eps_tform[0, 5]",2.754,0.753,1.293,4.126,0.025,0.018,910.0,576.0,1.01
"eps_tform[0, 6]",0.249,0.193,-0.122,0.594,0.01,0.007,361.0,529.0,1.0
"eps_tform[0, 7]",0.185,0.161,-0.122,0.481,0.008,0.006,405.0,619.0,1.0
"eps_tform[0, 8]",-0.464,0.224,-0.901,-0.062,0.012,0.008,371.0,538.0,1.01
"eps_tform[0, 9]",0.904,0.601,-0.247,1.998,0.025,0.019,551.0,374.0,1.01
"eps_tform[0, 10]",-1.902,0.55,-2.982,-0.935,0.017,0.012,1043.0,845.0,1.0
"eps_tform[0, 11]",0.605,0.351,-0.063,1.235,0.016,0.012,456.0,651.0,1.0
"eps_tform[0, 12]",-0.051,0.395,-0.815,0.637,0.018,0.013,498.0,675.0,1.0
"eps_tform[0, 13]",-0.286,0.3,-0.817,0.323,0.015,0.01,413.0,617.0,1.0
"eps_tform[0, 14]",4.981,0.651,3.795,6.239,0.021,0.015,1015.0,742.0,1.0
"eps_tform[0, 15]",-1.304,0.285,-1.815,-0.742,0.014,0.01,406.0,639.0,1.0
