,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.368,0.064,0.245,0.48,0.004,0.003,328.0,370.0,1.01
Ds[0],31.896,0.062,31.793,32.013,0.003,0.002,321.0,397.0,1.0
RV[0],3.952,1.15,2.118,5.994,0.06,0.042,361.0,466.0,1.0
"eps[0, 0]",0.178,0.046,0.089,0.265,0.002,0.002,357.0,697.0,1.02
"eps[1, 0]",-0.03,0.061,-0.147,0.079,0.002,0.002,808.0,695.0,1.0
"eps[2, 0]",0.167,0.047,0.082,0.251,0.002,0.002,362.0,600.0,1.02
"eps[3, 0]",-0.103,0.033,-0.168,-0.045,0.001,0.001,487.0,691.0,1.01
"eps[4, 0]",0.123,0.044,0.04,0.201,0.003,0.002,300.0,414.0,1.03
"eps[5, 0]",0.637,0.164,0.348,0.968,0.006,0.004,816.0,673.0,1.0
"eps[6, 0]",-0.003,0.043,-0.08,0.079,0.002,0.002,338.0,588.0,1.03
"eps[7, 0]",0.068,0.033,0.003,0.125,0.002,0.001,307.0,482.0,1.02
"eps[8, 0]",-0.105,0.044,-0.19,-0.026,0.002,0.002,354.0,502.0,1.01
"eps[9, 0]",0.037,0.028,-0.017,0.086,0.001,0.001,368.0,477.0,1.01
"eps[10, 0]",-0.085,0.03,-0.142,-0.034,0.001,0.001,737.0,761.0,1.0
"eps[11, 0]",0.086,0.02,0.048,0.122,0.001,0.001,488.0,683.0,1.0
"eps[12, 0]",0.018,0.016,-0.01,0.051,0.001,0.001,270.0,514.0,1.01
"eps[13, 0]",-0.043,0.021,-0.083,-0.006,0.001,0.001,314.0,450.0,1.0
"eps[14, 0]",0.777,0.091,0.574,0.925,0.003,0.002,1123.0,948.0,1.0
"eps[15, 0]",-0.248,0.028,-0.298,-0.198,0.001,0.001,357.0,602.0,1.0
"eps[16, 0]",0.104,0.024,0.057,0.147,0.001,0.001,333.0,433.0,1.0
"eps[17, 0]",-0.046,0.035,-0.105,0.025,0.002,0.001,319.0,425.0,1.0
"eps[18, 0]",0.008,0.029,-0.049,0.059,0.001,0.001,431.0,489.0,1.01
"eps[19, 0]",-0.1,0.027,-0.155,-0.052,0.001,0.001,716.0,771.0,1.0
"eps[20, 0]",-0.004,0.02,-0.041,0.033,0.001,0.001,549.0,751.0,1.01
"eps[21, 0]",-0.071,0.016,-0.102,-0.043,0.001,0.001,349.0,597.0,1.0
"eps[22, 0]",-0.035,0.017,-0.071,-0.006,0.001,0.001,350.0,604.0,1.0
"eps[23, 0]",-0.214,0.094,-0.38,-0.029,0.003,0.003,755.0,764.0,1.0
"eps[24, 0]",-0.101,0.034,-0.164,-0.036,0.002,0.001,395.0,641.0,1.01
"eps[25, 0]",-0.092,0.024,-0.14,-0.049,0.001,0.001,478.0,668.0,1.0
"eps[26, 0]",-0.085,0.037,-0.163,-0.022,0.002,0.001,307.0,424.0,1.0
"eps[27, 0]",-0.048,0.033,-0.108,0.015,0.002,0.001,398.0,748.0,1.0
"eps[28, 0]",-0.091,0.032,-0.152,-0.032,0.001,0.001,619.0,825.0,1.0
"eps[29, 0]",-0.011,0.017,-0.044,0.016,0.001,0.0,585.0,795.0,1.0
"eps[30, 0]",-0.065,0.016,-0.093,-0.036,0.001,0.001,363.0,601.0,1.0
"eps[31, 0]",-0.053,0.025,-0.098,-0.005,0.002,0.001,272.0,485.0,1.0
"eps[32, 0]",-0.636,0.112,-0.844,-0.435,0.004,0.003,920.0,628.0,1.0
"eps[33, 0]",0.079,0.047,-0.011,0.166,0.003,0.002,302.0,452.0,1.01
"eps[34, 0]",0.064,0.038,-0.007,0.137,0.002,0.002,307.0,468.0,1.0
"eps[35, 0]",-0.031,0.035,-0.103,0.031,0.002,0.001,308.0,413.0,1.0
"eps[36, 0]",-0.026,0.028,-0.081,0.025,0.001,0.001,546.0,533.0,1.0
"eps[37, 0]",0.02,0.032,-0.042,0.077,0.001,0.001,733.0,784.0,1.0
"eps[38, 0]",-0.019,0.02,-0.056,0.016,0.001,0.001,575.0,553.0,1.0
"eps[39, 0]",-0.094,0.024,-0.136,-0.048,0.001,0.001,551.0,725.0,1.01
"eps[40, 0]",-0.118,0.019,-0.154,-0.081,0.001,0.001,480.0,568.0,1.01
"eps[41, 0]",0.129,0.121,-0.11,0.35,0.004,0.003,893.0,592.0,1.01
"eps[42, 0]",-0.143,0.034,-0.209,-0.08,0.001,0.001,529.0,692.0,1.0
"eps[43, 0]",-0.145,0.028,-0.197,-0.093,0.001,0.001,441.0,528.0,1.01
"eps[44, 0]",-0.123,0.036,-0.184,-0.053,0.002,0.001,407.0,602.0,1.0
"eps[45, 0]",0.058,0.034,-0.003,0.125,0.001,0.001,1053.0,686.0,1.0
"eps[46, 0]",0.15,0.047,0.068,0.244,0.002,0.001,964.0,776.0,1.0
"eps[47, 0]",0.079,0.017,0.045,0.109,0.001,0.0,762.0,755.0,1.0
"eps[48, 0]",0.037,0.018,0.002,0.068,0.001,0.001,631.0,761.0,1.0
"eps[49, 0]",0.006,0.021,-0.034,0.044,0.001,0.001,561.0,733.0,1.0
"eps[50, 0]",0.025,0.097,-0.162,0.193,0.003,0.003,804.0,738.0,1.0
"eps[51, 0]",0.178,0.054,0.073,0.269,0.002,0.001,730.0,722.0,1.0
"eps[52, 0]",0.365,0.047,0.275,0.447,0.002,0.001,920.0,733.0,1.0
"eps[53, 0]",0.127,0.037,0.057,0.192,0.001,0.001,1066.0,694.0,1.0
"eps_tform[0, 0]",1.934,0.504,0.962,2.879,0.027,0.019,357.0,697.0,1.02
"eps_tform[0, 1]",-0.418,0.286,-0.928,0.148,0.01,0.007,907.0,696.0,1.0
"eps_tform[0, 2]",0.6,0.24,0.154,1.034,0.012,0.009,402.0,547.0,1.02
"eps_tform[0, 3]",-0.552,0.111,-0.77,-0.356,0.004,0.003,645.0,832.0,1.01
"eps_tform[0, 4]",0.621,0.111,0.419,0.836,0.006,0.004,394.0,694.0,1.02
"eps_tform[0, 5]",2.746,0.774,1.209,4.104,0.027,0.02,810.0,620.0,1.0
"eps_tform[0, 6]",0.24,0.202,-0.12,0.637,0.011,0.008,332.0,725.0,1.03
"eps_tform[0, 7]",0.18,0.158,-0.106,0.473,0.008,0.006,346.0,629.0,1.01
"eps_tform[0, 8]",-0.402,0.261,-0.893,0.086,0.014,0.01,337.0,491.0,1.01
"eps_tform[0, 9]",0.855,0.545,-0.07,1.904,0.028,0.02,375.0,506.0,1.01
"eps_tform[0, 10]",-1.903,0.523,-2.876,-0.956,0.018,0.013,851.0,801.0,1.0
"eps_tform[0, 11]",0.625,0.357,-0.043,1.249,0.019,0.014,345.0,692.0,1.01
"eps_tform[0, 12]",-0.038,0.313,-0.605,0.588,0.018,0.012,317.0,641.0,1.0
"eps_tform[0, 13]",-0.38,0.3,-0.987,0.143,0.017,0.012,307.0,486.0,1.0
"eps_tform[0, 14]",5.017,0.617,3.739,6.071,0.019,0.014,1037.0,947.0,1.0
"eps_tform[0, 15]",-1.379,0.287,-1.914,-0.854,0.016,0.012,311.0,547.0,1.01
"eps_tform[0, 16]",0.551,0.309,0.02,1.18,0.018,0.013,298.0,456.0,1.01
"eps_tform[0, 17]",-0.149,0.393,-0.967,0.512,0.022,0.016,315.0,541.0,1.0
"eps_tform[0, 18]",-0.742,0.494,-1.714,0.092,0.024,0.017,434.0,537.0,1.01
"eps_tform[0, 19]",-0.607,0.346,-1.245,0.059,0.01,0.008,1100.0,782.0,1.01
"eps_tform[0, 20]",-0.632,0.365,-1.283,0.05,0.017,0.012,439.0,689.0,1.01
"eps_tform[0, 21]",-0.07,0.318,-0.646,0.544,0.017,0.012,366.0,525.0,1.0
"eps_tform[0, 22]",0.305,0.234,-0.133,0.758,0.013,0.009,330.0,489.0,1.01
"eps_tform[0, 23]",0.485,0.778,-0.763,2.093,0.029,0.02,728.0,828.0,1.0
"eps_tform[0, 24]",-0.481,0.235,-0.905,-0.037,0.014,0.01,290.0,563.0,1.01
"eps_tform[0, 25]",-0.166,0.213,-0.576,0.241,0.01,0.007,476.0,594.0,1.0
"eps_tform[0, 26]",-0.573,0.271,-1.065,-0.058,0.014,0.01,404.0,725.0,1.0
"eps_tform[0, 27]",-0.214,0.423,-1.048,0.528,0.017,0.013,656.0,723.0,1.0
"eps_tform[0, 28]",-1.336,0.371,-2.014,-0.68,0.015,0.011,579.0,662.0,1.0
"eps_tform[0, 29]",-1.133,0.329,-1.726,-0.516,0.014,0.01,556.0,521.0,1.0
"eps_tform[0, 30]",0.35,0.367,-0.344,1.0,0.017,0.012,446.0,636.0,1.0
