,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.767,0.07,0.638,0.898,0.004,0.002,391.0,605.0,1.01
Ds[0],35.439,0.061,35.334,35.563,0.003,0.002,425.0,526.0,1.01
RV[0],4.153,0.808,2.776,5.764,0.041,0.029,384.0,425.0,1.01
"eps[0, 0]",-0.057,0.086,-0.219,0.1,0.002,0.002,1823.0,805.0,1.0
"eps[1, 0]",0.031,0.164,-0.26,0.333,0.004,0.007,1817.0,509.0,1.01
"eps[2, 0]",0.07,0.113,-0.149,0.263,0.003,0.003,1278.0,758.0,1.01
"eps[3, 0]",0.091,0.128,-0.15,0.332,0.003,0.003,1848.0,912.0,1.0
"eps[4, 0]",0.128,0.136,-0.114,0.392,0.003,0.003,1732.0,902.0,1.0
"eps[5, 0]",0.098,0.181,-0.277,0.403,0.005,0.005,1460.0,814.0,1.0
"eps[6, 0]",0.203,0.114,-0.016,0.402,0.004,0.003,943.0,734.0,1.0
"eps[7, 0]",0.16,0.093,0.002,0.357,0.003,0.002,863.0,735.0,1.01
"eps[8, 0]",0.156,0.136,-0.099,0.389,0.003,0.003,1713.0,804.0,1.01
"eps[9, 0]",0.049,0.037,-0.02,0.118,0.001,0.001,738.0,777.0,1.0
"eps[10, 0]",0.07,0.034,0.006,0.13,0.001,0.001,1277.0,919.0,1.0
"eps[11, 0]",-0.032,0.032,-0.091,0.029,0.001,0.001,1295.0,885.0,1.0
"eps[12, 0]",0.07,0.032,0.006,0.123,0.001,0.001,697.0,680.0,1.0
"eps[13, 0]",-0.034,0.029,-0.087,0.023,0.001,0.001,1191.0,866.0,1.0
"eps[14, 0]",0.043,0.135,-0.196,0.315,0.004,0.004,1039.0,689.0,1.0
"eps[15, 0]",-0.004,0.059,-0.11,0.106,0.002,0.002,973.0,809.0,1.01
"eps[16, 0]",-0.076,0.058,-0.181,0.037,0.003,0.002,477.0,670.0,1.01
"eps[17, 0]",-0.039,0.057,-0.14,0.068,0.003,0.002,500.0,680.0,1.01
"eps[18, 0]",0.071,0.034,0.015,0.144,0.001,0.001,668.0,543.0,1.0
"eps[19, 0]",0.186,0.034,0.125,0.255,0.001,0.001,1165.0,683.0,1.01
"eps[20, 0]",-0.13,0.028,-0.183,-0.082,0.001,0.001,849.0,860.0,1.0
"eps[21, 0]",0.002,0.03,-0.054,0.058,0.001,0.001,810.0,756.0,1.0
"eps[22, 0]",-0.156,0.029,-0.208,-0.099,0.001,0.001,1069.0,802.0,1.01
"eps[23, 0]",0.056,0.12,-0.153,0.296,0.003,0.003,1941.0,785.0,1.01
"eps[24, 0]",-0.084,0.077,-0.231,0.05,0.002,0.002,1017.0,990.0,1.0
"eps[25, 0]",-0.072,0.075,-0.226,0.053,0.003,0.002,772.0,799.0,1.0
"eps[26, 0]",-0.1,0.1,-0.282,0.093,0.003,0.003,1484.0,586.0,1.01
"eps[27, 0]",-0.02,0.051,-0.113,0.076,0.002,0.001,851.0,803.0,1.0
"eps[28, 0]",0.099,0.058,-0.01,0.21,0.002,0.001,1344.0,782.0,1.0
"eps[29, 0]",-0.045,0.034,-0.106,0.02,0.001,0.001,1598.0,823.0,1.0
"eps[30, 0]",-0.04,0.032,-0.098,0.02,0.001,0.001,899.0,809.0,1.0
"eps[31, 0]",-0.1,0.043,-0.177,-0.016,0.001,0.001,922.0,985.0,1.0
