,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.117,0.038,0.048,0.189,0.002,0.001,356.0,491.0,1.01
Ds[0],34.404,0.037,34.333,34.472,0.002,0.001,316.0,465.0,1.01
RV[0],3.819,1.315,1.614,5.999,0.056,0.04,496.0,368.0,1.01
"eps[0, 0]",-0.312,0.052,-0.41,-0.213,0.002,0.001,685.0,599.0,1.0
"eps[1, 0]",-0.195,0.121,-0.426,0.023,0.005,0.003,685.0,613.0,1.0
"eps[2, 0]",-0.065,0.078,-0.221,0.068,0.003,0.002,706.0,737.0,1.0
"eps[3, 0]",0.13,0.087,-0.027,0.293,0.003,0.002,722.0,765.0,1.0
"eps[4, 0]",0.593,0.075,0.469,0.751,0.002,0.002,935.0,870.0,1.0
"eps[5, 0]",-0.252,0.194,-0.626,0.09,0.008,0.006,593.0,634.0,1.01
"eps[6, 0]",-0.107,0.065,-0.23,0.01,0.003,0.002,588.0,693.0,1.0
"eps[7, 0]",-0.212,0.047,-0.302,-0.127,0.002,0.001,535.0,614.0,1.01
"eps[8, 0]",-0.102,0.075,-0.226,0.051,0.002,0.002,1014.0,936.0,1.0
"eps[9, 0]",0.069,0.026,0.019,0.114,0.001,0.001,323.0,470.0,1.02
"eps[10, 0]",0.109,0.024,0.061,0.151,0.001,0.001,497.0,605.0,1.01
"eps[11, 0]",-0.107,0.018,-0.14,-0.074,0.001,0.001,343.0,574.0,1.01
"eps[12, 0]",-0.068,0.017,-0.104,-0.038,0.001,0.001,372.0,528.0,1.01
"eps[13, 0]",0.043,0.02,0.004,0.08,0.001,0.001,360.0,440.0,1.01
"eps[14, 0]",0.179,0.132,-0.063,0.428,0.005,0.003,740.0,731.0,1.0
"eps[15, 0]",0.013,0.048,-0.07,0.113,0.002,0.001,563.0,762.0,1.01
"eps[16, 0]",0.113,0.035,0.046,0.179,0.002,0.001,438.0,754.0,1.0
"eps[17, 0]",0.028,0.042,-0.046,0.107,0.002,0.001,567.0,755.0,1.0
"eps[18, 0]",0.086,0.027,0.035,0.137,0.002,0.001,329.0,531.0,1.01
"eps[19, 0]",0.177,0.026,0.133,0.228,0.001,0.001,580.0,736.0,1.0
"eps[20, 0]",-0.021,0.022,-0.059,0.02,0.001,0.001,419.0,476.0,1.01
"eps[21, 0]",0.137,0.017,0.102,0.166,0.001,0.001,352.0,507.0,1.0
"eps[22, 0]",0.132,0.018,0.097,0.164,0.001,0.001,425.0,600.0,1.0
"eps[23, 0]",0.07,0.127,-0.176,0.292,0.004,0.003,983.0,778.0,1.0
"eps[24, 0]",0.103,0.063,-0.005,0.229,0.003,0.002,573.0,555.0,1.0
"eps[25, 0]",0.267,0.064,0.159,0.395,0.002,0.001,927.0,878.0,1.0
"eps[26, 0]",0.091,0.061,-0.014,0.213,0.002,0.002,840.0,785.0,1.01
"eps[27, 0]",0.042,0.031,-0.017,0.099,0.002,0.001,382.0,555.0,1.01
"eps[28, 0]",0.202,0.038,0.129,0.27,0.002,0.001,593.0,601.0,1.0
