,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.139,0.047,0.05,0.226,0.003,0.002,320.0,497.0,1.01
Ds[0],34.383,0.047,34.299,34.476,0.004,0.002,172.0,318.0,1.02
RV[0],3.89,1.342,1.667,5.981,0.049,0.035,786.0,745.0,1.0
"eps[0, 0]",-0.31,0.052,-0.409,-0.219,0.002,0.001,695.0,846.0,1.0
"eps[1, 0]",-0.182,0.114,-0.382,0.032,0.004,0.003,736.0,818.0,1.0
"eps[2, 0]",-0.072,0.079,-0.216,0.075,0.003,0.003,588.0,708.0,1.0
"eps[3, 0]",0.124,0.085,-0.032,0.281,0.003,0.002,739.0,829.0,1.01
"eps[4, 0]",0.587,0.078,0.435,0.734,0.003,0.002,792.0,591.0,1.0
"eps[5, 0]",-0.26,0.189,-0.588,0.119,0.007,0.005,830.0,773.0,1.0
"eps[6, 0]",-0.103,0.061,-0.206,0.015,0.003,0.002,553.0,765.0,1.01
"eps[7, 0]",-0.207,0.043,-0.286,-0.129,0.002,0.001,650.0,691.0,1.01
"eps[8, 0]",-0.088,0.074,-0.227,0.048,0.003,0.002,757.0,900.0,1.01
"eps[9, 0]",0.073,0.025,0.028,0.12,0.001,0.001,348.0,655.0,1.01
"eps[10, 0]",0.111,0.024,0.064,0.151,0.001,0.001,516.0,785.0,1.0
"eps[11, 0]",-0.11,0.019,-0.15,-0.077,0.001,0.001,398.0,537.0,1.0
"eps[12, 0]",-0.076,0.017,-0.107,-0.045,0.001,0.001,345.0,516.0,1.01
"eps[13, 0]",0.037,0.021,-0.003,0.076,0.001,0.001,290.0,330.0,1.01
"eps[14, 0]",0.198,0.137,-0.069,0.441,0.004,0.003,995.0,703.0,1.0
"eps[15, 0]",0.01,0.049,-0.074,0.103,0.002,0.001,669.0,616.0,1.01
"eps[16, 0]",0.122,0.034,0.059,0.187,0.002,0.001,315.0,378.0,1.01
"eps[17, 0]",0.038,0.043,-0.042,0.119,0.002,0.002,381.0,778.0,1.01
"eps[18, 0]",0.09,0.026,0.044,0.141,0.001,0.001,329.0,586.0,1.01
"eps[19, 0]",0.179,0.025,0.131,0.224,0.001,0.001,785.0,644.0,1.01
"eps[20, 0]",-0.023,0.021,-0.06,0.02,0.001,0.001,473.0,610.0,1.01
"eps[21, 0]",0.128,0.015,0.101,0.157,0.001,0.0,491.0,730.0,1.0
"eps[22, 0]",0.125,0.019,0.088,0.158,0.001,0.001,346.0,251.0,1.02
"eps[23, 0]",0.068,0.126,-0.183,0.287,0.004,0.004,1047.0,732.0,1.0
"eps[24, 0]",0.106,0.06,-0.0,0.221,0.002,0.002,699.0,881.0,1.0
"eps[25, 0]",0.271,0.064,0.152,0.386,0.002,0.001,1254.0,895.0,1.0
"eps[26, 0]",0.106,0.06,-0.018,0.207,0.002,0.002,699.0,705.0,1.0
"eps[27, 0]",0.048,0.03,-0.008,0.106,0.002,0.001,343.0,522.0,1.01
"eps[28, 0]",0.202,0.039,0.132,0.277,0.002,0.001,578.0,505.0,1.01
"eps[29, 0]",-0.122,0.018,-0.153,-0.088,0.001,0.001,541.0,505.0,1.0
"eps[30, 0]",-0.055,0.015,-0.081,-0.027,0.001,0.001,397.0,430.0,1.01
"eps[31, 0]",-0.062,0.03,-0.117,-0.007,0.002,0.001,317.0,488.0,1.01
"eps[32, 0]",0.066,0.13,-0.185,0.305,0.004,0.004,983.0,683.0,1.01
"eps[33, 0]",-0.337,0.068,-0.462,-0.209,0.003,0.002,407.0,802.0,1.01
"eps[34, 0]",-0.124,0.075,-0.256,0.019,0.003,0.002,694.0,833.0,1.0
"eps[35, 0]",-0.173,0.057,-0.274,-0.057,0.002,0.001,959.0,852.0,1.0
"eps[36, 0]",0.111,0.036,0.049,0.181,0.002,0.001,446.0,390.0,1.01
"eps[37, 0]",0.184,0.043,0.105,0.266,0.002,0.001,710.0,763.0,1.0
"eps[38, 0]",-0.026,0.025,-0.067,0.027,0.001,0.001,520.0,528.0,1.01
"eps[39, 0]",-0.043,0.029,-0.093,0.014,0.001,0.001,530.0,537.0,1.01
"eps[40, 0]",0.016,0.022,-0.022,0.06,0.001,0.001,675.0,805.0,1.0
"eps[41, 0]",0.08,0.103,-0.096,0.278,0.003,0.003,1377.0,546.0,1.01
"eps[42, 0]",-0.053,0.06,-0.169,0.055,0.002,0.001,833.0,729.0,1.0
"eps[43, 0]",-0.021,0.062,-0.144,0.092,0.002,0.002,1094.0,743.0,1.0
"eps[44, 0]",0.017,0.05,-0.073,0.112,0.002,0.001,889.0,785.0,1.0
"eps[45, 0]",-0.033,0.047,-0.124,0.048,0.001,0.001,1444.0,873.0,1.0
"eps[46, 0]",0.09,0.077,-0.039,0.256,0.002,0.002,1300.0,841.0,1.01
"eps[47, 0]",-0.051,0.024,-0.101,-0.009,0.001,0.0,1316.0,771.0,1.01
"eps[48, 0]",-0.149,0.041,-0.225,-0.075,0.001,0.001,780.0,578.0,1.0
"eps[49, 0]",0.149,0.037,0.081,0.216,0.001,0.001,1124.0,893.0,1.01
"eps[50, 0]",-0.425,0.095,-0.607,-0.254,0.003,0.002,1036.0,746.0,1.0
"eps[51, 0]",0.24,0.059,0.133,0.349,0.002,0.001,922.0,845.0,1.0
"eps[52, 0]",0.181,0.063,0.058,0.288,0.002,0.001,1427.0,898.0,1.0
"eps[53, 0]",-0.146,0.045,-0.223,-0.06,0.001,0.001,1254.0,737.0,1.01
"eps_tform[0, 0]",-3.371,0.569,-4.444,-2.376,0.022,0.015,695.0,846.0,1.0
"eps_tform[0, 1]",-0.377,0.563,-1.423,0.635,0.021,0.015,702.0,708.0,1.0
"eps_tform[0, 2]",0.638,0.542,-0.374,1.636,0.021,0.015,695.0,801.0,1.0
"eps_tform[0, 3]",0.867,0.406,0.148,1.606,0.014,0.01,907.0,850.0,1.0
"eps_tform[0, 4]",2.939,0.433,2.134,3.711,0.015,0.01,850.0,644.0,1.0
"eps_tform[0, 5]",-0.683,0.868,-2.336,0.941,0.03,0.023,833.0,735.0,1.0
"eps_tform[0, 6]",-0.995,0.256,-1.41,-0.483,0.012,0.009,439.0,739.0,1.01
"eps_tform[0, 7]",-1.176,0.249,-1.633,-0.723,0.009,0.006,762.0,736.0,1.01
"eps_tform[0, 8]",-0.559,0.481,-1.468,0.301,0.017,0.014,822.0,838.0,1.01
"eps_tform[0, 9]",0.812,0.499,-0.164,1.647,0.027,0.019,347.0,651.0,1.01
"eps_tform[0, 10]",2.309,0.404,1.534,3.037,0.017,0.012,561.0,788.0,1.0
"eps_tform[0, 11]",-1.412,0.357,-2.034,-0.71,0.02,0.014,324.0,471.0,1.01
"eps_tform[0, 12]",-1.461,0.363,-2.112,-0.785,0.018,0.013,392.0,597.0,1.0
"eps_tform[0, 13]",1.326,0.34,0.688,1.975,0.02,0.014,297.0,285.0,1.02
"eps_tform[0, 14]",1.06,0.888,-0.711,2.531,0.027,0.022,1061.0,812.0,1.0
"eps_tform[0, 15]",-0.201,0.433,-0.953,0.609,0.02,0.015,450.0,429.0,1.01
"eps_tform[0, 16]",0.06,0.383,-0.66,0.768,0.023,0.016,277.0,542.0,1.02
"eps_tform[0, 17]",0.345,0.502,-0.559,1.355,0.024,0.017,443.0,726.0,1.01
"eps_tform[0, 18]",2.393,0.406,1.584,3.122,0.022,0.015,352.0,749.0,1.01
"eps_tform[0, 19]",1.331,0.323,0.769,1.957,0.01,0.007,1128.0,796.0,1.0
"eps_tform[0, 20]",0.028,0.407,-0.669,0.828,0.021,0.015,380.0,464.0,1.01
"eps_tform[0, 21]",1.844,0.322,1.245,2.414,0.015,0.01,475.0,672.0,1.0
"eps_tform[0, 22]",0.174,0.262,-0.26,0.722,0.016,0.011,296.0,321.0,1.02
"eps_tform[0, 23]",-0.717,0.948,-2.336,1.228,0.029,0.025,1105.0,532.0,1.01
"eps_tform[0, 24]",-1.177,0.344,-1.826,-0.547,0.016,0.011,475.0,593.0,1.0
