,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.213,0.046,0.126,0.295,0.002,0.002,421.0,619.0,1.01
Ds[0],34.723,0.045,34.648,34.81,0.002,0.002,354.0,607.0,1.01
RV[0],3.229,1.27,1.389,5.831,0.068,0.049,367.0,500.0,1.01
"eps[0, 0]",-0.014,0.06,-0.123,0.099,0.002,0.002,610.0,557.0,1.01
"eps[1, 0]",-0.052,0.1,-0.233,0.142,0.003,0.003,910.0,563.0,1.0
"eps[2, 0]",-0.148,0.085,-0.299,0.019,0.003,0.002,714.0,688.0,1.0
"eps[3, 0]",-0.119,0.062,-0.223,0.004,0.002,0.002,696.0,733.0,1.0
"eps[4, 0]",-0.179,0.068,-0.322,-0.065,0.002,0.002,956.0,954.0,1.0
"eps[5, 0]",-0.032,0.195,-0.373,0.338,0.006,0.006,1007.0,708.0,1.0
"eps[6, 0]",-0.049,0.141,-0.31,0.22,0.004,0.004,1041.0,905.0,1.0
"eps[7, 0]",0.125,0.099,-0.047,0.321,0.003,0.002,987.0,841.0,1.0
"eps[8, 0]",0.021,0.137,-0.232,0.264,0.004,0.004,1000.0,832.0,1.0
"eps[9, 0]",-0.036,0.032,-0.096,0.019,0.001,0.001,576.0,570.0,1.01
"eps[10, 0]",0.061,0.027,0.014,0.115,0.001,0.001,829.0,581.0,1.0
"eps[11, 0]",-0.035,0.021,-0.072,0.008,0.001,0.001,629.0,645.0,1.0
"eps[12, 0]",0.013,0.023,-0.026,0.059,0.001,0.001,476.0,592.0,1.01
"eps[13, 0]",-0.006,0.023,-0.051,0.034,0.001,0.001,330.0,611.0,1.01
"eps[14, 0]",0.013,0.134,-0.211,0.286,0.004,0.004,887.0,706.0,1.0
"eps[15, 0]",-0.074,0.058,-0.183,0.03,0.002,0.002,674.0,712.0,1.01
"eps[16, 0]",0.123,0.046,0.039,0.215,0.002,0.001,496.0,683.0,1.0
"eps[17, 0]",0.077,0.056,-0.031,0.181,0.002,0.001,930.0,871.0,1.0
"eps[18, 0]",0.045,0.033,-0.011,0.112,0.002,0.001,387.0,677.0,1.02
"eps[19, 0]",0.084,0.033,0.018,0.142,0.001,0.001,890.0,710.0,1.0
"eps[20, 0]",-0.043,0.027,-0.09,0.008,0.001,0.001,564.0,691.0,1.01
"eps[21, 0]",-0.014,0.023,-0.057,0.026,0.001,0.001,473.0,734.0,1.01
"eps[22, 0]",-0.129,0.023,-0.169,-0.082,0.001,0.001,524.0,635.0,1.01
"eps[23, 0]",-0.039,0.124,-0.265,0.19,0.004,0.004,1241.0,819.0,1.0
"eps[24, 0]",-0.087,0.068,-0.229,0.029,0.002,0.002,744.0,683.0,1.01
"eps[25, 0]",0.059,0.056,-0.049,0.157,0.002,0.002,587.0,660.0,1.0
"eps[26, 0]",0.034,0.095,-0.14,0.204,0.003,0.003,953.0,820.0,1.0
"eps[27, 0]",0.063,0.052,-0.022,0.171,0.002,0.001,815.0,765.0,1.01
"eps[28, 0]",0.169,0.066,0.053,0.301,0.002,0.002,887.0,695.0,1.0
"eps[29, 0]",-0.039,0.03,-0.095,0.014,0.001,0.001,1239.0,897.0,1.01
"eps[30, 0]",0.027,0.026,-0.022,0.072,0.001,0.001,560.0,655.0,1.01
"eps[31, 0]",-0.197,0.039,-0.266,-0.121,0.002,0.001,511.0,790.0,1.01
"eps[32, 0]",-0.084,0.128,-0.301,0.171,0.004,0.003,1075.0,871.0,1.0
"eps[33, 0]",-0.177,0.069,-0.291,-0.04,0.003,0.002,581.0,814.0,1.0
"eps[34, 0]",0.027,0.109,-0.191,0.221,0.003,0.003,1096.0,671.0,1.0
"eps[35, 0]",-0.019,0.056,-0.12,0.089,0.002,0.001,862.0,748.0,1.01
"eps[36, 0]",0.057,0.036,-0.009,0.123,0.001,0.001,752.0,845.0,1.01
"eps[37, 0]",0.141,0.04,0.063,0.215,0.001,0.001,941.0,691.0,1.01
"eps[38, 0]",0.002,0.028,-0.051,0.053,0.001,0.001,643.0,659.0,1.01
"eps[39, 0]",-0.012,0.035,-0.076,0.054,0.001,0.001,635.0,802.0,1.01
"eps[40, 0]",-0.035,0.027,-0.086,0.017,0.001,0.001,719.0,916.0,1.01
"eps[41, 0]",-0.101,0.114,-0.303,0.118,0.003,0.003,1235.0,704.0,1.01
"eps[42, 0]",-0.055,0.05,-0.145,0.039,0.002,0.001,969.0,623.0,1.0
"eps[43, 0]",-0.138,0.054,-0.249,-0.048,0.002,0.001,1022.0,792.0,1.0
"eps[44, 0]",-0.012,0.054,-0.108,0.088,0.001,0.002,1444.0,837.0,1.01
"eps[45, 0]",-0.01,0.042,-0.091,0.068,0.001,0.001,1043.0,710.0,1.0
"eps[46, 0]",0.117,0.061,-0.001,0.229,0.002,0.001,898.0,747.0,1.0
"eps[47, 0]",0.024,0.026,-0.025,0.07,0.001,0.001,1430.0,743.0,1.0
"eps[48, 0]",0.086,0.036,0.02,0.157,0.001,0.001,726.0,882.0,1.0
"eps[49, 0]",0.044,0.032,-0.012,0.106,0.001,0.001,1044.0,945.0,1.0
"eps[50, 0]",-0.063,0.098,-0.254,0.113,0.003,0.003,1013.0,673.0,1.0
"eps[51, 0]",0.023,0.061,-0.099,0.128,0.002,0.002,1275.0,774.0,1.0
"eps[52, 0]",0.018,0.072,-0.115,0.156,0.002,0.002,1639.0,821.0,1.0
"eps[53, 0]",0.02,0.051,-0.075,0.111,0.001,0.001,1138.0,849.0,1.01
"eps_tform[0, 0]",-0.154,0.654,-1.34,1.073,0.026,0.021,610.0,557.0,1.01
"eps_tform[0, 1]",-0.22,0.487,-1.103,0.711,0.017,0.015,874.0,563.0,1.0
"eps_tform[0, 2]",-1.178,0.564,-2.197,-0.078,0.019,0.013,910.0,734.0,1.0
"eps_tform[0, 3]",-0.278,0.271,-0.78,0.244,0.008,0.007,1041.0,760.0,1.0
"eps_tform[0, 4]",-0.167,0.354,-0.787,0.513,0.011,0.009,956.0,898.0,1.0
"eps_tform[0, 5]",0.091,0.898,-1.608,1.793,0.026,0.027,1167.0,752.0,1.0
"eps_tform[0, 6]",-0.179,0.751,-1.615,1.218,0.024,0.019,1004.0,969.0,1.0
"eps_tform[0, 7]",0.935,0.633,-0.331,2.014,0.02,0.015,1006.0,781.0,1.0
"eps_tform[0, 8]",0.151,0.932,-1.637,1.811,0.029,0.026,1030.0,916.0,1.0
"eps_tform[0, 9]",-0.605,0.632,-1.755,0.535,0.027,0.019,557.0,556.0,1.01
"eps_tform[0, 10]",1.362,0.429,0.575,2.223,0.014,0.01,917.0,757.0,1.01
"eps_tform[0, 11]",-0.154,0.394,-0.91,0.579,0.018,0.013,457.0,517.0,1.0
"eps_tform[0, 12]",0.037,0.488,-0.801,0.985,0.024,0.017,418.0,639.0,1.01
"eps_tform[0, 13]",-0.275,0.367,-1.003,0.36,0.019,0.014,366.0,506.0,1.01
"eps_tform[0, 14]",0.014,0.856,-1.401,1.727,0.028,0.027,904.0,731.0,1.0
"eps_tform[0, 15]",-0.977,0.53,-1.906,0.02,0.021,0.015,639.0,704.0,1.01
"eps_tform[0, 16]",1.286,0.449,0.436,2.087,0.019,0.014,529.0,701.0,1.01
"eps_tform[0, 17]",0.468,0.659,-0.643,1.777,0.02,0.018,1045.0,801.0,1.0
"eps_tform[0, 18]",0.775,0.548,-0.319,1.744,0.031,0.022,278.0,659.0,1.02
"eps_tform[0, 19]",1.064,0.41,0.221,1.787,0.015,0.011,795.0,650.0,1.01
"eps_tform[0, 20]",-0.341,0.453,-1.231,0.437,0.019,0.015,546.0,679.0,1.01
"eps_tform[0, 21]",-0.261,0.416,-1.044,0.493,0.018,0.013,544.0,806.0,1.01
"eps_tform[0, 22]",-0.737,0.308,-1.342,-0.197,0.013,0.009,606.0,620.0,1.01
"eps_tform[0, 23]",0.029,0.915,-1.815,1.651,0.026,0.028,1186.0,806.0,1.0
"eps_tform[0, 24]",-0.119,0.417,-0.88,0.679,0.016,0.011,704.0,709.0,1.02
"eps_tform[0, 25]",0.651,0.435,-0.236,1.387,0.017,0.013,626.0,684.0,1.0
"eps_tform[0, 26]",0.05,0.743,-1.348,1.421,0.022,0.022,1149.0,732.0,1.0
"eps_tform[0, 27]",-0.085,0.688,-1.53,1.091,0.022,0.019,968.0,773.0,1.01
"eps_tform[0, 28]",0.944,0.68,-0.305,2.276,0.022,0.016,961.0,808.0,1.0
"eps_tform[0, 29]",-0.732,0.569,-1.82,0.351,0.017,0.013,1068.0,795.0,1.0
"eps_tform[0, 30]",0.171,0.5,-0.722,1.071,0.018,0.014,756.0,737.0,1.0
"eps_tform[0, 31]",-1.135,0.46,-1.94,-0.24,0.016,0.011,837.0,790.0,1.0
"eps_tform[0, 32]",-0.815,0.88,-2.414,0.872,0.027,0.021,1012.0,530.0,1.0
"eps_tform[0, 33]",-0.461,0.466,-1.319,0.428,0.017,0.012,799.0,770.0,1.0
"eps_tform[0, 34]",0.277,0.902,-1.413,1.952,0.026,0.03,1196.0,790.0,1.0
"eps_tform[0, 35]",-0.138,0.728,-1.537,1.12,0.022,0.019,1119.0,998.0,1.0
"eps_tform[0, 36]",0.771,0.439,-0.092,1.607,0.016,0.011,725.0,650.0,1.01
"eps_tform[0, 37]",0.697,0.51,-0.317,1.627,0.017,0.013,855.0,671.0,1.0
"eps_tform[0, 38]",-0.662,0.467,-1.583,0.129,0.018,0.013,641.0,723.0,1.0
"eps_tform[0, 39]",-0.665,0.563,-1.787,0.326,0.02,0.014,772.0,740.0,1.01
"eps_tform[0, 40]",0.36,0.497,-0.467,1.436,0.016,0.012,985.0,821.0,1.0
"eps_tform[0, 41]",-0.376,1.029,-2.291,1.507,0.027,0.031,1460.0,712.0,1.0
"eps_tform[0, 42]",-0.939,0.506,-1.936,-0.047,0.017,0.012,882.0,808.0,1.0
"eps_tform[0, 43]",-0.763,0.685,-2.026,0.586,0.02,0.015,1162.0,808.0,1.0
"eps_tform[0, 44]",-0.281,0.898,-1.958,1.306,0.023,0.026,1572.0,707.0,1.02
"eps_tform[0, 45]",-0.208,0.87,-1.96,1.385,0.025,0.03,1272.0,559.0,1.0
"eps_tform[0, 46]",0.489,0.638,-0.772,1.576,0.022,0.016,849.0,793.0,1.0
"eps_tform[0, 47]",0.453,0.914,-1.541,1.974,0.02,0.024,2153.0,821.0,1.0
"eps_tform[0, 48]",1.189,0.667,-0.092,2.412,0.02,0.015,1066.0,791.0,1.01
"eps_tform[0, 49]",0.036,0.679,-1.264,1.209,0.02,0.02,1189.0,785.0,1.0
"eps_tform[0, 50]",0.016,1.026,-1.86,2.02,0.024,0.037,1871.0,675.0,1.01
"eps_tform[0, 51]",0.244,0.876,-1.595,1.706,0.02,0.025,1964.0,594.0,1.0
"eps_tform[0, 52]",-0.058,0.954,-1.74,1.633,0.026,0.031,1359.0,707.0,1.0
"eps_tform[0, 53]",-0.005,0.949,-1.845,1.744,0.022,0.029,1874.0,786.0,1.0
theta[0],0.807,0.142,0.559,1.094,0.007,0.005,463.0,771.0,1.01
tmax[0],0.022,0.174,-0.311,0.358,0.007,0.005,559.0,552.0,1.01
peak_MJD[0],54200.841,0.177,54200.502,54201.184,0.008,0.005,559.0,552.0,1.01
mu[0],34.725,0.106,34.527,34.918,0.003,0.002,964.0,932.0,1.0
delM[0],-0.002,0.096,-0.183,0.176,0.003,0.002,1122.0,808.0,1.0
