,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.097,0.046,0.015,0.184,0.002,0.002,388.0,455.0,1.01
Ds[0],35.636,0.045,35.553,35.714,0.002,0.002,358.0,381.0,1.0
RV[0],3.66,1.398,1.418,5.998,0.051,0.036,713.0,711.0,1.01
"eps[0, 0]",-0.183,0.045,-0.268,-0.099,0.002,0.001,514.0,639.0,1.01
"eps[1, 0]",-0.274,0.068,-0.399,-0.149,0.003,0.002,706.0,820.0,1.0
"eps[2, 0]",-0.189,0.063,-0.308,-0.072,0.003,0.002,478.0,449.0,1.01
"eps[3, 0]",-0.263,0.054,-0.353,-0.153,0.002,0.002,600.0,727.0,1.0
"eps[4, 0]",-0.288,0.059,-0.401,-0.186,0.002,0.002,581.0,788.0,1.01
"eps[5, 0]",-0.183,0.182,-0.513,0.168,0.007,0.005,670.0,756.0,1.0
"eps[6, 0]",-0.171,0.077,-0.316,-0.026,0.003,0.002,567.0,798.0,1.01
"eps[7, 0]",-0.064,0.071,-0.204,0.064,0.003,0.002,701.0,626.0,1.01
"eps[8, 0]",-0.199,0.091,-0.374,-0.037,0.003,0.002,1153.0,893.0,1.0
"eps[9, 0]",-0.02,0.026,-0.068,0.028,0.001,0.001,390.0,661.0,1.0
"eps[10, 0]",-0.039,0.027,-0.092,0.011,0.001,0.001,683.0,666.0,1.0
"eps[11, 0]",-0.043,0.029,-0.095,0.012,0.001,0.001,503.0,636.0,1.0
"eps[12, 0]",-0.082,0.021,-0.123,-0.047,0.001,0.001,519.0,443.0,1.01
"eps[13, 0]",0.012,0.031,-0.045,0.073,0.002,0.001,401.0,343.0,1.01
"eps[14, 0]",-0.013,0.117,-0.229,0.213,0.005,0.003,670.0,653.0,1.0
"eps[15, 0]",-0.026,0.061,-0.125,0.097,0.002,0.002,714.0,763.0,1.01
"eps[16, 0]",0.059,0.048,-0.025,0.148,0.002,0.001,546.0,584.0,1.0
"eps[17, 0]",0.004,0.071,-0.127,0.144,0.002,0.002,970.0,715.0,1.0
"eps[18, 0]",-0.01,0.027,-0.059,0.046,0.001,0.001,439.0,598.0,1.01
"eps[19, 0]",-0.021,0.027,-0.07,0.03,0.001,0.001,652.0,606.0,1.01
"eps[20, 0]",0.142,0.031,0.088,0.2,0.001,0.001,508.0,656.0,1.0
"eps[21, 0]",0.06,0.019,0.024,0.098,0.001,0.001,681.0,821.0,1.0
"eps[22, 0]",0.151,0.03,0.094,0.204,0.001,0.001,606.0,636.0,1.01
"eps[23, 0]",-0.099,0.114,-0.303,0.116,0.004,0.003,942.0,595.0,1.0
"eps[24, 0]",0.258,0.073,0.118,0.383,0.003,0.002,595.0,760.0,1.0
"eps[25, 0]",0.036,0.099,-0.141,0.22,0.003,0.003,1228.0,780.0,1.0
"eps[26, 0]",0.076,0.078,-0.065,0.221,0.003,0.002,783.0,710.0,1.01
"eps[27, 0]",0.008,0.034,-0.053,0.073,0.001,0.001,557.0,781.0,1.0
"eps[28, 0]",-0.046,0.048,-0.132,0.041,0.002,0.001,552.0,604.0,1.01
"eps[29, 0]",0.025,0.03,-0.025,0.082,0.001,0.001,544.0,636.0,1.01
"eps[30, 0]",-0.005,0.02,-0.042,0.029,0.001,0.001,635.0,799.0,1.0
"eps[31, 0]",-0.012,0.045,-0.094,0.072,0.002,0.002,415.0,548.0,1.0
"eps[32, 0]",-0.008,0.124,-0.259,0.217,0.004,0.004,1025.0,823.0,1.0
"eps[33, 0]",-0.085,0.075,-0.226,0.053,0.003,0.002,474.0,447.0,1.0
"eps[34, 0]",0.054,0.082,-0.088,0.212,0.003,0.002,975.0,754.0,1.0
"eps[35, 0]",0.034,0.053,-0.065,0.126,0.002,0.001,899.0,920.0,1.01
"eps[36, 0]",0.197,0.037,0.135,0.27,0.001,0.001,660.0,677.0,1.01
"eps[37, 0]",-0.027,0.04,-0.101,0.049,0.001,0.001,752.0,800.0,1.01
"eps[38, 0]",0.202,0.038,0.132,0.273,0.001,0.001,731.0,492.0,1.0
"eps[39, 0]",0.047,0.033,-0.019,0.106,0.001,0.001,552.0,752.0,1.0
"eps[40, 0]",0.048,0.031,-0.01,0.107,0.001,0.001,711.0,692.0,1.0
"eps[41, 0]",-0.081,0.105,-0.264,0.121,0.003,0.002,1051.0,869.0,1.0
"eps[42, 0]",-0.073,0.066,-0.207,0.044,0.002,0.002,763.0,657.0,1.0
"eps[43, 0]",-0.003,0.074,-0.14,0.133,0.002,0.002,1134.0,675.0,1.01
"eps[44, 0]",0.007,0.056,-0.096,0.108,0.002,0.002,1273.0,827.0,1.01
"eps[45, 0]",-0.068,0.048,-0.162,0.019,0.001,0.001,1351.0,867.0,1.0
"eps[46, 0]",0.002,0.072,-0.126,0.139,0.002,0.002,1431.0,829.0,1.0
"eps[47, 0]",-0.003,0.027,-0.051,0.048,0.001,0.001,1352.0,570.0,1.0
"eps[48, 0]",0.003,0.045,-0.075,0.089,0.001,0.001,931.0,989.0,1.0
"eps[49, 0]",0.102,0.043,0.019,0.179,0.001,0.001,1260.0,837.0,1.0
"eps[50, 0]",-0.012,0.091,-0.178,0.169,0.003,0.003,923.0,722.0,1.0
"eps[51, 0]",0.17,0.067,0.038,0.289,0.003,0.002,690.0,837.0,1.0
"eps[52, 0]",0.048,0.065,-0.082,0.164,0.002,0.001,1392.0,658.0,1.0
"eps[53, 0]",-0.074,0.052,-0.178,0.022,0.002,0.001,998.0,775.0,1.0
"eps_tform[0, 0]",-1.99,0.495,-2.913,-1.075,0.022,0.015,514.0,639.0,1.01
"eps_tform[0, 1]",-1.002,0.304,-1.562,-0.45,0.011,0.008,726.0,877.0,1.0
"eps_tform[0, 2]",-0.903,0.39,-1.688,-0.225,0.017,0.012,561.0,513.0,1.01
"eps_tform[0, 3]",-0.6,0.191,-0.925,-0.201,0.008,0.005,655.0,643.0,1.0
"eps_tform[0, 4]",-0.424,0.265,-0.905,0.052,0.009,0.007,781.0,813.0,1.01
"eps_tform[0, 5]",-0.358,0.853,-2.052,1.066,0.033,0.024,657.0,730.0,1.0
"eps_tform[0, 6]",-0.845,0.35,-1.476,-0.17,0.015,0.011,549.0,803.0,1.01
"eps_tform[0, 7]",0.074,0.428,-0.713,0.884,0.016,0.013,766.0,648.0,1.01
"eps_tform[0, 8]",-1.14,0.599,-2.229,0.019,0.017,0.012,1263.0,741.0,1.0
"eps_tform[0, 9]",-0.242,0.508,-1.155,0.732,0.025,0.018,398.0,666.0,1.0
"eps_tform[0, 10]",-0.159,0.465,-1.079,0.675,0.017,0.012,704.0,829.0,1.01
"eps_tform[0, 11]",-0.935,0.488,-1.792,0.042,0.023,0.016,441.0,581.0,1.0
"eps_tform[0, 12]",-1.457,0.417,-2.236,-0.685,0.019,0.013,501.0,559.0,1.01
"eps_tform[0, 13]",-0.081,0.449,-0.825,0.89,0.022,0.016,409.0,403.0,1.0
"eps_tform[0, 14]",-0.008,0.745,-1.33,1.445,0.028,0.021,719.0,732.0,1.0
"eps_tform[0, 15]",-0.695,0.589,-1.789,0.43,0.024,0.018,610.0,757.0,1.01
"eps_tform[0, 16]",-0.019,0.507,-0.93,0.894,0.021,0.015,583.0,712.0,1.0
"eps_tform[0, 17]",-0.31,0.862,-1.934,1.346,0.028,0.024,925.0,794.0,1.0
"eps_tform[0, 18]",0.298,0.477,-0.688,1.181,0.022,0.015,485.0,550.0,1.01
"eps_tform[0, 19]",-0.151,0.328,-0.718,0.502,0.012,0.009,695.0,659.0,1.0
"eps_tform[0, 20]",1.576,0.505,0.664,2.522,0.023,0.017,461.0,772.0,1.01
"eps_tform[0, 21]",0.309,0.433,-0.516,1.083,0.017,0.012,632.0,836.0,1.0
"eps_tform[0, 22]",0.094,0.368,-0.588,0.768,0.015,0.011,584.0,624.0,1.01
"eps_tform[0, 23]",-0.651,0.882,-2.374,0.935,0.03,0.023,878.0,596.0,1.0
"eps_tform[0, 24]",0.393,0.411,-0.343,1.137,0.017,0.013,619.0,711.0,1.0
"eps_tform[0, 25]",-0.347,0.731,-1.684,1.005,0.021,0.022,1215.0,734.0,1.0
"eps_tform[0, 26]",0.309,0.643,-0.933,1.475,0.023,0.018,805.0,698.0,1.0
"eps_tform[0, 27]",0.004,0.452,-0.765,0.931,0.019,0.014,539.0,786.0,1.0
"eps_tform[0, 28]",0.857,0.455,0.025,1.713,0.018,0.013,658.0,804.0,1.01
"eps_tform[0, 29]",0.061,0.546,-0.891,1.112,0.021,0.017,644.0,714.0,1.01
"eps_tform[0, 30]",-1.201,0.494,-2.084,-0.261,0.019,0.014,660.0,636.0,1.01
"eps_tform[0, 31]",0.282,0.451,-0.541,1.141,0.018,0.013,623.0,768.0,1.0
"eps_tform[0, 32]",-0.527,0.883,-2.293,0.989,0.026,0.024,1125.0,733.0,1.0
"eps_tform[0, 33]",-0.861,0.479,-1.737,0.038,0.021,0.015,507.0,744.0,1.0
"eps_tform[0, 34]",-0.01,0.751,-1.429,1.41,0.023,0.024,1095.0,731.0,1.0
"eps_tform[0, 35]",0.895,0.765,-0.521,2.222,0.022,0.017,1234.0,829.0,1.0
"eps_tform[0, 36]",1.62,0.451,0.857,2.492,0.017,0.012,665.0,772.0,1.01
"eps_tform[0, 37]",-0.129,0.518,-1.037,0.899,0.018,0.014,816.0,782.0,1.0
"eps_tform[0, 38]",1.469,0.582,0.432,2.532,0.019,0.014,983.0,854.0,1.0
"eps_tform[0, 39]",0.507,0.616,-0.617,1.71,0.022,0.016,771.0,657.0,1.01
"eps_tform[0, 40]",-0.478,0.547,-1.536,0.49,0.017,0.012,998.0,819.0,1.0
"eps_tform[0, 41]",-0.387,0.966,-2.377,1.351,0.026,0.028,1462.0,653.0,1.0
"eps_tform[0, 42]",-1.209,0.594,-2.373,-0.156,0.018,0.014,1058.0,918.0,1.0
"eps_tform[0, 43]",0.037,0.907,-1.635,1.736,0.023,0.031,1584.0,777.0,1.01
"eps_tform[0, 44]",-0.036,0.961,-1.744,1.766,0.023,0.03,1686.0,843.0,1.01
"eps_tform[0, 45]",-0.4,0.959,-2.184,1.317,0.022,0.029,1903.0,706.0,1.01
"eps_tform[0, 46]",0.109,0.769,-1.253,1.537,0.02,0.024,1447.0,804.0,1.0
"eps_tform[0, 47]",-0.086,0.964,-1.981,1.618,0.025,0.032,1424.0,790.0,1.0
"eps_tform[0, 48]",-0.438,0.791,-1.97,0.993,0.025,0.023,1012.0,618.0,1.0
"eps_tform[0, 49]",-0.324,0.818,-1.923,1.194,0.02,0.022,1653.0,782.0,1.0
"eps_tform[0, 50]",0.274,1.065,-1.774,2.128,0.023,0.04,2188.0,690.0,1.01
"eps_tform[0, 51]",0.763,0.876,-0.967,2.332,0.022,0.02,1560.0,764.0,1.0
"eps_tform[0, 52]",-0.046,0.93,-1.736,1.613,0.022,0.033,1809.0,708.0,1.0
"eps_tform[0, 53]",0.011,0.946,-1.732,1.735,0.022,0.031,1857.0,826.0,1.01
theta[0],0.639,0.152,0.349,0.909,0.008,0.005,398.0,491.0,1.01
tmax[0],0.309,0.134,0.058,0.548,0.005,0.004,646.0,621.0,1.01
peak_MJD[0],54207.751,0.138,54207.493,54207.998,0.006,0.004,646.0,621.0,1.01
mu[0],35.636,0.106,35.44,35.834,0.004,0.003,578.0,788.0,1.0
delM[0],0.0,0.094,-0.16,0.178,0.003,0.002,766.0,948.0,1.0
