,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.904,0.079,0.744,1.04,0.005,0.004,253.0,431.0,1.02
Ds[0],32.22,0.074,32.077,32.352,0.004,0.003,276.0,474.0,1.01
RV[0],1.946,0.272,1.461,2.469,0.016,0.012,268.0,412.0,1.01
"eps[0, 0]",0.044,0.058,-0.068,0.151,0.002,0.002,716.0,511.0,1.0
"eps[1, 0]",-0.126,0.152,-0.418,0.141,0.006,0.004,610.0,852.0,1.0
"eps[2, 0]",0.229,0.077,0.076,0.361,0.003,0.002,709.0,556.0,1.0
"eps[3, 0]",0.03,0.119,-0.187,0.25,0.006,0.004,471.0,415.0,1.0
"eps[4, 0]",0.225,0.083,0.068,0.376,0.003,0.002,833.0,878.0,1.0
"eps[5, 0]",0.096,0.205,-0.315,0.456,0.007,0.005,825.0,647.0,1.0
"eps[6, 0]",0.116,0.143,-0.14,0.389,0.006,0.004,645.0,659.0,1.0
"eps[7, 0]",0.231,0.038,0.163,0.311,0.002,0.001,488.0,617.0,1.0
"eps[8, 0]",0.084,0.053,-0.021,0.175,0.003,0.002,330.0,671.0,1.01
"eps[9, 0]",-0.004,0.036,-0.071,0.06,0.002,0.001,422.0,617.0,1.0
"eps[10, 0]",0.094,0.027,0.043,0.147,0.001,0.001,409.0,478.0,1.01
"eps[11, 0]",-0.017,0.021,-0.054,0.022,0.001,0.001,214.0,332.0,1.02
"eps[12, 0]",-0.014,0.022,-0.054,0.026,0.001,0.001,233.0,390.0,1.02
"eps[13, 0]",-0.068,0.024,-0.111,-0.023,0.002,0.001,264.0,303.0,1.01
"eps[14, 0]",-0.081,0.135,-0.334,0.175,0.004,0.004,1261.0,884.0,1.0
"eps[15, 0]",0.009,0.068,-0.11,0.139,0.003,0.002,700.0,705.0,1.0
"eps[16, 0]",0.012,0.029,-0.039,0.064,0.002,0.001,357.0,665.0,1.0
"eps[17, 0]",0.032,0.045,-0.043,0.122,0.003,0.002,317.0,698.0,1.0
"eps[18, 0]",-0.041,0.031,-0.103,0.016,0.002,0.001,417.0,469.0,1.0
"eps[19, 0]",0.125,0.027,0.076,0.175,0.001,0.001,735.0,842.0,1.01
"eps[20, 0]",-0.089,0.02,-0.129,-0.054,0.001,0.001,336.0,514.0,1.02
"eps[21, 0]",-0.047,0.019,-0.086,-0.015,0.001,0.001,239.0,424.0,1.03
"eps[22, 0]",-0.205,0.021,-0.243,-0.162,0.001,0.001,340.0,680.0,1.01
"eps[23, 0]",-0.122,0.113,-0.335,0.092,0.003,0.003,1367.0,753.0,1.0
"eps[24, 0]",-0.01,0.114,-0.222,0.199,0.003,0.004,1190.0,626.0,1.01
"eps[25, 0]",0.093,0.033,0.037,0.156,0.001,0.001,523.0,588.0,1.0
"eps[26, 0]",0.057,0.048,-0.024,0.154,0.003,0.002,305.0,613.0,1.0
"eps[27, 0]",-0.073,0.04,-0.141,0.005,0.002,0.001,443.0,594.0,1.0
"eps[28, 0]",0.354,0.033,0.293,0.417,0.001,0.001,648.0,865.0,1.01
"eps[29, 0]",-0.065,0.019,-0.101,-0.028,0.001,0.001,403.0,706.0,1.01
"eps[30, 0]",-0.04,0.02,-0.074,-0.0,0.001,0.001,212.0,272.0,1.02
"eps[31, 0]",-0.329,0.026,-0.378,-0.282,0.002,0.001,275.0,430.0,1.01
"eps[32, 0]",0.008,0.146,-0.255,0.276,0.004,0.004,1250.0,735.0,1.01
"eps[33, 0]",-0.226,0.051,-0.311,-0.121,0.003,0.002,395.0,670.0,1.0
"eps[34, 0]",-0.011,0.043,-0.093,0.065,0.002,0.002,339.0,661.0,1.0
"eps[35, 0]",-0.112,0.046,-0.195,-0.025,0.003,0.002,286.0,525.0,1.01
"eps[36, 0]",0.014,0.034,-0.049,0.081,0.002,0.001,497.0,537.0,1.0
"eps[37, 0]",0.306,0.032,0.243,0.362,0.001,0.001,685.0,808.0,1.01
"eps[38, 0]",0.029,0.023,-0.013,0.069,0.001,0.001,341.0,584.0,1.01
"eps[39, 0]",0.016,0.03,-0.04,0.072,0.001,0.001,441.0,610.0,1.0
"eps[40, 0]",-0.139,0.026,-0.191,-0.092,0.001,0.001,423.0,630.0,1.0
"eps[41, 0]",-0.201,0.123,-0.42,0.042,0.004,0.003,1054.0,762.0,1.0
"eps[42, 0]",-0.005,0.091,-0.171,0.17,0.003,0.003,1266.0,764.0,1.0
"eps[43, 0]",-0.231,0.037,-0.305,-0.166,0.002,0.001,531.0,691.0,1.0
