,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.837,0.101,0.656,1.025,0.007,0.005,217.0,345.0,1.02
Ds[0],32.317,0.095,32.139,32.492,0.006,0.004,232.0,357.0,1.01
RV[0],1.819,0.324,1.245,2.457,0.021,0.015,239.0,326.0,1.02
"eps[0, 0]",0.04,0.058,-0.071,0.154,0.002,0.002,1108.0,755.0,1.0
"eps[1, 0]",-0.105,0.152,-0.375,0.186,0.005,0.004,799.0,672.0,1.0
"eps[2, 0]",0.209,0.074,0.055,0.331,0.002,0.002,893.0,843.0,1.01
"eps[3, 0]",0.041,0.119,-0.181,0.261,0.004,0.003,708.0,758.0,1.0
"eps[4, 0]",0.237,0.085,0.073,0.395,0.003,0.002,861.0,973.0,1.01
"eps[5, 0]",0.083,0.214,-0.327,0.467,0.007,0.006,899.0,801.0,1.0
"eps[6, 0]",0.183,0.141,-0.083,0.444,0.005,0.004,734.0,511.0,1.0
"eps[7, 0]",0.223,0.038,0.157,0.303,0.002,0.001,419.0,630.0,1.0
"eps[8, 0]",0.089,0.051,-0.003,0.187,0.003,0.002,293.0,419.0,1.01
"eps[9, 0]",0.005,0.036,-0.065,0.071,0.002,0.001,496.0,745.0,1.01
"eps[10, 0]",0.097,0.027,0.043,0.147,0.001,0.001,673.0,598.0,1.0
"eps[11, 0]",-0.029,0.02,-0.069,0.009,0.001,0.001,347.0,476.0,1.01
"eps[12, 0]",-0.021,0.022,-0.061,0.02,0.001,0.001,282.0,453.0,1.01
"eps[13, 0]",-0.054,0.025,-0.1,-0.002,0.001,0.001,310.0,266.0,1.01
"eps[14, 0]",-0.054,0.145,-0.311,0.232,0.004,0.004,1555.0,721.0,1.0
"eps[15, 0]",0.038,0.07,-0.083,0.179,0.002,0.002,861.0,814.0,1.0
"eps[16, 0]",0.005,0.03,-0.044,0.068,0.002,0.001,331.0,474.0,1.01
"eps[17, 0]",0.029,0.046,-0.05,0.117,0.003,0.002,269.0,426.0,1.01
"eps[18, 0]",-0.033,0.03,-0.087,0.026,0.001,0.001,487.0,730.0,1.01
"eps[19, 0]",0.127,0.027,0.078,0.177,0.001,0.001,957.0,709.0,1.0
"eps[20, 0]",-0.101,0.019,-0.139,-0.067,0.001,0.001,354.0,378.0,1.01
"eps[21, 0]",-0.057,0.019,-0.09,-0.021,0.001,0.001,354.0,645.0,1.01
"eps[22, 0]",-0.191,0.024,-0.237,-0.145,0.001,0.001,342.0,432.0,1.01
"eps[23, 0]",-0.096,0.117,-0.322,0.112,0.003,0.003,1884.0,671.0,1.0
"eps[24, 0]",0.012,0.114,-0.205,0.211,0.003,0.004,1835.0,681.0,1.0
"eps[25, 0]",0.087,0.035,0.017,0.15,0.002,0.001,472.0,496.0,1.01
"eps[26, 0]",0.054,0.048,-0.036,0.142,0.003,0.002,272.0,428.0,1.01
"eps[27, 0]",-0.062,0.04,-0.137,0.009,0.002,0.001,511.0,823.0,1.0
"eps[28, 0]",0.352,0.033,0.288,0.412,0.001,0.001,765.0,847.0,1.01
"eps[29, 0]",-0.075,0.019,-0.113,-0.04,0.001,0.001,462.0,728.0,1.01
"eps[30, 0]",-0.051,0.019,-0.086,-0.014,0.001,0.001,259.0,313.0,1.02
"eps[31, 0]",-0.314,0.027,-0.365,-0.261,0.002,0.001,320.0,450.0,1.01
"eps[32, 0]",0.003,0.161,-0.333,0.273,0.005,0.005,1284.0,814.0,1.0
"eps[33, 0]",-0.177,0.052,-0.275,-0.08,0.002,0.002,519.0,754.0,1.0
"eps[34, 0]",-0.019,0.043,-0.103,0.058,0.002,0.002,353.0,630.0,1.0
"eps[35, 0]",-0.11,0.046,-0.194,-0.024,0.003,0.002,255.0,375.0,1.01
"eps[36, 0]",0.023,0.034,-0.039,0.087,0.001,0.001,622.0,783.0,1.0
"eps[37, 0]",0.307,0.034,0.246,0.373,0.001,0.001,783.0,814.0,1.0
"eps[38, 0]",0.015,0.022,-0.027,0.056,0.001,0.001,436.0,609.0,1.01
"eps[39, 0]",0.007,0.032,-0.051,0.068,0.001,0.001,481.0,662.0,1.0
