,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.961,0.052,0.864,1.057,0.003,0.002,275.0,320.0,1.0
Ds[0],34.034,0.046,33.948,34.127,0.003,0.002,289.0,350.0,1.0
RV[0],2.89,0.317,2.36,3.501,0.017,0.012,348.0,464.0,1.0
"eps[0, 0]",0.096,0.04,0.021,0.167,0.002,0.001,576.0,774.0,1.0
"eps[1, 0]",-0.066,0.052,-0.156,0.041,0.002,0.001,852.0,576.0,1.0
"eps[2, 0]",0.046,0.041,-0.029,0.128,0.002,0.001,481.0,384.0,1.0
"eps[3, 0]",-0.141,0.037,-0.208,-0.07,0.002,0.001,396.0,557.0,1.0
"eps[4, 0]",-0.002,0.039,-0.073,0.07,0.002,0.001,385.0,406.0,1.01
"eps[5, 0]",-0.16,0.194,-0.508,0.219,0.006,0.004,1126.0,817.0,1.0
"eps[6, 0]",0.039,0.092,-0.143,0.202,0.003,0.003,866.0,630.0,1.0
"eps[7, 0]",0.155,0.073,0.021,0.289,0.002,0.002,960.0,810.0,1.0
"eps[8, 0]",-0.226,0.098,-0.415,-0.054,0.003,0.002,821.0,756.0,1.01
"eps[9, 0]",-0.068,0.035,-0.136,-0.008,0.001,0.001,557.0,626.0,1.0
"eps[10, 0]",0.02,0.024,-0.022,0.067,0.001,0.001,667.0,744.0,1.0
"eps[11, 0]",-0.073,0.019,-0.108,-0.037,0.001,0.001,459.0,680.0,1.0
"eps[12, 0]",0.01,0.023,-0.035,0.051,0.001,0.001,352.0,529.0,1.01
"eps[13, 0]",-0.112,0.019,-0.145,-0.076,0.001,0.001,398.0,580.0,1.0
"eps[14, 0]",-0.207,0.138,-0.449,0.048,0.005,0.003,925.0,689.0,1.0
"eps[15, 0]",-0.069,0.048,-0.152,0.02,0.002,0.001,699.0,761.0,1.0
"eps[16, 0]",0.032,0.035,-0.033,0.097,0.002,0.001,358.0,379.0,1.0
"eps[17, 0]",-0.048,0.044,-0.144,0.024,0.002,0.002,370.0,564.0,1.0
"eps[18, 0]",-0.023,0.031,-0.082,0.032,0.001,0.001,475.0,786.0,1.01
"eps[19, 0]",0.081,0.027,0.029,0.131,0.001,0.001,697.0,747.0,1.0
"eps[20, 0]",-0.053,0.02,-0.087,-0.011,0.001,0.001,546.0,598.0,1.0
"eps[21, 0]",0.047,0.023,0.001,0.087,0.001,0.001,405.0,507.0,1.01
"eps[22, 0]",0.009,0.019,-0.028,0.044,0.001,0.001,530.0,605.0,1.01
"eps[23, 0]",0.07,0.132,-0.183,0.299,0.004,0.004,1332.0,680.0,1.0
"eps[24, 0]",0.049,0.052,-0.044,0.148,0.002,0.001,777.0,523.0,1.0
"eps[25, 0]",0.035,0.042,-0.05,0.106,0.002,0.001,443.0,766.0,1.0
"eps[26, 0]",-0.087,0.047,-0.173,0.001,0.002,0.002,496.0,592.0,1.0
"eps[27, 0]",0.004,0.043,-0.076,0.088,0.002,0.001,575.0,777.0,1.01
