,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.951,0.103,0.758,1.151,0.007,0.005,230.0,385.0,1.0
Ds[0],34.03,0.099,33.84,34.2,0.006,0.004,250.0,436.0,1.0
RV[0],2.819,0.542,1.929,3.98,0.036,0.026,227.0,345.0,1.0
"eps[0, 0]",0.105,0.041,0.029,0.179,0.002,0.001,606.0,678.0,1.0
"eps[1, 0]",-0.056,0.053,-0.144,0.047,0.002,0.001,920.0,730.0,1.01
"eps[2, 0]",0.039,0.042,-0.03,0.124,0.002,0.001,457.0,545.0,1.0
"eps[3, 0]",-0.171,0.032,-0.232,-0.116,0.002,0.001,416.0,569.0,1.01
"eps[4, 0]",-0.019,0.042,-0.097,0.055,0.002,0.002,313.0,397.0,1.01
"eps[5, 0]",-0.195,0.206,-0.567,0.201,0.008,0.006,669.0,526.0,1.01
"eps[6, 0]",0.081,0.088,-0.082,0.251,0.003,0.002,935.0,1012.0,1.0
"eps[7, 0]",0.176,0.073,0.043,0.322,0.002,0.002,1004.0,788.0,1.0
"eps[8, 0]",-0.203,0.099,-0.39,-0.004,0.004,0.003,765.0,475.0,1.0
"eps[9, 0]",-0.046,0.037,-0.115,0.024,0.002,0.001,346.0,473.0,1.01
"eps[10, 0]",0.035,0.024,-0.01,0.081,0.001,0.001,301.0,385.0,1.01
"eps[11, 0]",-0.071,0.019,-0.106,-0.037,0.001,0.001,295.0,554.0,1.01
"eps[12, 0]",-0.013,0.017,-0.044,0.019,0.001,0.001,167.0,177.0,1.02
"eps[13, 0]",-0.12,0.021,-0.161,-0.081,0.002,0.001,195.0,275.0,1.01
"eps[14, 0]",-0.163,0.13,-0.41,0.064,0.004,0.003,1126.0,898.0,1.0
"eps[15, 0]",-0.053,0.05,-0.136,0.046,0.002,0.001,577.0,810.0,1.0
"eps[16, 0]",0.06,0.032,0.0,0.118,0.002,0.001,337.0,362.0,1.0
"eps[17, 0]",-0.026,0.052,-0.117,0.069,0.003,0.002,326.0,315.0,1.0
"eps[18, 0]",-0.007,0.031,-0.064,0.051,0.002,0.001,388.0,466.0,1.0
"eps[19, 0]",0.096,0.027,0.047,0.145,0.001,0.001,699.0,909.0,1.0
"eps[20, 0]",-0.051,0.02,-0.091,-0.014,0.001,0.001,288.0,487.0,1.01
"eps[21, 0]",0.023,0.017,-0.01,0.054,0.001,0.001,253.0,495.0,1.01
"eps[22, 0]",0.0,0.023,-0.04,0.048,0.001,0.001,250.0,370.0,1.01
"eps[23, 0]",0.067,0.135,-0.181,0.322,0.004,0.004,978.0,490.0,1.0
"eps[24, 0]",0.078,0.052,-0.024,0.164,0.002,0.002,503.0,591.0,1.01
"eps[25, 0]",0.057,0.042,-0.029,0.128,0.002,0.001,484.0,541.0,1.0
"eps[26, 0]",-0.062,0.054,-0.15,0.044,0.003,0.002,434.0,604.0,1.0
"eps[27, 0]",0.016,0.042,-0.065,0.086,0.002,0.001,599.0,758.0,1.0
"eps[28, 0]",-0.095,0.036,-0.158,-0.028,0.001,0.001,671.0,883.0,1.0
"eps[29, 0]",0.027,0.021,-0.016,0.065,0.001,0.001,529.0,861.0,1.0
"eps[30, 0]",0.032,0.018,-0.001,0.067,0.001,0.001,217.0,195.0,1.01
"eps[31, 0]",0.103,0.026,0.059,0.155,0.002,0.001,227.0,460.0,1.01
"eps[32, 0]",0.088,0.14,-0.201,0.323,0.005,0.004,791.0,692.0,1.01
"eps[33, 0]",0.082,0.057,-0.014,0.198,0.002,0.002,603.0,825.0,1.0
"eps[34, 0]",0.387,0.066,0.262,0.513,0.002,0.002,710.0,756.0,1.01
"eps[35, 0]",0.038,0.06,-0.079,0.146,0.003,0.002,564.0,765.0,1.0
"eps[36, 0]",-0.088,0.041,-0.166,-0.014,0.002,0.001,584.0,828.0,1.0
"eps[37, 0]",0.042,0.038,-0.027,0.112,0.001,0.001,1086.0,853.0,1.0
"eps[38, 0]",0.013,0.025,-0.032,0.06,0.001,0.001,499.0,584.0,1.0
"eps[39, 0]",0.082,0.029,0.032,0.141,0.001,0.001,403.0,585.0,1.01
"eps[40, 0]",0.066,0.028,0.01,0.116,0.002,0.001,303.0,493.0,1.01
"eps[41, 0]",0.11,0.109,-0.107,0.292,0.003,0.003,1139.0,781.0,1.0
"eps[42, 0]",0.232,0.046,0.158,0.329,0.002,0.002,452.0,511.0,1.01
"eps[43, 0]",0.28,0.039,0.209,0.353,0.002,0.001,633.0,646.0,1.0
"eps[44, 0]",0.024,0.05,-0.064,0.123,0.002,0.002,412.0,534.0,1.02
"eps[45, 0]",-0.013,0.049,-0.102,0.075,0.001,0.001,1269.0,753.0,1.0
"eps[46, 0]",0.053,0.086,-0.107,0.211,0.002,0.002,1732.0,798.0,1.01
"eps[47, 0]",-0.024,0.027,-0.077,0.026,0.001,0.001,993.0,681.0,1.0
"eps[48, 0]",-0.158,0.056,-0.252,-0.05,0.002,0.001,829.0,669.0,1.0
"eps[49, 0]",-0.003,0.046,-0.088,0.083,0.002,0.001,941.0,709.0,1.0
"eps[50, 0]",-0.098,0.102,-0.284,0.107,0.004,0.003,759.0,680.0,1.01
"eps[51, 0]",-0.04,0.071,-0.159,0.107,0.002,0.002,1448.0,618.0,1.0
"eps[52, 0]",-0.107,0.066,-0.22,0.023,0.002,0.001,1502.0,805.0,1.0
"eps[53, 0]",-0.105,0.043,-0.187,-0.028,0.001,0.001,1006.0,880.0,1.0
"eps_tform[0, 0]",1.147,0.445,0.316,1.95,0.018,0.013,606.0,678.0,1.0
"eps_tform[0, 1]",-0.425,0.244,-0.829,0.084,0.007,0.006,1074.0,689.0,1.01
"eps_tform[0, 2]",-0.152,0.256,-0.596,0.328,0.014,0.01,331.0,538.0,1.01
"eps_tform[0, 3]",-0.71,0.095,-0.871,-0.528,0.005,0.003,430.0,423.0,1.01
"eps_tform[0, 4]",0.351,0.11,0.145,0.558,0.005,0.004,489.0,738.0,1.01
"eps_tform[0, 5]",-0.933,0.969,-2.569,1.042,0.036,0.029,713.0,472.0,1.01
"eps_tform[0, 6]",0.338,0.454,-0.595,1.124,0.014,0.011,1056.0,911.0,1.0
"eps_tform[0, 7]",1.092,0.454,0.267,2.007,0.014,0.01,1052.0,692.0,1.0
"eps_tform[0, 8]",-1.508,0.67,-2.862,-0.24,0.024,0.019,796.0,507.0,1.01
"eps_tform[0, 9]",-0.54,0.742,-1.931,0.872,0.04,0.028,346.0,450.0,1.01
"eps_tform[0, 10]",0.633,0.385,-0.114,1.308,0.021,0.016,336.0,659.0,1.01
"eps_tform[0, 11]",-0.892,0.398,-1.62,-0.154,0.029,0.02,191.0,324.0,1.01
"eps_tform[0, 12]",-0.652,0.333,-1.318,-0.088,0.023,0.016,219.0,427.0,1.01
"eps_tform[0, 13]",-1.662,0.319,-2.286,-1.086,0.023,0.016,203.0,271.0,1.01
"eps_tform[0, 14]",-0.77,0.847,-2.241,0.851,0.025,0.02,1158.0,829.0,1.0
"eps_tform[0, 15]",-0.602,0.455,-1.464,0.24,0.023,0.016,387.0,517.0,1.01
"eps_tform[0, 16]",0.919,0.361,0.314,1.664,0.019,0.014,359.0,535.0,1.01
"eps_tform[0, 17]",-1.004,0.542,-1.999,-0.046,0.028,0.02,384.0,702.0,1.0
"eps_tform[0, 18]",-0.079,0.455,-0.904,0.808,0.022,0.016,426.0,575.0,1.0
"eps_tform[0, 19]",1.157,0.334,0.545,1.792,0.011,0.008,874.0,815.0,1.0
"eps_tform[0, 20]",-0.21,0.384,-0.919,0.504,0.024,0.017,259.0,383.0,1.01
"eps_tform[0, 21]",-0.353,0.339,-0.955,0.274,0.02,0.014,275.0,339.0,1.02
"eps_tform[0, 22]",0.067,0.286,-0.485,0.574,0.018,0.013,255.0,339.0,1.01
"eps_tform[0, 23]",-0.054,0.996,-2.09,1.659,0.033,0.034,888.0,578.0,1.0
"eps_tform[0, 24]",0.945,0.257,0.457,1.434,0.014,0.01,362.0,421.0,1.01
