,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.4,0.102,0.222,0.598,0.005,0.004,409.0,494.0,1.01
Ds[0],37.594,0.095,37.414,37.759,0.004,0.003,454.0,620.0,1.01
RV[0],2.589,1.0,1.025,4.398,0.048,0.034,434.0,626.0,1.01
"eps[0, 0]",-0.087,0.085,-0.235,0.078,0.003,0.002,1169.0,803.0,1.0
"eps[1, 0]",0.191,0.19,-0.171,0.531,0.005,0.004,1388.0,807.0,1.0
"eps[2, 0]",-0.028,0.116,-0.234,0.19,0.004,0.003,1099.0,654.0,1.0
"eps[3, 0]",0.223,0.185,-0.13,0.566,0.005,0.004,1463.0,835.0,1.0
"eps[4, 0]",0.108,0.185,-0.228,0.474,0.004,0.005,1783.0,808.0,1.0
"eps[5, 0]",-0.138,0.198,-0.488,0.239,0.005,0.005,1540.0,889.0,1.0
"eps[6, 0]",0.004,0.181,-0.304,0.357,0.005,0.006,1526.0,661.0,1.0
"eps[7, 0]",0.058,0.162,-0.263,0.349,0.004,0.005,1396.0,578.0,1.01
"eps[8, 0]",-0.076,0.15,-0.35,0.205,0.003,0.004,2271.0,718.0,1.01
"eps[9, 0]",0.029,0.039,-0.038,0.106,0.001,0.001,831.0,665.0,1.0
"eps[10, 0]",-0.124,0.027,-0.173,-0.073,0.001,0.001,925.0,759.0,1.0
"eps[11, 0]",-0.062,0.033,-0.125,-0.0,0.001,0.001,1366.0,737.0,1.0
"eps[12, 0]",-0.048,0.04,-0.124,0.027,0.001,0.001,790.0,797.0,1.0
"eps[13, 0]",0.013,0.049,-0.079,0.106,0.001,0.001,1248.0,716.0,1.0
"eps[14, 0]",0.095,0.095,-0.089,0.257,0.003,0.003,1350.0,680.0,1.0
"eps[15, 0]",0.018,0.09,-0.143,0.193,0.003,0.003,954.0,613.0,1.01
"eps[16, 0]",-0.029,0.088,-0.194,0.136,0.003,0.003,965.0,628.0,1.0
"eps[17, 0]",-0.017,0.086,-0.187,0.13,0.002,0.003,2235.0,835.0,1.0
"eps[18, 0]",0.083,0.05,-0.011,0.176,0.002,0.001,1044.0,701.0,1.01
