,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.33,0.112,0.19,0.572,0.005,0.004,578.0,598.0,1.0
Ds[0],37.651,0.106,37.444,37.811,0.005,0.003,625.0,614.0,1.0
RV[0],1.868,0.84,1.001,3.467,0.037,0.027,620.0,794.0,1.01
"eps[0, 0]",-0.087,0.082,-0.241,0.066,0.002,0.002,1645.0,1013.0,1.0
"eps[1, 0]",0.202,0.194,-0.171,0.555,0.004,0.004,1915.0,701.0,1.01
"eps[2, 0]",-0.036,0.115,-0.256,0.16,0.003,0.004,1856.0,814.0,1.0
"eps[3, 0]",0.231,0.186,-0.105,0.571,0.004,0.004,2580.0,979.0,1.0
"eps[4, 0]",0.117,0.19,-0.26,0.456,0.004,0.005,2083.0,775.0,1.0
"eps[5, 0]",-0.152,0.199,-0.54,0.172,0.004,0.006,2297.0,791.0,1.0
"eps[6, 0]",0.001,0.187,-0.341,0.346,0.004,0.008,1972.0,813.0,1.02
"eps[7, 0]",0.058,0.162,-0.28,0.337,0.004,0.005,1767.0,696.0,1.01
"eps[8, 0]",-0.067,0.144,-0.336,0.198,0.003,0.004,2524.0,785.0,1.01
"eps[9, 0]",0.029,0.034,-0.037,0.088,0.001,0.001,1047.0,804.0,1.0
"eps[10, 0]",-0.115,0.026,-0.163,-0.065,0.001,0.001,1000.0,731.0,1.0
"eps[11, 0]",-0.064,0.032,-0.121,-0.006,0.001,0.001,1265.0,753.0,1.0
"eps[12, 0]",-0.052,0.036,-0.126,0.017,0.001,0.001,1279.0,696.0,1.0
"eps[13, 0]",0.012,0.048,-0.076,0.1,0.001,0.001,1423.0,897.0,1.0
"eps[14, 0]",0.107,0.095,-0.076,0.274,0.002,0.002,1461.0,733.0,1.0
"eps[15, 0]",0.044,0.081,-0.093,0.217,0.002,0.003,1425.0,593.0,1.01
"eps[16, 0]",-0.018,0.081,-0.186,0.122,0.002,0.002,1440.0,868.0,1.0
"eps[17, 0]",-0.02,0.087,-0.183,0.141,0.002,0.003,3000.0,711.0,1.0
"eps[18, 0]",0.078,0.047,-0.015,0.163,0.001,0.001,1281.0,800.0,1.0
"eps[19, 0]",0.086,0.044,0.001,0.167,0.001,0.001,1689.0,772.0,1.0
"eps[20, 0]",-0.072,0.038,-0.138,0.006,0.001,0.001,1220.0,729.0,1.0
"eps[21, 0]",0.047,0.042,-0.026,0.132,0.001,0.001,1681.0,865.0,1.0
"eps[22, 0]",0.114,0.059,0.002,0.221,0.001,0.001,1693.0,1034.0,1.0
"eps[23, 0]",0.181,0.117,-0.049,0.377,0.003,0.003,1997.0,752.0,1.01
"eps[24, 0]",0.057,0.131,-0.169,0.295,0.002,0.004,2799.0,779.0,1.01
"eps[25, 0]",0.015,0.137,-0.241,0.266,0.003,0.005,2200.0,635.0,1.0
"eps[26, 0]",0.072,0.132,-0.174,0.322,0.003,0.004,2067.0,875.0,1.0
"eps[27, 0]",0.284,0.05,0.194,0.38,0.001,0.001,1238.0,800.0,1.0
"eps[28, 0]",-0.11,0.052,-0.204,-0.018,0.002,0.001,985.0,849.0,1.0
"eps[29, 0]",-0.058,0.035,-0.127,0.003,0.001,0.001,1281.0,816.0,1.0
"eps[30, 0]",-0.053,0.041,-0.125,0.026,0.001,0.001,1261.0,848.0,1.0
"eps[31, 0]",-0.004,0.072,-0.142,0.121,0.002,0.002,1149.0,699.0,1.0
"eps[32, 0]",-0.054,0.109,-0.255,0.152,0.003,0.003,1554.0,911.0,1.0
"eps[33, 0]",-0.108,0.144,-0.389,0.136,0.003,0.004,1855.0,1023.0,1.0
"eps[34, 0]",-0.041,0.128,-0.283,0.202,0.003,0.004,1943.0,663.0,1.0
"eps[35, 0]",0.004,0.089,-0.166,0.18,0.002,0.003,2599.0,750.0,1.0
"eps[36, 0]",0.123,0.077,-0.02,0.271,0.002,0.002,1785.0,882.0,1.0
"eps[37, 0]",-0.053,0.074,-0.176,0.096,0.002,0.002,2249.0,980.0,1.01
"eps[38, 0]",-0.012,0.049,-0.104,0.078,0.001,0.001,1414.0,778.0,1.0
"eps[39, 0]",-0.057,0.05,-0.149,0.042,0.001,0.001,1551.0,835.0,1.0
"eps[40, 0]",0.069,0.053,-0.035,0.161,0.001,0.001,1414.0,728.0,1.0
"eps[41, 0]",0.076,0.102,-0.112,0.261,0.003,0.002,1575.0,502.0,1.0
"eps[42, 0]",0.097,0.109,-0.1,0.299,0.002,0.003,3000.0,735.0,1.0
"eps[43, 0]",-0.018,0.087,-0.175,0.149,0.002,0.003,2059.0,873.0,1.01
"eps[44, 0]",0.072,0.069,-0.072,0.189,0.001,0.001,2399.0,653.0,1.01
"eps[45, 0]",-0.067,0.056,-0.172,0.034,0.001,0.001,1834.0,577.0,1.0
"eps[46, 0]",0.07,0.103,-0.122,0.258,0.002,0.003,1836.0,801.0,1.0
"eps[47, 0]",-0.052,0.031,-0.108,0.004,0.001,0.001,2356.0,752.0,1.0
"eps[48, 0]",-0.039,0.077,-0.185,0.104,0.002,0.002,1719.0,739.0,1.0
"eps[49, 0]",0.058,0.07,-0.068,0.191,0.002,0.002,1968.0,810.0,1.0
"eps[50, 0]",-0.041,0.113,-0.245,0.168,0.003,0.003,1957.0,839.0,1.0
"eps[51, 0]",0.221,0.095,0.052,0.401,0.003,0.002,1288.0,659.0,1.01
"eps[52, 0]",0.085,0.087,-0.08,0.243,0.002,0.002,1565.0,959.0,1.0
"eps[53, 0]",0.021,0.073,-0.101,0.183,0.002,0.003,2293.0,648.0,1.02
"eps_tform[0, 0]",-0.942,0.892,-2.615,0.712,0.022,0.019,1645.0,1013.0,1.0
"eps_tform[0, 1]",1.082,0.914,-0.542,2.845,0.021,0.019,1829.0,782.0,1.01
"eps_tform[0, 2]",0.161,0.901,-1.544,1.827,0.021,0.026,1812.0,813.0,1.01
"eps_tform[0, 3]",0.707,0.87,-0.975,2.315,0.018,0.02,2245.0,871.0,1.01
"eps_tform[0, 4]",-0.006,0.899,-1.863,1.524,0.021,0.031,1769.0,734.0,1.0
"eps_tform[0, 5]",-0.665,0.911,-2.235,1.009,0.018,0.024,2481.0,706.0,1.0
"eps_tform[0, 6]",-0.151,1.008,-1.929,1.85,0.022,0.037,2068.0,702.0,1.02
"eps_tform[0, 7]",0.303,0.993,-1.658,2.12,0.023,0.033,1824.0,641.0,1.01
"eps_tform[0, 8]",-0.727,0.954,-2.33,1.202,0.018,0.023,2731.0,813.0,1.01
"eps_tform[0, 9]",0.331,0.68,-0.92,1.584,0.021,0.019,1057.0,696.0,1.0
"eps_tform[0, 10]",-2.202,0.436,-3.009,-1.381,0.014,0.01,1062.0,808.0,1.0
