,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.3,0.057,0.194,0.41,0.003,0.002,438.0,481.0,1.02
Ds[0],36.114,0.047,36.033,36.212,0.002,0.002,393.0,583.0,1.01
RV[0],4.792,0.914,3.129,5.998,0.037,0.026,610.0,427.0,1.01
"eps[0, 0]",0.043,0.067,-0.083,0.167,0.003,0.002,592.0,578.0,1.0
"eps[1, 0]",0.143,0.109,-0.083,0.328,0.004,0.003,695.0,694.0,1.01
"eps[2, 0]",0.053,0.104,-0.128,0.254,0.004,0.003,750.0,780.0,1.01
"eps[3, 0]",0.362,0.111,0.131,0.546,0.004,0.003,682.0,736.0,1.0
"eps[4, 0]",0.003,0.099,-0.181,0.175,0.003,0.002,879.0,777.0,1.0
"eps[5, 0]",0.088,0.188,-0.264,0.419,0.005,0.005,1181.0,845.0,1.0
"eps[6, 0]",-0.356,0.136,-0.604,-0.103,0.004,0.003,990.0,727.0,1.01
"eps[7, 0]",-0.398,0.123,-0.618,-0.152,0.004,0.003,1129.0,732.0,1.01
"eps[8, 0]",-0.117,0.135,-0.36,0.145,0.005,0.004,833.0,646.0,1.01
"eps[9, 0]",0.022,0.027,-0.026,0.073,0.001,0.001,579.0,758.0,1.0
"eps[10, 0]",0.02,0.028,-0.028,0.072,0.001,0.001,633.0,716.0,1.0
"eps[11, 0]",-0.052,0.029,-0.108,-0.0,0.001,0.001,617.0,590.0,1.0
"eps[12, 0]",0.024,0.027,-0.029,0.072,0.001,0.001,569.0,639.0,1.0
"eps[13, 0]",-0.03,0.03,-0.088,0.024,0.001,0.001,490.0,776.0,1.0
"eps[14, 0]",-0.236,0.121,-0.453,-0.0,0.005,0.003,682.0,609.0,1.0
"eps[15, 0]",0.011,0.062,-0.101,0.128,0.003,0.002,616.0,689.0,1.0
"eps[16, 0]",0.093,0.056,-0.004,0.201,0.003,0.002,323.0,589.0,1.01
"eps[17, 0]",-0.171,0.058,-0.277,-0.068,0.002,0.001,772.0,759.0,1.0
"eps[18, 0]",-0.059,0.035,-0.121,0.009,0.002,0.001,441.0,553.0,1.01
"eps[19, 0]",0.034,0.029,-0.02,0.083,0.001,0.001,771.0,819.0,1.0
"eps[20, 0]",-0.087,0.033,-0.148,-0.027,0.002,0.001,474.0,672.0,1.0
"eps[21, 0]",0.044,0.027,-0.009,0.093,0.001,0.001,736.0,654.0,1.0
"eps[22, 0]",0.103,0.033,0.043,0.165,0.002,0.001,452.0,663.0,1.01
"eps[23, 0]",0.098,0.121,-0.113,0.327,0.004,0.003,1123.0,625.0,1.0
"eps[24, 0]",0.047,0.088,-0.121,0.206,0.003,0.003,739.0,710.0,1.0
"eps[25, 0]",0.167,0.114,-0.04,0.381,0.003,0.003,1450.0,703.0,1.0
"eps[26, 0]",0.112,0.122,-0.11,0.326,0.004,0.003,1045.0,837.0,1.0
"eps[27, 0]",0.02,0.039,-0.052,0.092,0.001,0.001,673.0,633.0,1.0
"eps[28, 0]",-0.014,0.048,-0.103,0.072,0.002,0.002,579.0,775.0,1.0
"eps[29, 0]",-0.047,0.029,-0.107,0.004,0.001,0.001,871.0,850.0,1.0
"eps[30, 0]",0.047,0.027,-0.0,0.1,0.001,0.001,1065.0,950.0,1.0
"eps[31, 0]",0.102,0.048,0.012,0.189,0.002,0.001,516.0,562.0,1.0
"eps[32, 0]",0.197,0.12,-0.026,0.411,0.004,0.003,1145.0,836.0,1.0
"eps[33, 0]",0.012,0.083,-0.13,0.175,0.003,0.002,577.0,736.0,1.01
"eps[34, 0]",-0.043,0.116,-0.267,0.168,0.003,0.004,1391.0,841.0,1.0
"eps[35, 0]",-0.019,0.081,-0.172,0.131,0.002,0.003,1827.0,644.0,1.0
"eps[36, 0]",0.009,0.043,-0.076,0.088,0.001,0.001,1032.0,873.0,1.0
"eps[37, 0]",-0.112,0.051,-0.206,-0.012,0.002,0.001,1086.0,895.0,1.0
"eps[38, 0]",-0.08,0.042,-0.158,-0.003,0.001,0.001,907.0,845.0,1.01
"eps[39, 0]",-0.102,0.041,-0.181,-0.03,0.001,0.001,770.0,822.0,1.01
"eps[40, 0]",-0.05,0.035,-0.112,0.014,0.001,0.001,754.0,825.0,1.01
"eps[41, 0]",0.012,0.102,-0.186,0.198,0.003,0.003,1312.0,790.0,1.01
"eps[42, 0]",0.054,0.066,-0.07,0.179,0.003,0.002,627.0,707.0,1.0
"eps[43, 0]",0.058,0.074,-0.072,0.2,0.002,0.002,1390.0,780.0,1.0
"eps[44, 0]",-0.001,0.061,-0.115,0.113,0.002,0.002,1362.0,760.0,1.0
"eps[45, 0]",-0.098,0.05,-0.198,-0.011,0.001,0.001,1739.0,805.0,1.0
"eps[46, 0]",0.099,0.089,-0.073,0.259,0.002,0.002,1363.0,747.0,1.01
"eps[47, 0]",-0.036,0.028,-0.086,0.016,0.001,0.001,1787.0,781.0,1.0
"eps[48, 0]",0.272,0.055,0.172,0.376,0.001,0.001,1376.0,1033.0,1.0
"eps[49, 0]",0.191,0.051,0.09,0.285,0.001,0.001,1480.0,822.0,1.01
"eps[50, 0]",0.119,0.101,-0.066,0.309,0.003,0.002,836.0,790.0,1.0
"eps[51, 0]",0.116,0.084,-0.035,0.271,0.003,0.002,921.0,736.0,1.0
"eps[52, 0]",0.131,0.077,-0.002,0.279,0.002,0.002,1214.0,873.0,1.0
"eps[53, 0]",-0.021,0.059,-0.143,0.085,0.002,0.002,1152.0,773.0,1.01
"eps_tform[0, 0]",0.465,0.725,-0.899,1.82,0.03,0.021,592.0,578.0,1.0
