,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.317,0.081,0.17,0.464,0.004,0.003,408.0,560.0,1.01
Ds[0],36.089,0.071,35.962,36.225,0.003,0.002,448.0,587.0,1.0
RV[0],4.202,1.209,2.033,5.995,0.05,0.036,617.0,665.0,1.0
"eps[0, 0]",0.043,0.067,-0.077,0.172,0.003,0.002,643.0,759.0,1.01
"eps[1, 0]",0.146,0.108,-0.053,0.339,0.003,0.003,990.0,651.0,1.0
"eps[2, 0]",0.06,0.106,-0.133,0.262,0.004,0.003,757.0,731.0,1.0
"eps[3, 0]",0.365,0.11,0.171,0.564,0.004,0.003,920.0,633.0,1.0
"eps[4, 0]",0.006,0.104,-0.171,0.211,0.003,0.003,949.0,734.0,1.0
"eps[5, 0]",0.098,0.192,-0.241,0.462,0.006,0.005,1110.0,847.0,1.0
"eps[6, 0]",-0.365,0.137,-0.603,-0.102,0.004,0.003,1210.0,711.0,1.0
"eps[7, 0]",-0.403,0.12,-0.63,-0.162,0.004,0.003,960.0,512.0,1.01
"eps[8, 0]",-0.12,0.134,-0.371,0.118,0.004,0.003,1222.0,661.0,1.01
"eps[9, 0]",0.02,0.029,-0.036,0.071,0.001,0.001,572.0,888.0,1.0
"eps[10, 0]",0.024,0.027,-0.023,0.077,0.001,0.001,706.0,790.0,1.0
"eps[11, 0]",-0.051,0.029,-0.103,0.004,0.001,0.001,624.0,906.0,1.0
"eps[12, 0]",0.029,0.026,-0.019,0.073,0.001,0.001,798.0,730.0,1.01
"eps[13, 0]",-0.033,0.03,-0.092,0.02,0.001,0.001,648.0,655.0,1.0
"eps[14, 0]",-0.237,0.12,-0.465,-0.025,0.004,0.004,755.0,827.0,1.0
"eps[15, 0]",0.0,0.062,-0.106,0.131,0.002,0.002,857.0,653.0,1.0
"eps[16, 0]",0.089,0.056,-0.013,0.196,0.002,0.002,503.0,541.0,1.0
"eps[17, 0]",-0.169,0.06,-0.276,-0.06,0.002,0.001,1046.0,883.0,1.0
"eps[18, 0]",-0.064,0.035,-0.138,-0.005,0.001,0.001,550.0,460.0,1.01
"eps[19, 0]",0.035,0.028,-0.016,0.088,0.001,0.001,753.0,752.0,1.01
"eps[20, 0]",-0.085,0.031,-0.14,-0.025,0.001,0.001,609.0,801.0,1.0
"eps[21, 0]",0.046,0.027,-0.005,0.098,0.001,0.001,858.0,893.0,1.0
"eps[22, 0]",0.102,0.033,0.04,0.161,0.001,0.001,614.0,661.0,1.0
"eps[23, 0]",0.098,0.127,-0.124,0.346,0.004,0.003,1263.0,778.0,1.0
"eps[24, 0]",0.04,0.085,-0.125,0.195,0.003,0.003,825.0,697.0,1.0
"eps[25, 0]",0.157,0.109,-0.053,0.351,0.003,0.002,1597.0,808.0,1.0
"eps[26, 0]",0.105,0.125,-0.119,0.34,0.003,0.003,1710.0,848.0,1.0
"eps[27, 0]",0.014,0.039,-0.055,0.089,0.001,0.001,807.0,707.0,1.01
"eps[28, 0]",-0.015,0.046,-0.106,0.066,0.002,0.001,709.0,492.0,1.01
"eps[29, 0]",-0.045,0.029,-0.1,0.011,0.001,0.001,817.0,917.0,1.0
"eps[30, 0]",0.052,0.026,0.005,0.102,0.001,0.001,859.0,776.0,1.0
"eps[31, 0]",0.102,0.046,0.01,0.188,0.002,0.001,623.0,629.0,1.01
"eps[32, 0]",0.195,0.121,-0.015,0.428,0.004,0.003,1126.0,953.0,1.0
"eps[33, 0]",0.006,0.083,-0.143,0.162,0.003,0.002,778.0,683.0,1.01
"eps[34, 0]",-0.048,0.116,-0.247,0.188,0.003,0.004,1411.0,786.0,1.0
"eps[35, 0]",-0.02,0.084,-0.174,0.132,0.002,0.003,1341.0,755.0,1.0
"eps[36, 0]",0.006,0.043,-0.069,0.091,0.001,0.001,1230.0,876.0,1.0
"eps[37, 0]",-0.112,0.05,-0.214,-0.021,0.001,0.001,1173.0,860.0,1.0
"eps[38, 0]",-0.079,0.041,-0.15,-0.001,0.001,0.001,922.0,811.0,1.0
"eps[39, 0]",-0.102,0.039,-0.167,-0.019,0.001,0.001,858.0,883.0,1.01
"eps[40, 0]",-0.054,0.036,-0.123,0.009,0.001,0.001,850.0,806.0,1.0
"eps[41, 0]",0.007,0.101,-0.177,0.197,0.003,0.003,1297.0,813.0,1.0
"eps[42, 0]",0.045,0.064,-0.075,0.164,0.003,0.002,658.0,722.0,1.0
"eps[43, 0]",0.054,0.077,-0.082,0.197,0.002,0.002,1762.0,745.0,1.0
"eps[44, 0]",-0.005,0.06,-0.117,0.107,0.002,0.002,1290.0,787.0,1.0
"eps[45, 0]",-0.097,0.051,-0.207,-0.018,0.001,0.001,1483.0,665.0,1.0
"eps[46, 0]",0.094,0.088,-0.064,0.259,0.002,0.002,1657.0,786.0,1.0
"eps[47, 0]",-0.036,0.029,-0.087,0.017,0.001,0.001,2085.0,761.0,1.0
"eps[48, 0]",0.276,0.053,0.172,0.367,0.001,0.001,1311.0,792.0,1.0
"eps[49, 0]",0.185,0.048,0.103,0.278,0.001,0.001,1335.0,720.0,1.0
"eps[50, 0]",0.123,0.098,-0.049,0.326,0.003,0.002,1101.0,877.0,1.0
"eps[51, 0]",0.109,0.085,-0.045,0.271,0.003,0.002,1159.0,786.0,1.0
"eps[52, 0]",0.131,0.08,-0.025,0.272,0.002,0.002,1395.0,628.0,1.0
"eps[53, 0]",-0.019,0.056,-0.116,0.092,0.002,0.002,1263.0,869.0,1.0
"eps_tform[0, 0]",0.468,0.727,-0.835,1.868,0.029,0.02,643.0,759.0,1.01
"eps_tform[0, 1]",0.619,0.51,-0.408,1.461,0.016,0.013,1099.0,711.0,1.0
"eps_tform[0, 2]",0.379,0.761,-0.982,1.876,0.025,0.02,933.0,780.0,1.0
"eps_tform[0, 3]",1.469,0.532,0.577,2.528,0.016,0.011,1132.0,818.0,1.0
"eps_tform[0, 4]",-1.084,0.578,-2.176,-0.024,0.016,0.012,1336.0,938.0,1.0
"eps_tform[0, 5]",-0.072,0.879,-1.734,1.518,0.026,0.027,1118.0,876.0,1.0
"eps_tform[0, 6]",-1.895,0.714,-3.231,-0.597,0.02,0.014,1238.0,712.0,1.0
"eps_tform[0, 7]",-2.225,0.752,-3.668,-0.805,0.024,0.018,1002.0,550.0,1.0
"eps_tform[0, 8]",-0.558,0.909,-2.262,1.118,0.025,0.022,1299.0,691.0,1.01
"eps_tform[0, 9]",0.117,0.573,-1.084,1.07,0.024,0.017,579.0,695.0,1.0
"eps_tform[0, 10]",0.239,0.438,-0.58,1.095,0.016,0.011,749.0,836.0,1.0
"eps_tform[0, 11]",-1.106,0.506,-2.015,-0.143,0.022,0.016,504.0,716.0,1.0
"eps_tform[0, 12]",1.243,0.483,0.34,2.119,0.017,0.012,838.0,880.0,1.0
"eps_tform[0, 13]",-0.621,0.439,-1.45,0.186,0.017,0.012,639.0,612.0,1.0
"eps_tform[0, 14]",-1.165,0.77,-2.662,0.253,0.024,0.024,1025.0,660.0,1.0
"eps_tform[0, 15]",-0.025,0.598,-1.082,1.096,0.021,0.018,846.0,840.0,1.0
"eps_tform[0, 16]",1.034,0.526,0.118,2.072,0.023,0.017,519.0,696.0,1.0
"eps_tform[0, 17]",-1.632,0.707,-2.922,-0.329,0.022,0.016,1061.0,918.0,1.0
"eps_tform[0, 18]",-0.873,0.624,-2.032,0.264,0.028,0.02,472.0,581.0,1.02
"eps_tform[0, 19]",0.648,0.335,0.031,1.308,0.01,0.008,1079.0,782.0,1.01
"eps_tform[0, 20]",-0.84,0.536,-1.736,0.189,0.021,0.015,634.0,833.0,1.0
"eps_tform[0, 21]",-0.124,0.525,-1.082,0.855,0.018,0.013,874.0,831.0,1.0
"eps_tform[0, 22]",0.995,0.409,0.267,1.786,0.016,0.011,686.0,703.0,1.01
"eps_tform[0, 23]",0.026,0.928,-1.65,1.724,0.025,0.028,1330.0,810.0,1.0
"eps_tform[0, 24]",0.36,0.517,-0.67,1.284,0.017,0.015,939.0,850.0,1.0
"eps_tform[0, 25]",0.651,0.805,-0.88,2.076,0.02,0.02,1577.0,798.0,1.0
