,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.318,0.054,0.216,0.415,0.003,0.002,464.0,649.0,1.01
Ds[0],36.129,0.052,36.034,36.227,0.002,0.002,482.0,761.0,1.01
RV[0],4.356,1.088,2.466,6.0,0.045,0.031,629.0,544.0,1.0
"eps[0, 0]",-0.107,0.072,-0.245,0.028,0.002,0.002,1392.0,858.0,1.01
"eps[1, 0]",0.107,0.139,-0.157,0.372,0.004,0.003,1449.0,825.0,1.0
"eps[2, 0]",0.002,0.107,-0.186,0.22,0.003,0.003,1551.0,707.0,1.01
"eps[3, 0]",0.742,0.135,0.499,1.0,0.004,0.002,1475.0,721.0,1.0
"eps[4, 0]",0.538,0.149,0.278,0.828,0.004,0.003,1647.0,632.0,1.0
"eps[5, 0]",0.04,0.182,-0.312,0.365,0.004,0.006,1910.0,763.0,1.0
"eps[6, 0]",0.02,0.172,-0.279,0.341,0.005,0.005,1245.0,509.0,1.01
"eps[7, 0]",0.013,0.148,-0.282,0.288,0.003,0.005,2362.0,679.0,1.0
"eps[8, 0]",0.145,0.135,-0.083,0.422,0.004,0.003,1079.0,745.0,1.01
"eps[9, 0]",-0.005,0.025,-0.049,0.042,0.001,0.001,746.0,698.0,1.0
"eps[10, 0]",-0.051,0.026,-0.096,0.003,0.001,0.001,1054.0,820.0,1.0
"eps[11, 0]",0.066,0.035,0.001,0.13,0.001,0.001,1142.0,841.0,1.0
"eps[12, 0]",-0.02,0.028,-0.069,0.034,0.001,0.001,1064.0,745.0,1.01
"eps[13, 0]",-0.014,0.034,-0.079,0.05,0.001,0.001,1077.0,783.0,1.0
"eps[14, 0]",-0.305,0.105,-0.483,-0.095,0.003,0.002,1099.0,856.0,1.0
"eps[15, 0]",-0.1,0.074,-0.234,0.039,0.002,0.002,1193.0,850.0,1.0
"eps[16, 0]",-0.207,0.075,-0.353,-0.068,0.002,0.002,1298.0,714.0,1.0
"eps[17, 0]",-0.068,0.076,-0.198,0.079,0.002,0.002,1587.0,653.0,1.01
"eps[18, 0]",-0.157,0.03,-0.211,-0.101,0.001,0.001,724.0,777.0,1.0
"eps[19, 0]",-0.105,0.024,-0.15,-0.062,0.001,0.001,969.0,760.0,1.0
"eps[20, 0]",-0.006,0.035,-0.066,0.064,0.001,0.001,693.0,880.0,1.0
"eps[21, 0]",-0.139,0.026,-0.19,-0.093,0.001,0.001,881.0,755.0,1.0
"eps[22, 0]",0.075,0.038,0.004,0.146,0.001,0.001,884.0,884.0,1.0
"eps[23, 0]",-0.098,0.116,-0.329,0.098,0.003,0.003,1472.0,837.0,1.0
"eps[24, 0]",0.109,0.095,-0.055,0.293,0.003,0.002,1047.0,945.0,1.0
"eps[25, 0]",0.064,0.106,-0.124,0.259,0.003,0.003,1790.0,886.0,1.0
"eps[26, 0]",-0.004,0.118,-0.239,0.21,0.003,0.004,1525.0,644.0,1.01
"eps[27, 0]",0.275,0.036,0.215,0.349,0.001,0.001,836.0,847.0,1.0
"eps[28, 0]",-0.133,0.039,-0.214,-0.069,0.001,0.001,884.0,696.0,1.0
"eps[29, 0]",0.183,0.033,0.126,0.246,0.001,0.001,802.0,811.0,1.0
"eps[30, 0]",-0.12,0.024,-0.163,-0.074,0.001,0.001,973.0,760.0,1.0
"eps[31, 0]",0.061,0.043,-0.025,0.135,0.002,0.001,735.0,745.0,1.0
"eps[32, 0]",0.016,0.109,-0.172,0.231,0.003,0.004,1259.0,728.0,1.0
"eps[33, 0]",-0.237,0.069,-0.371,-0.112,0.003,0.002,656.0,717.0,1.0
"eps[34, 0]",-0.105,0.08,-0.263,0.044,0.003,0.002,1007.0,821.0,1.0
"eps[35, 0]",-0.067,0.065,-0.186,0.051,0.002,0.001,1822.0,856.0,1.0
"eps[36, 0]",0.097,0.051,0.0,0.189,0.002,0.001,1028.0,808.0,1.01
"eps[37, 0]",-0.013,0.048,-0.103,0.072,0.001,0.001,1197.0,813.0,1.0
"eps[38, 0]",-0.003,0.039,-0.069,0.076,0.001,0.001,976.0,771.0,1.01
"eps[39, 0]",0.107,0.036,0.045,0.178,0.001,0.001,834.0,893.0,1.0
"eps[40, 0]",0.039,0.035,-0.026,0.102,0.001,0.001,1212.0,763.0,1.01
"eps[41, 0]",-0.033,0.093,-0.201,0.144,0.002,0.003,1438.0,747.0,1.0
"eps[42, 0]",0.19,0.056,0.087,0.296,0.002,0.001,1156.0,970.0,1.0
"eps[43, 0]",0.104,0.065,-0.014,0.225,0.002,0.001,1059.0,923.0,1.0
"eps[44, 0]",0.009,0.052,-0.087,0.105,0.002,0.001,1185.0,816.0,1.0
"eps[45, 0]",-0.044,0.038,-0.114,0.027,0.001,0.001,1779.0,1038.0,1.0
"eps[46, 0]",0.041,0.048,-0.047,0.136,0.001,0.001,1100.0,957.0,1.0
"eps[47, 0]",-0.025,0.025,-0.067,0.025,0.001,0.001,1413.0,786.0,1.0
"eps[48, 0]",0.181,0.038,0.116,0.255,0.001,0.001,1024.0,853.0,1.0
"eps[49, 0]",0.13,0.034,0.072,0.196,0.001,0.001,1064.0,990.0,1.0
"eps[50, 0]",0.203,0.084,0.048,0.362,0.002,0.002,1427.0,712.0,1.0
"eps[51, 0]",-0.203,0.064,-0.322,-0.083,0.002,0.001,1019.0,783.0,1.0
"eps[52, 0]",-0.198,0.077,-0.338,-0.049,0.002,0.001,1778.0,643.0,1.0
"eps[53, 0]",-0.053,0.056,-0.163,0.049,0.002,0.001,1330.0,635.0,1.0
"eps_tform[0, 0]",-1.164,0.786,-2.659,0.302,0.021,0.017,1392.0,858.0,1.01
"eps_tform[0, 1]",0.669,0.677,-0.494,2.033,0.018,0.016,1404.0,829.0,1.0
"eps_tform[0, 2]",0.521,0.825,-1.111,2.047,0.023,0.02,1264.0,801.0,1.0
"eps_tform[0, 3]",3.412,0.675,2.246,4.79,0.018,0.013,1374.0,789.0,1.0
"eps_tform[0, 4]",1.056,0.718,-0.234,2.441,0.019,0.014,1403.0,815.0,1.0
"eps_tform[0, 5]",-0.313,0.852,-1.811,1.334,0.019,0.026,2013.0,741.0,1.0
"eps_tform[0, 6]",-0.072,0.926,-1.793,1.537,0.026,0.029,1282.0,630.0,1.01
"eps_tform[0, 7]",-0.17,0.899,-1.797,1.665,0.019,0.03,2179.0,702.0,1.0
"eps_tform[0, 8]",0.722,0.91,-0.895,2.464,0.025,0.02,1285.0,766.0,1.01
"eps_tform[0, 9]",-0.828,0.498,-1.751,0.131,0.018,0.013,746.0,796.0,1.0
"eps_tform[0, 10]",-1.071,0.453,-1.992,-0.252,0.014,0.011,972.0,830.0,1.01
"eps_tform[0, 11]",1.179,0.605,0.195,2.39,0.019,0.015,1019.0,787.0,1.01
"eps_tform[0, 12]",0.771,0.593,-0.346,1.895,0.017,0.013,1165.0,814.0,1.0
"eps_tform[0, 13]",-0.279,0.52,-1.157,0.761,0.017,0.013,974.0,660.0,1.0
"eps_tform[0, 14]",-1.62,0.675,-2.958,-0.436,0.021,0.016,1082.0,881.0,1.0
"eps_tform[0, 15]",-1.016,0.772,-2.48,0.346,0.023,0.017,1143.0,867.0,1.0
"eps_tform[0, 16]",-1.725,0.797,-3.105,-0.202,0.02,0.016,1611.0,879.0,1.0
"eps_tform[0, 17]",0.276,0.902,-1.443,1.961,0.023,0.027,1515.0,777.0,1.01
"eps_tform[0, 18]",-1.937,0.514,-2.894,-1.012,0.017,0.012,895.0,831.0,1.0
"eps_tform[0, 19]",-0.863,0.321,-1.427,-0.244,0.011,0.007,929.0,899.0,1.0
"eps_tform[0, 20]",-0.361,0.591,-1.365,0.83,0.022,0.016,751.0,786.0,1.01
"eps_tform[0, 21]",-2.917,0.555,-4.025,-1.957,0.019,0.014,834.0,620.0,1.0
"eps_tform[0, 22]",0.663,0.457,-0.273,1.485,0.014,0.01,1016.0,990.0,1.0
"eps_tform[0, 23]",-1.237,0.845,-3.001,0.204,0.021,0.017,1667.0,950.0,1.0
"eps_tform[0, 24]",0.356,0.614,-0.719,1.576,0.019,0.014,1038.0,864.0,1.0
"eps_tform[0, 25]",0.338,0.815,-1.088,1.846,0.019,0.023,1880.0,862.0,1.0
"eps_tform[0, 26]",-0.626,0.929,-2.206,1.237,0.023,0.027,1572.0,776.0,1.01
"eps_tform[0, 27]",4.542,0.49,3.633,5.446,0.017,0.012,815.0,877.0,1.0
"eps_tform[0, 28]",-1.263,0.444,-2.137,-0.46,0.014,0.01,1019.0,867.0,1.0
"eps_tform[0, 29]",1.594,0.642,0.391,2.793,0.018,0.013,1213.0,842.0,1.0
"eps_tform[0, 30]",-2.004,0.577,-3.05,-0.911,0.018,0.013,1010.0,703.0,1.0
"eps_tform[0, 31]",-0.147,0.473,-1.043,0.656,0.015,0.013,988.0,848.0,1.0
"eps_tform[0, 32]",0.007,0.836,-1.42,1.702,0.023,0.031,1304.0,667.0,1.01
"eps_tform[0, 33]",-1.141,0.49,-2.074,-0.195,0.016,0.012,900.0,890.0,1.0
"eps_tform[0, 34]",-0.276,0.583,-1.374,0.814,0.018,0.016,1055.0,869.0,1.0
"eps_tform[0, 35]",-1.378,0.77,-2.861,0.046,0.017,0.014,2034.0,832.0,1.0
"eps_tform[0, 36]",0.426,0.602,-0.656,1.603,0.018,0.016,1107.0,627.0,1.0
"eps_tform[0, 37]",0.171,0.629,-1.005,1.307,0.019,0.018,1045.0,819.0,1.0
"eps_tform[0, 38]",-0.082,0.701,-1.384,1.271,0.019,0.02,1342.0,948.0,1.0
"eps_tform[0, 39]",2.703,0.675,1.444,3.837,0.019,0.014,1225.0,709.0,1.0
"eps_tform[0, 40]",-0.276,0.706,-1.548,1.044,0.019,0.017,1356.0,945.0,1.0
"eps_tform[0, 41]",0.049,0.872,-1.639,1.652,0.023,0.027,1439.0,735.0,1.0
"eps_tform[0, 42]",0.976,0.598,-0.089,2.097,0.017,0.012,1246.0,966.0,1.0
"eps_tform[0, 43]",1.391,0.711,0.121,2.743,0.019,0.015,1342.0,905.0,1.0
"eps_tform[0, 44]",1.676,0.843,0.072,3.165,0.021,0.017,1576.0,787.0,1.01
"eps_tform[0, 45]",-0.5,0.822,-2.161,0.978,0.018,0.019,2148.0,831.0,1.01
"eps_tform[0, 46]",-1.756,0.607,-2.891,-0.68,0.017,0.012,1307.0,858.0,1.0
"eps_tform[0, 47]",0.242,0.845,-1.335,1.861,0.019,0.026,2051.0,592.0,1.01
"eps_tform[0, 48]",1.313,0.723,-0.142,2.554,0.018,0.014,1604.0,689.0,1.0
"eps_tform[0, 49]",0.026,0.798,-1.515,1.489,0.02,0.024,1544.0,840.0,1.0
"eps_tform[0, 50]",-0.282,1.035,-2.154,1.588,0.024,0.038,1810.0,510.0,1.01
"eps_tform[0, 51]",-0.642,0.874,-2.33,0.804,0.024,0.021,1321.0,756.0,1.0
"eps_tform[0, 52]",-0.024,0.998,-1.814,1.875,0.021,0.039,2264.0,597.0,1.0
"eps_tform[0, 53]",-0.044,0.996,-1.918,1.678,0.022,0.034,1997.0,630.0,1.0
theta[0],1.344,0.108,1.145,1.551,0.004,0.003,699.0,758.0,1.0
tmax[0],-1.766,0.134,-2.0,-1.529,0.004,0.003,1219.0,985.0,1.0
peak_MJD[0],54397.508,0.14,54397.263,54397.755,0.004,0.003,1219.0,985.0,1.0
mu[0],36.128,0.109,35.916,36.321,0.003,0.002,1007.0,946.0,1.0
delM[0],0.001,0.095,-0.179,0.167,0.003,0.002,1107.0,902.0,1.0
