,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.298,0.088,0.136,0.45,0.004,0.002,613.0,393.0,1.01
Ds[0],36.142,0.083,35.991,36.284,0.003,0.002,631.0,540.0,1.01
RV[0],3.329,1.327,1.03,5.492,0.054,0.038,644.0,647.0,1.0
"eps[0, 0]",-0.105,0.072,-0.235,0.029,0.002,0.002,1509.0,501.0,1.0
"eps[1, 0]",0.105,0.142,-0.161,0.38,0.004,0.004,1381.0,836.0,1.0
"eps[2, 0]",0.014,0.107,-0.188,0.209,0.003,0.003,1337.0,785.0,1.0
"eps[3, 0]",0.737,0.132,0.518,0.999,0.004,0.003,1322.0,1024.0,1.0
"eps[4, 0]",0.551,0.139,0.263,0.795,0.004,0.003,1378.0,963.0,1.01
"eps[5, 0]",0.044,0.183,-0.264,0.414,0.004,0.006,1810.0,735.0,1.01
"eps[6, 0]",0.034,0.165,-0.283,0.338,0.004,0.005,1820.0,778.0,1.0
"eps[7, 0]",0.007,0.151,-0.284,0.296,0.004,0.005,1594.0,704.0,1.01
"eps[8, 0]",0.139,0.137,-0.096,0.412,0.004,0.003,1452.0,686.0,1.01
"eps[9, 0]",-0.013,0.027,-0.063,0.033,0.001,0.001,1002.0,842.0,1.0
"eps[10, 0]",-0.048,0.026,-0.095,0.003,0.001,0.001,1139.0,804.0,1.0
"eps[11, 0]",0.068,0.034,0.002,0.13,0.001,0.001,1192.0,615.0,1.01
"eps[12, 0]",-0.013,0.026,-0.063,0.033,0.001,0.001,1077.0,747.0,1.0
"eps[13, 0]",-0.015,0.033,-0.077,0.047,0.001,0.001,1230.0,831.0,1.0
"eps[14, 0]",-0.315,0.105,-0.535,-0.141,0.003,0.002,1162.0,729.0,1.01
"eps[15, 0]",-0.1,0.074,-0.237,0.035,0.002,0.002,1283.0,679.0,1.01
"eps[16, 0]",-0.217,0.072,-0.35,-0.085,0.002,0.001,1342.0,864.0,1.0
"eps[17, 0]",-0.074,0.077,-0.225,0.069,0.002,0.002,2092.0,869.0,1.0
"eps[18, 0]",-0.165,0.032,-0.224,-0.104,0.001,0.001,763.0,739.0,1.0
"eps[19, 0]",-0.101,0.025,-0.146,-0.056,0.001,0.001,1005.0,828.0,1.0
"eps[20, 0]",-0.003,0.034,-0.064,0.06,0.001,0.001,919.0,825.0,1.0
"eps[21, 0]",-0.13,0.024,-0.177,-0.088,0.001,0.001,1030.0,865.0,1.0
"eps[22, 0]",0.076,0.038,0.005,0.147,0.001,0.001,875.0,800.0,1.0
"eps[23, 0]",-0.097,0.114,-0.323,0.092,0.003,0.003,1195.0,910.0,1.0
"eps[24, 0]",0.1,0.09,-0.078,0.257,0.003,0.002,1202.0,721.0,1.01
"eps[25, 0]",0.052,0.105,-0.152,0.234,0.003,0.003,1601.0,725.0,1.01
"eps[26, 0]",-0.023,0.112,-0.228,0.188,0.003,0.004,1698.0,843.0,1.01
"eps[27, 0]",0.264,0.038,0.187,0.328,0.001,0.001,780.0,710.0,1.0
"eps[28, 0]",-0.128,0.039,-0.197,-0.055,0.001,0.001,988.0,947.0,1.0
"eps[29, 0]",0.187,0.033,0.13,0.25,0.001,0.001,1099.0,635.0,1.0
"eps[30, 0]",-0.112,0.022,-0.153,-0.07,0.001,0.001,895.0,807.0,1.01
"eps[31, 0]",0.062,0.042,-0.025,0.13,0.001,0.001,965.0,913.0,1.0
"eps[32, 0]",0.017,0.1,-0.15,0.214,0.003,0.003,1002.0,692.0,1.0
"eps[33, 0]",-0.246,0.068,-0.366,-0.108,0.002,0.002,1000.0,905.0,1.0
"eps[34, 0]",-0.117,0.076,-0.255,0.023,0.002,0.002,1103.0,646.0,1.0
"eps[35, 0]",-0.075,0.067,-0.206,0.046,0.002,0.002,1232.0,891.0,1.0
"eps[36, 0]",0.088,0.048,0.002,0.18,0.001,0.001,1035.0,857.0,1.0
"eps[37, 0]",-0.008,0.048,-0.092,0.088,0.001,0.001,1165.0,795.0,1.0
"eps[38, 0]",-0.001,0.04,-0.076,0.071,0.001,0.001,1128.0,690.0,1.0
"eps[39, 0]",0.118,0.034,0.056,0.18,0.001,0.001,924.0,773.0,1.0
"eps[40, 0]",0.039,0.036,-0.031,0.1,0.001,0.001,1451.0,910.0,1.0
"eps[41, 0]",-0.04,0.087,-0.206,0.121,0.002,0.002,1489.0,923.0,1.01
