,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.346,0.062,0.236,0.454,0.004,0.003,275.0,434.0,1.01
Ds[0],31.557,0.054,31.459,31.654,0.003,0.002,246.0,397.0,1.01
RV[0],2.944,1.001,1.317,4.971,0.059,0.042,286.0,481.0,1.0
"eps[0, 0]",1.06,0.043,0.978,1.136,0.002,0.002,322.0,512.0,1.0
"eps[1, 0]",1.246,0.091,1.068,1.404,0.003,0.002,858.0,674.0,1.0
"eps[2, 0]",0.78,0.052,0.685,0.886,0.002,0.002,540.0,500.0,1.01
"eps[3, 0]",1.044,0.039,0.966,1.112,0.001,0.001,837.0,676.0,1.0
"eps[4, 0]",1.071,0.052,0.975,1.171,0.003,0.002,424.0,488.0,1.01
"eps[5, 0]",0.413,0.146,0.149,0.695,0.006,0.004,693.0,706.0,1.0
"eps[6, 0]",1.424,0.061,1.309,1.53,0.003,0.002,591.0,711.0,1.01
"eps[7, 0]",1.3,0.049,1.2,1.379,0.003,0.002,287.0,485.0,1.01
"eps[8, 0]",0.732,0.052,0.635,0.832,0.003,0.002,409.0,487.0,1.0
"eps[9, 0]",-0.042,0.027,-0.088,0.01,0.002,0.001,313.0,604.0,1.01
"eps[10, 0]",0.017,0.025,-0.031,0.061,0.001,0.001,921.0,726.0,1.0
"eps[11, 0]",0.075,0.019,0.037,0.11,0.001,0.001,531.0,630.0,1.01
"eps[12, 0]",0.129,0.02,0.094,0.169,0.001,0.001,523.0,645.0,1.01
"eps[13, 0]",-0.128,0.025,-0.179,-0.087,0.001,0.001,563.0,532.0,1.0
"eps[14, 0]",-1.237,0.14,-1.495,-0.979,0.007,0.005,427.0,497.0,1.01
"eps[15, 0]",-0.124,0.037,-0.189,-0.054,0.002,0.001,549.0,790.0,1.0
"eps[16, 0]",-0.321,0.025,-0.368,-0.277,0.002,0.001,270.0,628.0,1.01
"eps[17, 0]",-0.075,0.032,-0.133,-0.01,0.002,0.001,282.0,375.0,1.0
"eps[18, 0]",-0.212,0.03,-0.27,-0.161,0.002,0.001,357.0,651.0,1.01
"eps[19, 0]",-0.018,0.021,-0.059,0.021,0.001,0.001,658.0,549.0,1.01
"eps[20, 0]",-0.338,0.02,-0.374,-0.303,0.001,0.001,569.0,748.0,1.01
"eps[21, 0]",-0.164,0.017,-0.196,-0.135,0.001,0.001,406.0,492.0,1.01
"eps[22, 0]",-0.536,0.021,-0.576,-0.498,0.001,0.001,510.0,581.0,1.01
"eps[23, 0]",0.184,0.095,0.01,0.355,0.004,0.003,723.0,866.0,1.0
"eps[24, 0]",-0.634,0.027,-0.679,-0.581,0.002,0.001,286.0,505.0,1.01
"eps[25, 0]",-0.71,0.021,-0.75,-0.669,0.001,0.001,322.0,637.0,1.01
"eps[26, 0]",-0.406,0.037,-0.472,-0.334,0.002,0.002,226.0,366.0,1.01
"eps[27, 0]",-0.104,0.033,-0.166,-0.046,0.002,0.001,360.0,640.0,1.0
"eps[28, 0]",0.112,0.03,0.056,0.164,0.001,0.001,828.0,882.0,1.0
"eps[29, 0]",0.014,0.02,-0.026,0.049,0.001,0.001,628.0,863.0,1.0
"eps[30, 0]",0.173,0.019,0.138,0.209,0.001,0.001,403.0,533.0,1.01
"eps[31, 0]",-0.296,0.027,-0.344,-0.246,0.001,0.001,572.0,783.0,1.0
"eps[32, 0]",0.627,0.141,0.372,0.888,0.007,0.005,363.0,514.0,1.01
"eps[33, 0]",-0.259,0.032,-0.315,-0.197,0.002,0.001,258.0,617.0,1.01
"eps[34, 0]",-0.272,0.026,-0.32,-0.228,0.001,0.001,473.0,717.0,1.0
"eps[35, 0]",-0.047,0.038,-0.119,0.019,0.003,0.002,220.0,396.0,1.01
"eps[36, 0]",-0.315,0.027,-0.366,-0.267,0.001,0.001,429.0,669.0,1.01
"eps[37, 0]",-0.072,0.026,-0.124,-0.025,0.001,0.001,657.0,625.0,1.01
"eps[38, 0]",-0.064,0.018,-0.097,-0.028,0.001,0.001,524.0,670.0,1.01
"eps[39, 0]",-0.0,0.019,-0.035,0.035,0.001,0.001,518.0,792.0,1.01
"eps[40, 0]",-0.02,0.022,-0.058,0.022,0.001,0.001,499.0,699.0,1.01
"eps[41, 0]",-0.392,0.094,-0.56,-0.206,0.003,0.003,849.0,604.0,1.01
"eps[42, 0]",0.22,0.028,0.169,0.274,0.001,0.001,718.0,838.0,1.0
"eps[43, 0]",0.234,0.023,0.189,0.275,0.001,0.001,291.0,627.0,1.01
"eps[44, 0]",0.061,0.03,0.008,0.12,0.002,0.001,282.0,680.0,1.01
"eps[45, 0]",0.028,0.035,-0.03,0.101,0.001,0.001,819.0,639.0,1.0
"eps[46, 0]",-0.226,0.038,-0.294,-0.152,0.001,0.001,938.0,803.0,1.0
"eps[47, 0]",-0.013,0.017,-0.046,0.017,0.001,0.001,567.0,655.0,1.01
"eps[48, 0]",0.18,0.018,0.147,0.212,0.001,0.001,471.0,749.0,1.01
"eps[49, 0]",-0.049,0.019,-0.086,-0.014,0.001,0.001,416.0,574.0,1.01
"eps[50, 0]",0.558,0.069,0.433,0.692,0.002,0.001,1195.0,811.0,1.0
"eps[51, 0]",-0.171,0.026,-0.219,-0.124,0.001,0.001,533.0,878.0,1.01
"eps[52, 0]",-0.217,0.035,-0.286,-0.156,0.002,0.001,413.0,616.0,1.0
"eps[53, 0]",0.124,0.034,0.061,0.188,0.002,0.001,287.0,598.0,1.01
"eps_tform[0, 0]",11.529,0.464,10.63,12.349,0.026,0.018,322.0,512.0,1.0
"eps_tform[0, 1]",4.211,0.438,3.329,4.994,0.015,0.01,867.0,718.0,1.0
"eps_tform[0, 2]",2.489,0.322,1.908,3.103,0.014,0.01,557.0,715.0,1.01
"eps_tform[0, 3]",2.275,0.165,1.942,2.561,0.006,0.004,706.0,759.0,1.0
"eps_tform[0, 4]",1.599,0.216,1.23,2.041,0.008,0.006,701.0,737.0,1.0
"eps_tform[0, 5]",-0.477,0.671,-1.663,0.842,0.026,0.018,694.0,738.0,1.0
"eps_tform[0, 6]",7.283,0.28,6.77,7.786,0.012,0.009,536.0,605.0,1.01
"eps_tform[0, 7]",5.461,0.26,4.961,5.934,0.015,0.01,317.0,419.0,1.01
"eps_tform[0, 8]",3.094,0.329,2.53,3.763,0.017,0.012,386.0,471.0,1.0
"eps_tform[0, 9]",-0.674,0.532,-1.663,0.305,0.031,0.022,304.0,575.0,1.01
"eps_tform[0, 10]",-2.288,0.422,-3.051,-1.503,0.012,0.009,1146.0,649.0,1.0
"eps_tform[0, 11]",1.551,0.386,0.817,2.239,0.02,0.014,386.0,558.0,1.01
"eps_tform[0, 12]",1.383,0.402,0.627,2.088,0.017,0.012,570.0,631.0,1.0
"eps_tform[0, 13]",-0.379,0.356,-1.022,0.254,0.015,0.01,591.0,720.0,1.01
"eps_tform[0, 14]",-8.197,0.969,-9.979,-6.417,0.046,0.033,430.0,542.0,1.01
"eps_tform[0, 15]",-0.972,0.305,-1.553,-0.386,0.015,0.01,437.0,629.0,1.01
