,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.361,0.071,0.246,0.508,0.004,0.003,278.0,333.0,1.01
Ds[0],31.554,0.064,31.429,31.656,0.004,0.003,283.0,425.0,1.01
RV[0],3.267,1.097,1.493,5.572,0.066,0.047,281.0,386.0,1.01
"eps[0, 0]",1.069,0.042,0.984,1.138,0.002,0.001,539.0,659.0,1.0
"eps[1, 0]",1.252,0.093,1.083,1.436,0.003,0.002,981.0,642.0,1.0
"eps[2, 0]",0.775,0.051,0.685,0.875,0.002,0.001,690.0,696.0,1.01
"eps[3, 0]",1.043,0.038,0.973,1.11,0.001,0.001,829.0,614.0,1.0
"eps[4, 0]",1.068,0.051,0.976,1.163,0.002,0.002,547.0,624.0,1.01
"eps[5, 0]",0.421,0.146,0.141,0.687,0.005,0.004,818.0,697.0,1.0
"eps[6, 0]",1.429,0.063,1.302,1.538,0.003,0.002,562.0,681.0,1.0
"eps[7, 0]",1.3,0.047,1.217,1.385,0.002,0.002,481.0,576.0,1.0
"eps[8, 0]",0.736,0.049,0.648,0.832,0.002,0.002,433.0,617.0,1.01
"eps[9, 0]",-0.035,0.025,-0.082,0.013,0.001,0.001,392.0,566.0,1.01
"eps[10, 0]",0.018,0.025,-0.027,0.066,0.001,0.001,1030.0,641.0,1.0
"eps[11, 0]",0.071,0.019,0.037,0.11,0.001,0.001,344.0,568.0,1.02
"eps[12, 0]",0.125,0.018,0.091,0.158,0.001,0.001,406.0,643.0,1.01
"eps[13, 0]",-0.13,0.024,-0.172,-0.085,0.001,0.001,481.0,809.0,1.01
"eps[14, 0]",-1.238,0.131,-1.469,-0.985,0.005,0.004,656.0,860.0,1.0
"eps[15, 0]",-0.118,0.037,-0.188,-0.051,0.002,0.001,572.0,624.0,1.0
"eps[16, 0]",-0.323,0.024,-0.369,-0.279,0.001,0.001,422.0,665.0,1.0
"eps[17, 0]",-0.071,0.031,-0.13,-0.013,0.002,0.001,363.0,573.0,1.0
"eps[18, 0]",-0.204,0.028,-0.254,-0.148,0.001,0.001,454.0,572.0,1.0
"eps[19, 0]",-0.017,0.021,-0.057,0.021,0.001,0.001,803.0,881.0,1.0
"eps[20, 0]",-0.343,0.019,-0.375,-0.307,0.001,0.001,514.0,778.0,1.01
"eps[21, 0]",-0.169,0.015,-0.196,-0.144,0.001,0.001,368.0,563.0,1.01
"eps[22, 0]",-0.538,0.02,-0.573,-0.497,0.001,0.001,459.0,745.0,1.01
"eps[23, 0]",0.187,0.092,0.012,0.354,0.004,0.003,617.0,754.0,1.0
"eps[24, 0]",-0.63,0.025,-0.68,-0.585,0.001,0.001,408.0,658.0,1.0
"eps[25, 0]",-0.712,0.021,-0.751,-0.674,0.001,0.001,432.0,593.0,1.01
"eps[26, 0]",-0.401,0.035,-0.464,-0.334,0.002,0.001,298.0,442.0,1.0
"eps[27, 0]",-0.095,0.031,-0.148,-0.035,0.001,0.001,471.0,472.0,1.01
"eps[28, 0]",0.111,0.029,0.061,0.167,0.001,0.001,707.0,735.0,1.0
"eps[29, 0]",0.01,0.018,-0.025,0.042,0.001,0.001,586.0,826.0,1.01
"eps[30, 0]",0.168,0.017,0.135,0.198,0.001,0.001,422.0,567.0,1.01
"eps[31, 0]",-0.297,0.027,-0.344,-0.244,0.001,0.001,626.0,782.0,1.0
"eps[32, 0]",0.625,0.137,0.391,0.917,0.006,0.004,480.0,651.0,1.0
"eps[33, 0]",-0.253,0.031,-0.308,-0.195,0.001,0.001,419.0,693.0,1.01
"eps[34, 0]",-0.273,0.026,-0.319,-0.222,0.001,0.001,509.0,711.0,1.0
"eps[35, 0]",-0.042,0.036,-0.107,0.024,0.002,0.001,310.0,508.0,1.01
"eps[36, 0]",-0.308,0.026,-0.356,-0.262,0.001,0.001,470.0,638.0,1.0
"eps[37, 0]",-0.07,0.025,-0.12,-0.026,0.001,0.001,815.0,874.0,1.0
