,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.654,0.083,0.507,0.806,0.003,0.002,809.0,812.0,1.01
Ds[0],34.854,0.095,34.696,35.045,0.004,0.003,636.0,794.0,1.01
RV[0],5.544,0.426,4.709,6.0,0.01,0.007,1794.0,648.0,1.0
"eps[0, 0]",-0.073,0.09,-0.265,0.074,0.002,0.002,1908.0,753.0,1.0
"eps[1, 0]",-0.267,0.204,-0.66,0.096,0.005,0.004,1744.0,808.0,1.0
"eps[2, 0]",-0.121,0.123,-0.335,0.119,0.003,0.003,2093.0,734.0,1.0
"eps[3, 0]",-0.326,0.206,-0.659,0.08,0.004,0.004,2188.0,717.0,1.0
"eps[4, 0]",0.023,0.216,-0.364,0.397,0.005,0.008,2189.0,631.0,1.01
"eps[5, 0]",0.1,0.212,-0.285,0.504,0.004,0.006,2774.0,944.0,1.0
"eps[6, 0]",0.085,0.182,-0.237,0.456,0.004,0.005,2182.0,802.0,1.01
"eps[7, 0]",-0.001,0.161,-0.286,0.318,0.003,0.006,2157.0,695.0,1.02
"eps[8, 0]",-0.02,0.145,-0.281,0.254,0.003,0.005,2301.0,581.0,1.0
"eps[9, 0]",0.023,0.049,-0.063,0.119,0.001,0.001,1496.0,874.0,1.0
"eps[10, 0]",-0.042,0.054,-0.128,0.075,0.001,0.001,2837.0,868.0,1.0
"eps[11, 0]",0.069,0.05,-0.025,0.164,0.001,0.001,2165.0,691.0,1.0
"eps[12, 0]",0.03,0.043,-0.051,0.114,0.001,0.001,892.0,709.0,1.01
"eps[13, 0]",-0.043,0.056,-0.148,0.057,0.001,0.001,2080.0,916.0,1.0
"eps[14, 0]",0.081,0.148,-0.207,0.356,0.003,0.004,2842.0,735.0,1.0
"eps[15, 0]",0.18,0.089,0.01,0.334,0.002,0.002,1848.0,831.0,1.0
"eps[16, 0]",-0.059,0.093,-0.236,0.114,0.002,0.002,2614.0,811.0,1.0
"eps[17, 0]",0.039,0.083,-0.121,0.188,0.002,0.002,2948.0,860.0,1.01
