,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.726,0.099,0.532,0.9,0.004,0.003,655.0,683.0,1.01
Ds[0],34.767,0.108,34.584,34.97,0.005,0.003,532.0,773.0,1.01
RV[0],5.373,0.556,4.357,5.999,0.015,0.011,1111.0,514.0,1.0
"eps[0, 0]",-0.068,0.091,-0.249,0.093,0.002,0.002,1960.0,942.0,1.0
"eps[1, 0]",-0.272,0.203,-0.669,0.087,0.005,0.004,1540.0,760.0,1.0
"eps[2, 0]",-0.116,0.121,-0.33,0.121,0.003,0.003,1795.0,706.0,1.0
"eps[3, 0]",-0.351,0.206,-0.746,0.021,0.005,0.004,2005.0,697.0,1.0
"eps[4, 0]",0.013,0.214,-0.37,0.417,0.005,0.008,1960.0,598.0,1.01
"eps[5, 0]",0.097,0.213,-0.289,0.508,0.004,0.007,2219.0,638.0,1.01
"eps[6, 0]",0.071,0.182,-0.265,0.417,0.004,0.006,2279.0,825.0,1.01
"eps[7, 0]",-0.008,0.165,-0.302,0.317,0.004,0.006,2014.0,743.0,1.02
"eps[8, 0]",-0.032,0.141,-0.281,0.235,0.003,0.004,2176.0,725.0,1.01
"eps[9, 0]",0.019,0.049,-0.07,0.117,0.001,0.002,1524.0,730.0,1.0
"eps[10, 0]",-0.043,0.052,-0.144,0.055,0.001,0.001,2578.0,590.0,1.0
"eps[11, 0]",0.069,0.049,-0.013,0.167,0.001,0.001,1796.0,793.0,1.0
"eps[12, 0]",0.034,0.043,-0.043,0.123,0.001,0.001,1208.0,688.0,1.01
"eps[13, 0]",-0.045,0.055,-0.161,0.048,0.001,0.001,1791.0,644.0,1.0
"eps[14, 0]",0.081,0.148,-0.211,0.354,0.003,0.005,2635.0,675.0,1.0
"eps[15, 0]",0.18,0.089,0.013,0.348,0.002,0.002,2488.0,683.0,1.0
"eps[16, 0]",-0.06,0.093,-0.233,0.112,0.002,0.002,2118.0,785.0,1.0
"eps[17, 0]",0.049,0.083,-0.105,0.193,0.002,0.002,2639.0,688.0,1.01
"eps[18, 0]",-0.165,0.056,-0.27,-0.061,0.001,0.001,1752.0,842.0,1.0
"eps[19, 0]",-0.041,0.076,-0.191,0.096,0.002,0.002,2198.0,807.0,1.0
"eps[20, 0]",0.114,0.06,0.009,0.234,0.001,0.001,2134.0,764.0,1.0
"eps[21, 0]",0.076,0.052,-0.024,0.167,0.001,0.001,1428.0,639.0,1.01
"eps[22, 0]",0.03,0.079,-0.117,0.179,0.001,0.002,2905.0,894.0,1.01
"eps[23, 0]",-0.15,0.14,-0.404,0.11,0.003,0.003,1598.0,600.0,1.0
"eps[24, 0]",-0.042,0.138,-0.277,0.234,0.003,0.004,1969.0,773.0,1.0
"eps[25, 0]",-0.361,0.136,-0.591,-0.088,0.003,0.002,2326.0,784.0,1.0
"eps[26, 0]",-0.152,0.128,-0.383,0.084,0.003,0.003,1765.0,512.0,1.01
"eps[27, 0]",-0.197,0.048,-0.285,-0.111,0.002,0.001,970.0,665.0,1.0
"eps[28, 0]",-0.144,0.067,-0.264,-0.018,0.003,0.002,696.0,749.0,1.0
"eps[29, 0]",0.053,0.044,-0.029,0.133,0.001,0.001,855.0,773.0,1.01
"eps[30, 0]",0.044,0.032,-0.012,0.109,0.001,0.001,1117.0,762.0,1.0
"eps[31, 0]",-0.197,0.085,-0.351,-0.038,0.004,0.003,586.0,645.0,1.01
"eps[32, 0]",0.019,0.147,-0.24,0.287,0.004,0.004,1585.0,914.0,1.0
"eps[33, 0]",-0.044,0.127,-0.266,0.198,0.005,0.004,663.0,624.0,1.01
"eps[34, 0]",-0.626,0.112,-0.851,-0.432,0.003,0.002,1448.0,881.0,1.01
"eps[35, 0]",-0.056,0.082,-0.196,0.108,0.002,0.002,1255.0,763.0,1.0
"eps[36, 0]",0.167,0.068,0.048,0.297,0.002,0.002,950.0,750.0,1.0
