,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.236,0.059,0.125,0.337,0.003,0.002,494.0,629.0,1.01
Ds[0],31.664,0.056,31.558,31.766,0.002,0.002,542.0,668.0,1.0
RV[0],3.186,1.366,1.007,5.627,0.055,0.039,644.0,634.0,1.0
"eps[0, 0]",0.013,0.07,-0.119,0.141,0.002,0.002,1094.0,781.0,1.0
"eps[1, 0]",0.286,0.151,0.005,0.56,0.005,0.004,982.0,701.0,1.0
"eps[2, 0]",0.294,0.097,0.11,0.466,0.003,0.002,982.0,696.0,1.0
"eps[3, 0]",0.416,0.152,0.129,0.687,0.005,0.004,882.0,599.0,1.0
"eps[4, 0]",0.7,0.144,0.435,0.971,0.005,0.004,870.0,716.0,1.01
"eps[5, 0]",-0.161,0.192,-0.56,0.154,0.006,0.005,1146.0,727.0,1.0
"eps[6, 0]",0.055,0.159,-0.257,0.337,0.005,0.005,1129.0,675.0,1.0
"eps[7, 0]",0.122,0.134,-0.13,0.377,0.004,0.003,1096.0,681.0,1.01
"eps[8, 0]",0.045,0.131,-0.215,0.275,0.004,0.004,1161.0,805.0,1.0
"eps[9, 0]",0.056,0.032,-0.008,0.115,0.001,0.001,757.0,697.0,1.0
"eps[10, 0]",0.103,0.039,0.028,0.171,0.001,0.001,855.0,785.0,1.0
"eps[11, 0]",-0.129,0.026,-0.183,-0.085,0.001,0.001,824.0,782.0,1.01
"eps[12, 0]",0.012,0.024,-0.035,0.055,0.001,0.001,955.0,706.0,1.0
"eps[13, 0]",-0.115,0.029,-0.168,-0.058,0.001,0.001,678.0,801.0,1.0
"eps[14, 0]",0.061,0.131,-0.175,0.323,0.004,0.003,1024.0,683.0,1.0
"eps[15, 0]",0.021,0.046,-0.061,0.104,0.002,0.001,597.0,689.0,1.0
"eps[16, 0]",-0.098,0.048,-0.183,-0.007,0.002,0.002,555.0,385.0,1.01
"eps[17, 0]",-0.066,0.036,-0.131,0.003,0.001,0.001,633.0,777.0,1.0
"eps[18, 0]",0.01,0.035,-0.059,0.076,0.001,0.001,631.0,713.0,1.0
"eps[19, 0]",0.08,0.023,0.037,0.124,0.001,0.001,766.0,747.0,1.0
"eps[20, 0]",-0.073,0.022,-0.11,-0.031,0.001,0.001,531.0,661.0,1.01
"eps[21, 0]",0.032,0.018,-0.001,0.066,0.001,0.001,501.0,668.0,1.01
"eps[22, 0]",0.032,0.021,-0.005,0.07,0.001,0.001,672.0,734.0,1.0
"eps[23, 0]",0.474,0.104,0.294,0.668,0.003,0.002,1496.0,878.0,1.0
"eps[24, 0]",-0.045,0.034,-0.115,0.012,0.001,0.001,840.0,845.0,1.0
"eps[25, 0]",0.24,0.029,0.184,0.292,0.001,0.001,712.0,575.0,1.01
"eps[26, 0]",0.008,0.04,-0.065,0.083,0.002,0.001,594.0,562.0,1.0
"eps[27, 0]",-0.036,0.035,-0.1,0.027,0.001,0.001,832.0,820.0,1.0
"eps[28, 0]",0.009,0.032,-0.048,0.065,0.001,0.001,632.0,423.0,1.0
"eps[29, 0]",-0.104,0.019,-0.134,-0.064,0.001,0.001,480.0,591.0,1.0
"eps[30, 0]",-0.088,0.019,-0.122,-0.054,0.001,0.001,600.0,709.0,1.0
"eps[31, 0]",-0.087,0.033,-0.15,-0.028,0.001,0.001,596.0,553.0,1.0
"eps[32, 0]",0.191,0.101,-0.018,0.366,0.003,0.002,1336.0,637.0,1.01
"eps[33, 0]",-0.111,0.051,-0.21,-0.024,0.002,0.001,578.0,631.0,1.0
"eps[34, 0]",0.048,0.043,-0.034,0.127,0.002,0.001,675.0,730.0,1.0
"eps[35, 0]",-0.055,0.043,-0.132,0.023,0.002,0.001,509.0,535.0,1.0
