,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.247,0.064,0.119,0.351,0.003,0.002,548.0,597.0,1.0
Ds[0],31.665,0.061,31.557,31.778,0.003,0.002,559.0,678.0,1.0
RV[0],3.466,1.361,1.352,5.969,0.056,0.039,606.0,682.0,1.0
"eps[0, 0]",0.012,0.07,-0.115,0.142,0.002,0.002,1259.0,693.0,1.0
"eps[1, 0]",0.292,0.156,-0.023,0.561,0.005,0.004,1012.0,552.0,1.0
"eps[2, 0]",0.291,0.101,0.103,0.482,0.003,0.002,1025.0,721.0,1.01
"eps[3, 0]",0.424,0.148,0.135,0.689,0.005,0.003,987.0,680.0,1.01
"eps[4, 0]",0.704,0.147,0.461,1.008,0.005,0.004,832.0,695.0,1.01
"eps[5, 0]",-0.161,0.188,-0.521,0.172,0.005,0.004,1418.0,883.0,1.0
"eps[6, 0]",0.044,0.158,-0.274,0.319,0.005,0.005,984.0,660.0,1.0
"eps[7, 0]",0.123,0.131,-0.115,0.358,0.003,0.003,1486.0,711.0,1.0
"eps[8, 0]",0.049,0.126,-0.188,0.273,0.004,0.004,1170.0,759.0,1.0
"eps[9, 0]",0.059,0.032,-0.001,0.118,0.001,0.001,495.0,616.0,1.01
"eps[10, 0]",0.104,0.039,0.034,0.177,0.001,0.001,980.0,806.0,1.0
"eps[11, 0]",-0.132,0.026,-0.182,-0.085,0.001,0.001,745.0,793.0,1.01
"eps[12, 0]",0.009,0.023,-0.037,0.049,0.001,0.001,816.0,662.0,1.01
"eps[13, 0]",-0.116,0.03,-0.178,-0.066,0.001,0.001,638.0,673.0,1.01
"eps[14, 0]",0.058,0.135,-0.205,0.305,0.004,0.004,1395.0,806.0,1.0
"eps[15, 0]",0.025,0.047,-0.058,0.112,0.002,0.001,703.0,675.0,1.01
"eps[16, 0]",-0.099,0.047,-0.182,-0.007,0.002,0.001,703.0,696.0,1.0
"eps[17, 0]",-0.064,0.035,-0.136,-0.006,0.001,0.001,675.0,750.0,1.0
"eps[18, 0]",0.015,0.032,-0.047,0.077,0.001,0.001,607.0,716.0,1.01
"eps[19, 0]",0.08,0.023,0.037,0.123,0.001,0.001,645.0,722.0,1.01
"eps[20, 0]",-0.077,0.021,-0.115,-0.039,0.001,0.001,607.0,724.0,1.01
"eps[21, 0]",0.03,0.018,-0.003,0.064,0.001,0.001,501.0,696.0,1.01
"eps[22, 0]",0.031,0.02,-0.007,0.07,0.001,0.001,618.0,778.0,1.0
"eps[23, 0]",0.48,0.101,0.277,0.659,0.003,0.002,1405.0,761.0,1.02
"eps[24, 0]",-0.04,0.036,-0.1,0.033,0.001,0.001,876.0,718.0,1.0
"eps[25, 0]",0.238,0.029,0.182,0.29,0.001,0.001,768.0,732.0,1.0
"eps[26, 0]",0.009,0.038,-0.059,0.078,0.002,0.001,600.0,788.0,1.0
"eps[27, 0]",-0.031,0.033,-0.093,0.029,0.001,0.001,908.0,763.0,1.01
"eps[28, 0]",0.01,0.03,-0.044,0.069,0.001,0.001,741.0,720.0,1.0
"eps[29, 0]",-0.108,0.018,-0.144,-0.077,0.001,0.001,606.0,735.0,1.0
"eps[30, 0]",-0.092,0.017,-0.125,-0.061,0.001,0.0,666.0,760.0,1.0
"eps[31, 0]",-0.088,0.032,-0.148,-0.028,0.001,0.001,576.0,639.0,1.01
"eps[32, 0]",0.19,0.1,-0.001,0.366,0.003,0.002,1478.0,736.0,1.0
"eps[33, 0]",-0.106,0.05,-0.197,-0.011,0.002,0.001,644.0,713.0,1.0
"eps[34, 0]",0.045,0.043,-0.032,0.123,0.002,0.001,665.0,692.0,1.0
"eps[35, 0]",-0.053,0.04,-0.122,0.025,0.002,0.001,575.0,601.0,1.0
"eps[36, 0]",-0.056,0.028,-0.11,-0.007,0.001,0.001,836.0,728.0,1.0
"eps[37, 0]",0.131,0.033,0.071,0.196,0.001,0.001,999.0,898.0,1.0
"eps[38, 0]",-0.104,0.022,-0.151,-0.068,0.001,0.001,941.0,712.0,1.0
"eps[39, 0]",-0.12,0.024,-0.168,-0.076,0.001,0.001,786.0,535.0,1.0
"eps[40, 0]",-0.146,0.023,-0.188,-0.102,0.001,0.001,700.0,692.0,1.0
"eps[41, 0]",0.265,0.122,0.037,0.499,0.003,0.002,1543.0,879.0,1.0
"eps[42, 0]",-0.158,0.035,-0.217,-0.083,0.001,0.001,668.0,683.0,1.01
"eps[43, 0]",-0.003,0.032,-0.062,0.06,0.001,0.001,728.0,850.0,1.01
"eps[44, 0]",-0.08,0.036,-0.145,-0.011,0.001,0.001,654.0,609.0,1.01
"eps[45, 0]",0.024,0.034,-0.038,0.086,0.001,0.001,965.0,809.0,1.0
"eps[46, 0]",0.167,0.051,0.076,0.263,0.001,0.001,1589.0,722.0,1.0
"eps[47, 0]",-0.016,0.02,-0.051,0.022,0.001,0.0,811.0,655.0,1.0
"eps[48, 0]",-0.1,0.023,-0.143,-0.061,0.001,0.001,709.0,755.0,1.0
"eps[49, 0]",-0.006,0.024,-0.049,0.038,0.001,0.001,968.0,749.0,1.0
"eps[50, 0]",-0.307,0.104,-0.506,-0.123,0.003,0.002,1446.0,835.0,1.0
"eps[51, 0]",0.228,0.049,0.131,0.313,0.002,0.001,1005.0,990.0,1.0
"eps[52, 0]",0.051,0.046,-0.033,0.139,0.001,0.001,1079.0,879.0,1.01
"eps[53, 0]",0.018,0.034,-0.048,0.081,0.001,0.001,837.0,951.0,1.0
"eps_tform[0, 0]",0.131,0.759,-1.249,1.54,0.021,0.024,1259.0,693.0,1.0
"eps_tform[0, 1]",1.351,0.758,0.029,2.898,0.023,0.017,1067.0,730.0,1.0
"eps_tform[0, 2]",2.462,0.763,0.967,3.852,0.025,0.018,952.0,651.0,1.0
"eps_tform[0, 3]",1.078,0.68,-0.229,2.37,0.022,0.017,987.0,528.0,1.01
"eps_tform[0, 4]",1.747,0.68,0.41,3.057,0.024,0.018,785.0,677.0,1.0
"eps_tform[0, 5]",-1.153,0.835,-2.672,0.361,0.023,0.017,1365.0,993.0,1.0
"eps_tform[0, 6]",-0.27,0.848,-1.944,1.2,0.027,0.025,1000.0,660.0,1.0
"eps_tform[0, 7]",0.426,0.818,-1.091,1.965,0.022,0.026,1370.0,656.0,1.01
"eps_tform[0, 8]",-0.039,0.848,-1.56,1.617,0.025,0.026,1187.0,776.0,1.0
"eps_tform[0, 9]",0.808,0.638,-0.36,2.006,0.027,0.019,578.0,712.0,1.01
"eps_tform[0, 10]",1.206,0.701,-0.192,2.48,0.022,0.017,1032.0,755.0,1.0
"eps_tform[0, 11]",-1.763,0.501,-2.83,-0.955,0.018,0.012,828.0,703.0,1.0
"eps_tform[0, 12]",-0.182,0.612,-1.269,0.986,0.023,0.021,691.0,514.0,1.01
"eps_tform[0, 13]",-0.661,0.567,-1.726,0.419,0.02,0.015,775.0,711.0,1.0
"eps_tform[0, 14]",0.575,0.871,-0.999,2.229,0.024,0.022,1298.0,775.0,1.0
"eps_tform[0, 15]",0.744,0.461,-0.121,1.574,0.017,0.012,753.0,745.0,1.01
"eps_tform[0, 16]",-0.775,0.586,-1.82,0.33,0.021,0.016,751.0,734.0,1.0
"eps_tform[0, 17]",-0.619,0.457,-1.451,0.258,0.016,0.012,772.0,692.0,1.0
"eps_tform[0, 18]",0.341,0.6,-0.735,1.457,0.021,0.018,790.0,814.0,1.0
"eps_tform[0, 19]",0.3,0.322,-0.279,0.894,0.011,0.009,848.0,771.0,1.01
"eps_tform[0, 20]",-0.429,0.432,-1.133,0.449,0.019,0.013,535.0,672.0,1.02
"eps_tform[0, 21]",0.159,0.438,-0.651,1.041,0.02,0.014,458.0,561.0,1.0
"eps_tform[0, 22]",0.034,0.336,-0.616,0.63,0.012,0.009,799.0,851.0,1.0
"eps_tform[0, 23]",2.452,0.759,1.102,3.888,0.021,0.016,1232.0,644.0,1.01
"eps_tform[0, 24]",-0.173,0.332,-0.769,0.443,0.012,0.009,790.0,670.0,1.0
"eps_tform[0, 25]",1.068,0.267,0.535,1.528,0.01,0.007,669.0,632.0,1.01
"eps_tform[0, 26]",0.144,0.379,-0.583,0.797,0.013,0.011,846.0,527.0,1.01
"eps_tform[0, 27]",-0.36,0.428,-1.154,0.433,0.015,0.011,828.0,794.0,1.0
"eps_tform[0, 28]",0.354,0.442,-0.522,1.189,0.015,0.011,903.0,710.0,1.0
"eps_tform[0, 29]",-0.174,0.356,-0.798,0.549,0.013,0.01,777.0,650.0,1.0
"eps_tform[0, 30]",-0.352,0.463,-1.174,0.569,0.015,0.012,1006.0,815.0,1.0
"eps_tform[0, 31]",-1.493,0.371,-2.158,-0.793,0.014,0.01,736.0,651.0,1.0
"eps_tform[0, 32]",1.986,0.716,0.72,3.344,0.017,0.013,1669.0,900.0,1.01
"eps_tform[0, 33]",-0.636,0.392,-1.317,0.166,0.015,0.01,741.0,634.0,1.01
"eps_tform[0, 34]",-0.062,0.381,-0.757,0.644,0.014,0.011,700.0,731.0,1.01
