,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.428,0.045,0.343,0.507,0.002,0.001,469.0,817.0,1.01
Ds[0],34.404,0.048,34.317,34.492,0.002,0.002,379.0,541.0,1.01
RV[0],4.422,0.967,2.91,6.0,0.038,0.027,592.0,532.0,1.0
"eps[0, 0]",0.123,0.076,-0.014,0.266,0.002,0.002,1071.0,738.0,1.0
"eps[1, 0]",0.052,0.169,-0.258,0.378,0.005,0.004,976.0,748.0,1.0
"eps[2, 0]",0.21,0.112,-0.015,0.409,0.003,0.002,1223.0,754.0,1.01
"eps[3, 0]",0.044,0.165,-0.259,0.37,0.004,0.005,1426.0,830.0,1.0
"eps[4, 0]",-0.187,0.156,-0.487,0.098,0.005,0.004,1133.0,863.0,1.01
"eps[5, 0]",0.238,0.193,-0.15,0.575,0.004,0.004,1854.0,826.0,1.01
"eps[6, 0]",0.061,0.176,-0.244,0.399,0.005,0.005,1120.0,911.0,1.0
"eps[7, 0]",0.097,0.15,-0.193,0.359,0.004,0.004,1785.0,715.0,1.0
"eps[8, 0]",0.077,0.131,-0.157,0.315,0.004,0.003,1362.0,873.0,1.0
"eps[9, 0]",0.006,0.031,-0.048,0.066,0.001,0.001,753.0,589.0,1.0
"eps[10, 0]",0.182,0.04,0.114,0.267,0.001,0.001,1580.0,852.0,1.0
"eps[11, 0]",-0.021,0.035,-0.089,0.038,0.001,0.001,1215.0,1027.0,1.0
"eps[12, 0]",0.046,0.03,-0.011,0.1,0.001,0.001,1012.0,812.0,1.01
"eps[13, 0]",0.026,0.032,-0.036,0.085,0.001,0.001,874.0,749.0,1.0
"eps[14, 0]",-0.028,0.131,-0.278,0.198,0.003,0.004,1539.0,868.0,1.0
"eps[15, 0]",0.079,0.053,-0.019,0.177,0.002,0.001,746.0,689.0,1.0
"eps[16, 0]",-0.233,0.079,-0.376,-0.086,0.002,0.001,1921.0,985.0,1.0
"eps[17, 0]",0.066,0.048,-0.014,0.167,0.002,0.001,683.0,509.0,1.0
"eps[18, 0]",-0.095,0.034,-0.153,-0.026,0.001,0.001,834.0,810.0,1.0
"eps[19, 0]",0.114,0.034,0.049,0.174,0.001,0.001,1175.0,768.0,1.0
"eps[20, 0]",-0.176,0.04,-0.255,-0.108,0.001,0.001,1080.0,706.0,1.0
"eps[21, 0]",-0.09,0.027,-0.136,-0.034,0.001,0.001,896.0,735.0,1.01
"eps[22, 0]",-0.327,0.028,-0.377,-0.275,0.001,0.001,872.0,866.0,1.0
"eps[23, 0]",-0.292,0.105,-0.5,-0.098,0.003,0.002,1509.0,928.0,1.0
"eps[24, 0]",-0.095,0.058,-0.199,0.014,0.002,0.002,687.0,723.0,1.0
"eps[25, 0]",-0.266,0.048,-0.357,-0.176,0.002,0.001,869.0,794.0,1.01
"eps[26, 0]",0.266,0.056,0.16,0.368,0.002,0.002,655.0,763.0,1.0
"eps[27, 0]",0.122,0.034,0.066,0.187,0.001,0.001,688.0,841.0,1.0
"eps[28, 0]",0.462,0.049,0.369,0.551,0.002,0.001,726.0,689.0,1.0
"eps[29, 0]",-0.237,0.028,-0.294,-0.186,0.001,0.001,1102.0,766.0,1.01
"eps[30, 0]",0.059,0.026,0.012,0.109,0.001,0.001,917.0,601.0,1.01
"eps[31, 0]",-0.313,0.039,-0.391,-0.246,0.002,0.001,573.0,780.0,1.0
"eps[32, 0]",-0.002,0.123,-0.237,0.229,0.003,0.004,1573.0,936.0,1.0
"eps[33, 0]",-0.272,0.065,-0.4,-0.161,0.003,0.002,482.0,624.0,1.0
"eps[34, 0]",-0.204,0.063,-0.321,-0.089,0.003,0.002,613.0,732.0,1.0
"eps[35, 0]",0.021,0.044,-0.062,0.102,0.002,0.001,730.0,747.0,1.0
"eps[36, 0]",0.048,0.04,-0.027,0.12,0.001,0.001,1243.0,655.0,1.0
"eps[37, 0]",0.123,0.047,0.04,0.214,0.001,0.001,1088.0,827.0,1.0
"eps[38, 0]",0.061,0.035,0.002,0.132,0.001,0.001,795.0,705.0,1.0
"eps[39, 0]",0.031,0.034,-0.029,0.094,0.001,0.001,543.0,745.0,1.0
"eps[40, 0]",-0.058,0.028,-0.107,-0.003,0.001,0.001,1006.0,863.0,1.0
"eps[41, 0]",-0.179,0.107,-0.365,0.031,0.003,0.002,1726.0,547.0,1.01
"eps[42, 0]",-0.038,0.042,-0.114,0.04,0.001,0.001,1100.0,750.0,1.01
"eps[43, 0]",-0.365,0.048,-0.446,-0.272,0.001,0.001,1032.0,731.0,1.01
"eps[44, 0]",0.082,0.05,-0.019,0.168,0.001,0.001,1286.0,842.0,1.01
"eps[45, 0]",-0.052,0.047,-0.143,0.039,0.001,0.001,1899.0,909.0,1.01
"eps[46, 0]",0.235,0.065,0.124,0.365,0.002,0.001,1668.0,929.0,1.0
"eps[47, 0]",0.041,0.028,-0.007,0.095,0.001,0.001,1266.0,783.0,1.0
"eps[48, 0]",0.122,0.039,0.047,0.192,0.001,0.001,1000.0,821.0,1.01
"eps[49, 0]",-0.037,0.029,-0.086,0.022,0.001,0.001,1088.0,993.0,1.0
"eps[50, 0]",0.118,0.099,-0.086,0.283,0.003,0.003,1515.0,721.0,1.01
"eps[51, 0]",-0.017,0.045,-0.104,0.06,0.002,0.001,866.0,684.0,1.01
"eps[52, 0]",0.028,0.069,-0.091,0.16,0.002,0.002,1310.0,911.0,1.0
"eps[53, 0]",0.117,0.037,0.051,0.181,0.001,0.001,851.0,893.0,1.01
"eps_tform[0, 0]",1.341,0.828,-0.158,2.893,0.025,0.02,1071.0,738.0,1.0
"eps_tform[0, 1]",0.052,0.815,-1.459,1.647,0.026,0.022,959.0,752.0,1.0
"eps_tform[0, 2]",1.226,0.861,-0.442,2.701,0.026,0.018,1091.0,692.0,1.0
"eps_tform[0, 3]",-0.103,0.758,-1.39,1.458,0.021,0.021,1324.0,898.0,1.0
"eps_tform[0, 4]",-1.801,0.681,-3.12,-0.608,0.02,0.014,1213.0,951.0,1.0
"eps_tform[0, 5]",0.551,0.882,-1.218,2.177,0.019,0.023,2131.0,727.0,1.01
"eps_tform[0, 6]",0.554,0.944,-1.107,2.37,0.026,0.022,1261.0,847.0,1.0
"eps_tform[0, 7]",0.474,0.921,-1.454,2.035,0.023,0.029,1638.0,723.0,1.0
"eps_tform[0, 8]",0.561,0.88,-1.041,2.162,0.021,0.02,1680.0,918.0,1.0
"eps_tform[0, 9]",0.418,0.627,-0.773,1.564,0.022,0.018,778.0,638.0,1.0
"eps_tform[0, 10]",2.738,0.699,1.458,4.103,0.017,0.012,1631.0,886.0,1.01
"eps_tform[0, 11]",0.866,0.622,-0.284,2.03,0.02,0.014,960.0,863.0,1.0
"eps_tform[0, 12]",-0.528,0.697,-1.919,0.604,0.021,0.019,1131.0,985.0,1.0
"eps_tform[0, 13]",-0.111,0.577,-1.274,0.893,0.019,0.015,941.0,722.0,1.0
"eps_tform[0, 14]",0.021,0.849,-1.593,1.539,0.02,0.026,1701.0,761.0,1.0
"eps_tform[0, 15]",1.05,0.524,0.02,1.98,0.02,0.015,695.0,728.0,1.01
"eps_tform[0, 16]",-1.769,0.844,-3.267,-0.156,0.018,0.014,2296.0,936.0,1.0
"eps_tform[0, 17]",0.806,0.61,-0.207,2.067,0.02,0.014,934.0,732.0,1.0
"eps_tform[0, 18]",-1.229,0.576,-2.264,-0.124,0.019,0.014,901.0,693.0,1.01
"eps_tform[0, 19]",1.789,0.434,1.001,2.587,0.013,0.01,1083.0,883.0,1.0
"eps_tform[0, 20]",-2.557,0.604,-3.684,-1.473,0.02,0.015,892.0,698.0,1.0
"eps_tform[0, 21]",-0.75,0.58,-1.776,0.404,0.019,0.014,933.0,793.0,1.0
"eps_tform[0, 22]",-2.051,0.381,-2.754,-1.33,0.014,0.01,795.0,622.0,1.0
"eps_tform[0, 23]",-1.467,0.797,-2.954,0.018,0.022,0.015,1381.0,836.0,1.0
"eps_tform[0, 24]",-0.246,0.409,-0.983,0.559,0.018,0.013,556.0,661.0,1.0
"eps_tform[0, 25]",-1.901,0.397,-2.659,-1.142,0.013,0.009,904.0,778.0,1.01
"eps_tform[0, 26]",1.951,0.548,0.964,2.993,0.018,0.013,924.0,679.0,1.01
"eps_tform[0, 27]",1.718,0.438,0.897,2.513,0.017,0.012,690.0,675.0,1.0
"eps_tform[0, 28]",1.646,0.509,0.735,2.588,0.016,0.011,1045.0,951.0,1.0
"eps_tform[0, 29]",-2.646,0.577,-3.681,-1.542,0.017,0.012,1117.0,686.0,1.0
"eps_tform[0, 30]",0.708,0.58,-0.427,1.72,0.018,0.015,1006.0,735.0,1.0
"eps_tform[0, 31]",-0.261,0.444,-1.156,0.504,0.015,0.013,862.0,750.0,1.0
"eps_tform[0, 32]",0.179,0.879,-1.467,1.741,0.021,0.028,1755.0,804.0,1.01
"eps_tform[0, 33]",-0.146,0.448,-1.088,0.602,0.017,0.013,704.0,734.0,1.0
"eps_tform[0, 34]",0.281,0.461,-0.616,1.087,0.016,0.011,830.0,822.0,1.0
"eps_tform[0, 35]",0.562,0.571,-0.448,1.673,0.017,0.013,1077.0,897.0,1.0
"eps_tform[0, 36]",-0.645,0.519,-1.63,0.328,0.017,0.012,927.0,923.0,1.01
"eps_tform[0, 37]",1.065,0.631,-0.045,2.202,0.019,0.014,1146.0,898.0,1.0
"eps_tform[0, 38]",0.22,0.565,-0.772,1.357,0.014,0.016,1560.0,828.0,1.01
