,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.35,0.089,0.195,0.504,0.004,0.003,472.0,596.0,1.01
Ds[0],34.471,0.089,34.306,34.627,0.004,0.003,461.0,558.0,1.01
RV[0],2.625,1.123,1.002,4.853,0.054,0.039,483.0,511.0,1.01
"eps[0, 0]",0.111,0.077,-0.043,0.246,0.002,0.002,1296.0,763.0,1.01
"eps[1, 0]",-0.016,0.167,-0.35,0.275,0.005,0.005,1123.0,744.0,1.0
"eps[2, 0]",0.219,0.112,0.015,0.422,0.003,0.002,1195.0,787.0,1.0
"eps[3, 0]",-0.017,0.17,-0.344,0.281,0.005,0.005,1286.0,828.0,1.0
"eps[4, 0]",-0.208,0.16,-0.495,0.103,0.005,0.004,993.0,606.0,1.0
"eps[5, 0]",0.239,0.195,-0.113,0.601,0.005,0.005,1449.0,738.0,1.0
"eps[6, 0]",0.09,0.169,-0.265,0.38,0.004,0.005,1462.0,910.0,1.0
"eps[7, 0]",0.077,0.144,-0.191,0.343,0.004,0.004,1594.0,804.0,1.0
"eps[8, 0]",0.077,0.127,-0.148,0.318,0.004,0.003,1212.0,785.0,1.0
"eps[9, 0]",-0.02,0.033,-0.085,0.037,0.001,0.001,729.0,737.0,1.0
"eps[10, 0]",0.181,0.041,0.101,0.253,0.001,0.001,1237.0,768.0,1.0
"eps[11, 0]",-0.02,0.035,-0.09,0.041,0.001,0.001,988.0,841.0,1.0
"eps[12, 0]",0.057,0.027,0.008,0.11,0.001,0.001,1054.0,913.0,1.0
"eps[13, 0]",0.029,0.033,-0.038,0.087,0.001,0.001,852.0,847.0,1.01
"eps[14, 0]",-0.058,0.13,-0.302,0.178,0.003,0.003,1460.0,943.0,1.0
"eps[15, 0]",0.083,0.054,-0.015,0.191,0.002,0.001,820.0,746.0,1.0
"eps[16, 0]",-0.254,0.08,-0.394,-0.087,0.002,0.002,1536.0,838.0,1.0
"eps[17, 0]",0.047,0.051,-0.045,0.14,0.002,0.001,897.0,838.0,1.0
"eps[18, 0]",-0.115,0.036,-0.181,-0.049,0.001,0.001,766.0,771.0,1.01
"eps[19, 0]",0.116,0.036,0.051,0.182,0.001,0.001,677.0,578.0,1.0
