,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.361,0.048,0.278,0.452,0.002,0.002,396.0,487.0,1.01
Ds[0],35.836,0.048,35.749,35.915,0.002,0.002,379.0,531.0,1.01
RV[0],1.23,0.219,1.0,1.636,0.011,0.008,460.0,543.0,1.01
"eps[0, 0]",0.27,0.075,0.123,0.411,0.003,0.002,898.0,897.0,1.0
"eps[1, 0]",0.421,0.146,0.116,0.668,0.005,0.004,789.0,729.0,1.0
"eps[2, 0]",0.094,0.103,-0.107,0.276,0.003,0.002,878.0,788.0,1.0
"eps[3, 0]",-0.191,0.123,-0.411,0.037,0.003,0.002,1240.0,953.0,1.0
"eps[4, 0]",-0.499,0.128,-0.749,-0.273,0.004,0.003,1228.0,866.0,1.0
"eps[5, 0]",-0.046,0.197,-0.413,0.312,0.005,0.005,1345.0,806.0,1.0
"eps[6, 0]",-0.022,0.178,-0.337,0.308,0.005,0.006,1503.0,680.0,1.0
"eps[7, 0]",0.091,0.148,-0.189,0.367,0.004,0.005,1209.0,670.0,1.0
"eps[8, 0]",0.154,0.128,-0.081,0.385,0.004,0.003,942.0,689.0,1.0
"eps[9, 0]",-0.151,0.027,-0.202,-0.101,0.001,0.001,503.0,739.0,1.01
"eps[10, 0]",-0.127,0.025,-0.171,-0.081,0.001,0.001,979.0,713.0,1.0
"eps[11, 0]",-0.068,0.025,-0.109,-0.02,0.001,0.001,818.0,881.0,1.0
"eps[12, 0]",0.027,0.019,-0.006,0.062,0.001,0.001,677.0,675.0,1.0
"eps[13, 0]",-0.044,0.026,-0.09,0.006,0.001,0.001,501.0,749.0,1.0
"eps[14, 0]",-0.122,0.13,-0.354,0.135,0.004,0.004,831.0,758.0,1.0
"eps[15, 0]",-0.065,0.051,-0.151,0.034,0.002,0.002,579.0,829.0,1.0
"eps[16, 0]",-0.049,0.042,-0.126,0.029,0.002,0.001,575.0,779.0,1.0
"eps[17, 0]",-0.055,0.041,-0.128,0.028,0.002,0.001,567.0,814.0,1.0
"eps[18, 0]",0.219,0.038,0.149,0.289,0.002,0.001,570.0,604.0,1.01
"eps[19, 0]",0.171,0.031,0.112,0.227,0.001,0.001,862.0,782.0,1.0
"eps[20, 0]",-0.107,0.027,-0.16,-0.06,0.001,0.001,654.0,966.0,1.01
"eps[21, 0]",-0.101,0.018,-0.135,-0.066,0.001,0.0,772.0,737.0,1.0
"eps[22, 0]",-0.329,0.026,-0.372,-0.278,0.001,0.001,650.0,757.0,1.01
"eps[23, 0]",0.008,0.124,-0.248,0.223,0.004,0.003,1232.0,868.0,1.0
"eps[24, 0]",-0.496,0.063,-0.609,-0.376,0.002,0.002,756.0,780.0,1.0
"eps[25, 0]",-0.229,0.091,-0.394,-0.047,0.002,0.002,1919.0,894.0,1.0
"eps[26, 0]",-0.19,0.084,-0.347,-0.042,0.003,0.002,1003.0,658.0,1.02
"eps[27, 0]",0.296,0.045,0.217,0.381,0.002,0.001,751.0,640.0,1.0
"eps[28, 0]",0.179,0.058,0.07,0.289,0.002,0.001,765.0,709.0,1.0
"eps[29, 0]",0.092,0.037,0.02,0.158,0.001,0.001,936.0,707.0,1.0
"eps[30, 0]",0.116,0.023,0.074,0.159,0.001,0.001,980.0,940.0,1.0
"eps[31, 0]",0.027,0.04,-0.049,0.097,0.002,0.001,485.0,708.0,1.01
"eps[32, 0]",0.033,0.127,-0.217,0.257,0.004,0.004,1083.0,759.0,1.0
"eps[33, 0]",0.133,0.063,0.015,0.254,0.003,0.002,570.0,694.0,1.01
"eps[34, 0]",-0.051,0.103,-0.234,0.154,0.003,0.003,1569.0,910.0,1.0
"eps[35, 0]",0.112,0.055,0.018,0.214,0.002,0.001,1108.0,758.0,1.0
"eps[36, 0]",-0.334,0.053,-0.431,-0.234,0.002,0.001,732.0,803.0,1.01
"eps[37, 0]",-0.204,0.053,-0.302,-0.106,0.001,0.001,1511.0,766.0,1.01
"eps[38, 0]",-0.022,0.038,-0.089,0.057,0.001,0.001,796.0,668.0,1.0
"eps[39, 0]",0.135,0.033,0.079,0.201,0.001,0.001,1158.0,781.0,1.0
"eps[40, 0]",0.234,0.03,0.181,0.292,0.001,0.001,1009.0,951.0,1.01
"eps[41, 0]",0.094,0.102,-0.1,0.27,0.003,0.002,1274.0,749.0,1.0
"eps[42, 0]",0.373,0.048,0.282,0.467,0.002,0.001,878.0,654.0,1.0
"eps[43, 0]",0.341,0.054,0.237,0.434,0.002,0.001,1120.0,982.0,1.0
"eps[44, 0]",0.386,0.044,0.296,0.466,0.001,0.001,995.0,733.0,1.0
"eps[45, 0]",0.07,0.051,-0.034,0.162,0.001,0.001,2023.0,734.0,1.01
"eps[46, 0]",0.009,0.094,-0.144,0.203,0.002,0.003,2149.0,562.0,1.0
"eps[47, 0]",-0.067,0.029,-0.12,-0.013,0.001,0.001,1658.0,656.0,1.0
"eps[48, 0]",-0.47,0.074,-0.604,-0.33,0.002,0.002,1223.0,707.0,1.0
"eps[49, 0]",-0.387,0.06,-0.502,-0.284,0.001,0.001,1596.0,738.0,1.0
"eps[50, 0]",-0.004,0.099,-0.206,0.164,0.003,0.003,1427.0,860.0,1.0
"eps[51, 0]",-0.137,0.067,-0.258,-0.009,0.002,0.001,1317.0,646.0,1.0
"eps[52, 0]",-0.221,0.083,-0.366,-0.055,0.002,0.002,1208.0,574.0,1.0
