,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.383,0.081,0.228,0.522,0.004,0.003,335.0,435.0,1.01
Ds[0],34.333,0.078,34.184,34.478,0.004,0.003,333.0,436.0,1.01
RV[0],2.177,0.843,1.002,3.719,0.045,0.032,350.0,478.0,1.01
"eps[0, 0]",0.033,0.085,-0.135,0.188,0.003,0.002,1058.0,796.0,1.0
"eps[1, 0]",0.365,0.181,-0.012,0.684,0.006,0.004,938.0,496.0,1.01
"eps[2, 0]",-0.068,0.116,-0.296,0.141,0.004,0.003,1079.0,828.0,1.0
"eps[3, 0]",0.32,0.176,0.002,0.644,0.005,0.004,1045.0,880.0,1.01
"eps[4, 0]",0.352,0.174,0.014,0.651,0.006,0.004,815.0,827.0,1.0
"eps[5, 0]",-0.118,0.208,-0.499,0.289,0.006,0.005,1106.0,898.0,1.0
"eps[6, 0]",-0.014,0.172,-0.334,0.288,0.005,0.004,1105.0,806.0,1.0
"eps[7, 0]",0.095,0.141,-0.173,0.355,0.004,0.004,1206.0,674.0,1.01
"eps[8, 0]",0.095,0.128,-0.143,0.326,0.004,0.003,1117.0,884.0,1.0
"eps[9, 0]",-0.012,0.039,-0.089,0.056,0.002,0.001,567.0,695.0,1.01
"eps[10, 0]",-0.003,0.039,-0.079,0.069,0.001,0.001,1066.0,738.0,1.01
"eps[11, 0]",0.092,0.032,0.032,0.153,0.001,0.001,798.0,762.0,1.0
"eps[12, 0]",-0.009,0.024,-0.055,0.032,0.001,0.001,743.0,693.0,1.0
"eps[13, 0]",-0.002,0.028,-0.054,0.048,0.001,0.001,646.0,584.0,1.01
"eps[14, 0]",-0.02,0.144,-0.313,0.243,0.004,0.004,1201.0,785.0,1.0
"eps[15, 0]",0.096,0.087,-0.056,0.262,0.003,0.002,1177.0,933.0,1.0
"eps[16, 0]",0.068,0.058,-0.036,0.19,0.002,0.001,984.0,834.0,1.01
"eps[17, 0]",0.015,0.059,-0.088,0.127,0.002,0.002,1054.0,898.0,1.0
"eps[18, 0]",-0.009,0.038,-0.075,0.066,0.002,0.001,523.0,616.0,1.0
"eps[19, 0]",0.088,0.034,0.028,0.152,0.001,0.001,1234.0,868.0,1.0
"eps[20, 0]",-0.127,0.028,-0.184,-0.077,0.001,0.001,496.0,654.0,1.0
"eps[21, 0]",0.008,0.024,-0.038,0.053,0.001,0.001,616.0,898.0,1.0
"eps[22, 0]",-0.094,0.03,-0.149,-0.039,0.001,0.001,570.0,711.0,1.01
"eps[23, 0]",0.201,0.123,-0.029,0.422,0.004,0.003,1081.0,717.0,1.01
"eps[24, 0]",-0.021,0.06,-0.145,0.084,0.002,0.002,889.0,1030.0,1.0
"eps[25, 0]",-0.033,0.055,-0.134,0.067,0.002,0.002,854.0,867.0,1.0
"eps[26, 0]",-0.021,0.062,-0.128,0.099,0.003,0.002,456.0,708.0,1.0
"eps[27, 0]",0.042,0.05,-0.052,0.135,0.002,0.001,806.0,740.0,1.0
"eps[28, 0]",-0.106,0.065,-0.231,0.011,0.003,0.002,624.0,866.0,1.01
"eps[29, 0]",0.157,0.035,0.101,0.231,0.001,0.001,947.0,878.0,1.0
"eps[30, 0]",-0.168,0.027,-0.217,-0.117,0.001,0.001,668.0,541.0,1.01
"eps[31, 0]",-0.153,0.04,-0.229,-0.079,0.002,0.001,632.0,711.0,1.0
"eps[32, 0]",-0.382,0.136,-0.654,-0.136,0.004,0.003,1231.0,780.0,1.0
"eps[33, 0]",-0.078,0.062,-0.189,0.036,0.003,0.002,566.0,778.0,1.0
"eps[34, 0]",0.136,0.061,0.005,0.246,0.002,0.002,749.0,738.0,1.0
"eps[35, 0]",0.017,0.053,-0.082,0.11,0.003,0.002,427.0,621.0,1.0
"eps[36, 0]",-0.013,0.057,-0.118,0.094,0.002,0.002,1197.0,889.0,1.0
"eps[37, 0]",0.357,0.062,0.246,0.479,0.002,0.001,1295.0,872.0,1.0
"eps[38, 0]",-0.174,0.042,-0.254,-0.095,0.002,0.001,587.0,664.0,1.01
"eps[39, 0]",0.148,0.036,0.087,0.223,0.001,0.001,727.0,663.0,1.01
"eps[40, 0]",-0.207,0.036,-0.269,-0.135,0.001,0.001,635.0,621.0,1.01
"eps[41, 0]",0.021,0.122,-0.184,0.269,0.004,0.004,1026.0,613.0,1.01
"eps[42, 0]",-0.171,0.05,-0.253,-0.07,0.002,0.001,591.0,718.0,1.01
"eps[43, 0]",-0.148,0.049,-0.232,-0.053,0.002,0.002,505.0,694.0,1.01
"eps[44, 0]",-0.04,0.047,-0.126,0.044,0.002,0.001,542.0,730.0,1.0
"eps[45, 0]",0.066,0.051,-0.032,0.164,0.001,0.001,1489.0,745.0,1.0
"eps[46, 0]",0.008,0.095,-0.169,0.18,0.003,0.003,1349.0,876.0,1.0
"eps[47, 0]",-0.004,0.03,-0.058,0.055,0.001,0.001,1652.0,713.0,1.01
"eps[48, 0]",0.164,0.077,0.019,0.307,0.003,0.002,918.0,785.0,1.0
"eps[49, 0]",-0.056,0.064,-0.189,0.055,0.002,0.002,1399.0,801.0,1.01
"eps[50, 0]",-0.055,0.117,-0.29,0.154,0.004,0.003,941.0,702.0,1.0
"eps[51, 0]",-0.398,0.077,-0.534,-0.254,0.002,0.001,1395.0,779.0,1.01
"eps[52, 0]",-0.309,0.073,-0.453,-0.184,0.002,0.001,1647.0,911.0,1.0
"eps[53, 0]",0.278,0.055,0.17,0.378,0.002,0.001,1036.0,898.0,1.0
