,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.719,0.126,0.482,0.936,0.006,0.005,384.0,556.0,1.02
Ds[0],36.068,0.111,35.885,36.293,0.006,0.004,397.0,567.0,1.01
RV[0],1.946,0.488,1.012,2.776,0.025,0.018,378.0,508.0,1.02
"eps[0, 0]",0.203,0.08,0.06,0.359,0.002,0.002,1150.0,637.0,1.0
"eps[1, 0]",0.458,0.159,0.141,0.745,0.004,0.003,1364.0,823.0,1.0
"eps[2, 0]",0.062,0.109,-0.121,0.28,0.003,0.003,1092.0,868.0,1.0
"eps[3, 0]",-0.097,0.148,-0.367,0.176,0.004,0.004,1267.0,912.0,1.0
"eps[4, 0]",-0.051,0.155,-0.314,0.263,0.004,0.005,1269.0,913.0,1.01
"eps[5, 0]",-0.134,0.189,-0.47,0.238,0.005,0.004,1669.0,972.0,1.0
"eps[6, 0]",0.121,0.159,-0.184,0.408,0.004,0.004,1419.0,753.0,1.0
"eps[7, 0]",0.018,0.147,-0.266,0.281,0.004,0.004,1349.0,638.0,1.01
"eps[8, 0]",0.079,0.138,-0.199,0.317,0.004,0.004,1486.0,727.0,1.0
"eps[9, 0]",-0.041,0.035,-0.103,0.024,0.001,0.001,839.0,672.0,1.0
"eps[10, 0]",-0.004,0.029,-0.062,0.046,0.001,0.001,1075.0,647.0,1.0
"eps[11, 0]",0.085,0.033,0.028,0.152,0.001,0.001,1084.0,681.0,1.0
"eps[12, 0]",0.001,0.028,-0.049,0.054,0.001,0.001,798.0,630.0,1.0
"eps[13, 0]",-0.05,0.031,-0.108,0.008,0.001,0.001,895.0,707.0,1.0
"eps[14, 0]",-0.238,0.111,-0.434,-0.017,0.003,0.002,1235.0,757.0,1.0
"eps[15, 0]",-0.107,0.062,-0.215,0.013,0.002,0.001,1093.0,850.0,1.0
"eps[16, 0]",-0.052,0.06,-0.168,0.056,0.002,0.002,843.0,758.0,1.0
"eps[17, 0]",-0.012,0.064,-0.133,0.107,0.002,0.002,873.0,790.0,1.0
"eps[18, 0]",0.147,0.042,0.06,0.22,0.001,0.001,881.0,695.0,1.0
"eps[19, 0]",0.234,0.041,0.156,0.31,0.001,0.001,806.0,691.0,1.0
