,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.67,0.148,0.417,0.922,0.008,0.006,344.0,545.0,1.01
Ds[0],36.146,0.134,35.916,36.379,0.007,0.005,370.0,578.0,1.01
RV[0],1.875,0.556,1.002,2.825,0.03,0.021,354.0,565.0,1.01
"eps[0, 0]",0.2,0.083,0.047,0.345,0.002,0.002,1543.0,807.0,1.01
"eps[1, 0]",0.482,0.159,0.207,0.786,0.004,0.003,1825.0,914.0,1.0
"eps[2, 0]",0.05,0.115,-0.165,0.264,0.003,0.003,1459.0,707.0,1.01
"eps[3, 0]",-0.079,0.147,-0.366,0.178,0.004,0.004,1579.0,843.0,1.0
"eps[4, 0]",-0.043,0.157,-0.36,0.226,0.004,0.006,1246.0,571.0,1.0
"eps[5, 0]",-0.144,0.188,-0.497,0.198,0.004,0.004,2049.0,862.0,1.0
"eps[6, 0]",0.137,0.165,-0.179,0.436,0.004,0.004,2105.0,712.0,1.01
"eps[7, 0]",0.025,0.14,-0.229,0.281,0.004,0.005,1538.0,674.0,1.0
"eps[8, 0]",0.096,0.141,-0.167,0.338,0.003,0.004,1731.0,752.0,1.01
"eps[9, 0]",-0.025,0.032,-0.083,0.036,0.001,0.001,637.0,699.0,1.0
"eps[10, 0]",0.003,0.03,-0.056,0.06,0.001,0.001,1325.0,759.0,1.0
"eps[11, 0]",0.076,0.035,0.012,0.141,0.001,0.001,1097.0,784.0,1.0
"eps[12, 0]",-0.006,0.026,-0.055,0.043,0.001,0.001,956.0,931.0,1.01
"eps[13, 0]",-0.045,0.033,-0.111,0.015,0.001,0.001,1232.0,783.0,1.01
"eps[14, 0]",-0.223,0.107,-0.42,-0.034,0.003,0.002,1154.0,833.0,1.0
"eps[15, 0]",-0.088,0.061,-0.19,0.04,0.002,0.001,1258.0,811.0,1.0
"eps[16, 0]",-0.068,0.062,-0.176,0.052,0.002,0.002,677.0,670.0,1.0
"eps[17, 0]",-0.018,0.061,-0.13,0.098,0.002,0.002,796.0,803.0,1.01
"eps[18, 0]",0.154,0.042,0.078,0.235,0.001,0.001,930.0,547.0,1.0
"eps[19, 0]",0.234,0.042,0.15,0.311,0.001,0.001,893.0,858.0,1.0
"eps[20, 0]",-0.255,0.038,-0.319,-0.178,0.001,0.001,844.0,789.0,1.01
"eps[21, 0]",-0.224,0.03,-0.278,-0.169,0.001,0.001,1084.0,987.0,1.0
"eps[22, 0]",-0.247,0.039,-0.32,-0.178,0.001,0.001,788.0,768.0,1.0
"eps[23, 0]",0.089,0.124,-0.145,0.312,0.003,0.003,1447.0,808.0,1.0
"eps[24, 0]",-0.388,0.079,-0.533,-0.246,0.002,0.002,1265.0,840.0,1.01
"eps[25, 0]",-0.229,0.076,-0.367,-0.081,0.002,0.002,951.0,882.0,1.0
"eps[26, 0]",0.052,0.088,-0.1,0.23,0.003,0.002,783.0,637.0,1.0
"eps[27, 0]",0.208,0.05,0.114,0.296,0.002,0.001,1057.0,779.0,1.0
"eps[28, 0]",0.297,0.072,0.169,0.44,0.002,0.001,1327.0,1009.0,1.0
"eps[29, 0]",-0.025,0.04,-0.095,0.054,0.001,0.001,1244.0,809.0,1.0
"eps[30, 0]",-0.024,0.034,-0.085,0.039,0.001,0.001,951.0,933.0,1.0
"eps[31, 0]",-0.079,0.055,-0.181,0.028,0.002,0.001,1192.0,868.0,1.01
"eps[32, 0]",-0.147,0.126,-0.374,0.082,0.003,0.003,1422.0,789.0,1.0
"eps[33, 0]",0.113,0.083,-0.045,0.255,0.002,0.002,1168.0,801.0,1.01
"eps[34, 0]",-0.161,0.116,-0.362,0.07,0.003,0.002,2075.0,844.0,1.0
"eps[35, 0]",0.094,0.081,-0.08,0.231,0.002,0.002,2026.0,690.0,1.0
"eps[36, 0]",-0.134,0.062,-0.254,-0.019,0.002,0.001,1086.0,853.0,1.0
"eps[37, 0]",0.128,0.073,0.001,0.273,0.002,0.002,1426.0,647.0,1.01
"eps[38, 0]",-0.029,0.043,-0.109,0.054,0.001,0.001,1321.0,860.0,1.0
"eps[39, 0]",0.015,0.039,-0.07,0.078,0.001,0.001,1026.0,744.0,1.0
"eps[40, 0]",0.008,0.044,-0.065,0.097,0.001,0.001,1368.0,865.0,1.01
"eps[41, 0]",-0.001,0.107,-0.2,0.187,0.002,0.003,1872.0,861.0,1.0
"eps[42, 0]",0.123,0.068,-0.001,0.243,0.002,0.001,1467.0,837.0,1.0
"eps[43, 0]",0.02,0.082,-0.139,0.173,0.002,0.003,2107.0,841.0,1.0
"eps[44, 0]",0.118,0.063,-0.004,0.231,0.002,0.001,1284.0,798.0,1.0
"eps[45, 0]",-0.038,0.053,-0.149,0.056,0.001,0.001,1659.0,847.0,1.0
"eps[46, 0]",-0.044,0.064,-0.159,0.081,0.002,0.002,993.0,950.0,1.0
"eps[47, 0]",0.054,0.027,0.005,0.107,0.001,0.001,1690.0,733.0,1.0
"eps[48, 0]",0.082,0.044,-0.003,0.159,0.001,0.001,1167.0,927.0,1.0
"eps[49, 0]",0.155,0.037,0.089,0.224,0.001,0.001,1395.0,1024.0,1.0
"eps[50, 0]",0.05,0.102,-0.144,0.236,0.003,0.003,1470.0,862.0,1.0
"eps[51, 0]",0.002,0.076,-0.138,0.145,0.002,0.002,1575.0,834.0,1.01
"eps[52, 0]",-0.159,0.085,-0.315,0.008,0.002,0.002,1490.0,773.0,1.0
"eps[53, 0]",0.042,0.06,-0.077,0.148,0.002,0.001,1547.0,813.0,1.01
"eps_tform[0, 0]",2.175,0.902,0.508,3.746,0.023,0.018,1543.0,807.0,1.01
"eps_tform[0, 1]",1.956,0.759,0.586,3.312,0.018,0.013,1859.0,849.0,1.0
"eps_tform[0, 2]",-0.213,0.877,-1.866,1.401,0.023,0.024,1436.0,872.0,1.0
"eps_tform[0, 3]",-1.348,0.733,-2.752,0.008,0.018,0.016,1612.0,769.0,1.0
