,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.387,0.055,0.282,0.486,0.003,0.002,390.0,501.0,1.0
Ds[0],33.708,0.053,33.616,33.816,0.003,0.002,375.0,544.0,1.0
RV[0],2.584,0.786,1.343,4.105,0.038,0.027,446.0,632.0,1.0
"eps[0, 0]",0.389,0.078,0.241,0.54,0.002,0.002,1163.0,659.0,1.0
"eps[1, 0]",0.467,0.159,0.199,0.786,0.005,0.003,1137.0,838.0,1.0
"eps[2, 0]",0.337,0.103,0.137,0.525,0.003,0.002,975.0,785.0,1.0
"eps[3, 0]",0.675,0.161,0.38,0.992,0.007,0.005,492.0,622.0,1.01
"eps[4, 0]",0.15,0.165,-0.163,0.443,0.009,0.007,316.0,662.0,1.01
"eps[5, 0]",0.576,0.193,0.225,0.917,0.007,0.005,850.0,701.0,1.0
"eps[6, 0]",-0.014,0.171,-0.328,0.309,0.005,0.005,1134.0,817.0,1.01
"eps[7, 0]",0.076,0.141,-0.188,0.349,0.003,0.004,1654.0,761.0,1.0
"eps[8, 0]",0.151,0.134,-0.097,0.396,0.004,0.003,1302.0,769.0,1.01
"eps[9, 0]",0.009,0.035,-0.055,0.073,0.002,0.001,470.0,763.0,1.0
"eps[10, 0]",0.027,0.028,-0.027,0.076,0.001,0.001,625.0,711.0,1.0
"eps[11, 0]",0.185,0.022,0.143,0.224,0.001,0.001,533.0,696.0,1.0
"eps[12, 0]",0.158,0.024,0.117,0.204,0.001,0.001,525.0,684.0,1.01
"eps[13, 0]",-0.05,0.023,-0.095,-0.007,0.001,0.001,491.0,592.0,1.0
"eps[14, 0]",-0.82,0.134,-1.057,-0.556,0.005,0.004,697.0,732.0,1.0
"eps[15, 0]",-0.281,0.066,-0.415,-0.169,0.005,0.003,221.0,725.0,1.02
"eps[16, 0]",-0.492,0.046,-0.585,-0.409,0.002,0.002,434.0,609.0,1.0
"eps[17, 0]",-0.165,0.044,-0.242,-0.082,0.002,0.002,339.0,674.0,1.01
"eps[18, 0]",-0.296,0.032,-0.352,-0.235,0.001,0.001,779.0,769.0,1.0
"eps[19, 0]",-0.161,0.028,-0.207,-0.102,0.001,0.001,682.0,833.0,1.01
"eps[20, 0]",-0.218,0.021,-0.255,-0.178,0.001,0.0,923.0,884.0,1.0
"eps[21, 0]",-0.23,0.028,-0.28,-0.177,0.002,0.001,339.0,557.0,1.01
"eps[22, 0]",-0.468,0.021,-0.511,-0.433,0.001,0.001,453.0,691.0,1.01
"eps[23, 0]",-0.514,0.126,-0.75,-0.277,0.005,0.003,685.0,855.0,1.01
"eps[24, 0]",-0.261,0.051,-0.361,-0.172,0.002,0.002,486.0,721.0,1.0
"eps[25, 0]",-0.62,0.041,-0.69,-0.538,0.002,0.002,283.0,717.0,1.01
"eps[26, 0]",-0.039,0.054,-0.129,0.072,0.003,0.002,414.0,621.0,1.0
"eps[27, 0]",-0.046,0.037,-0.12,0.02,0.001,0.001,782.0,748.0,1.01
"eps[28, 0]",0.191,0.037,0.12,0.259,0.001,0.001,1002.0,967.0,1.0
"eps[29, 0]",-0.086,0.023,-0.128,-0.044,0.001,0.001,451.0,641.0,1.01
"eps[30, 0]",0.069,0.031,0.016,0.13,0.002,0.001,375.0,543.0,1.01
"eps[31, 0]",-0.124,0.032,-0.178,-0.058,0.002,0.001,343.0,606.0,1.01
"eps[32, 0]",0.607,0.144,0.331,0.872,0.004,0.003,1037.0,816.0,1.0
"eps[33, 0]",-0.29,0.053,-0.387,-0.197,0.002,0.002,612.0,690.0,1.0
"eps[34, 0]",-0.18,0.058,-0.288,-0.07,0.003,0.002,477.0,570.0,1.0
"eps[35, 0]",0.049,0.067,-0.075,0.168,0.002,0.002,1381.0,540.0,1.01
"eps[36, 0]",-0.09,0.039,-0.162,-0.022,0.002,0.001,468.0,757.0,1.0
"eps[37, 0]",-0.079,0.034,-0.146,-0.013,0.001,0.001,1027.0,949.0,1.0
"eps[38, 0]",0.061,0.023,0.014,0.102,0.001,0.001,824.0,790.0,1.0
"eps[39, 0]",0.029,0.034,-0.034,0.095,0.001,0.001,562.0,724.0,1.0
"eps[40, 0]",0.085,0.027,0.034,0.137,0.001,0.001,371.0,403.0,1.01
"eps[41, 0]",-0.276,0.109,-0.467,-0.055,0.003,0.002,1429.0,777.0,1.01
"eps[42, 0]",0.227,0.045,0.146,0.317,0.002,0.002,373.0,579.0,1.01
"eps[43, 0]",0.098,0.042,0.023,0.179,0.002,0.001,410.0,666.0,1.0
"eps[44, 0]",0.174,0.043,0.094,0.255,0.002,0.001,488.0,691.0,1.0
"eps[45, 0]",0.054,0.044,-0.033,0.133,0.001,0.001,1738.0,838.0,1.0
"eps[46, 0]",0.078,0.065,-0.033,0.203,0.002,0.001,1510.0,835.0,1.0
"eps[47, 0]",0.02,0.021,-0.018,0.062,0.001,0.001,783.0,788.0,1.0
"eps[48, 0]",0.235,0.029,0.173,0.285,0.001,0.001,794.0,801.0,1.0
"eps[49, 0]",0.006,0.025,-0.036,0.055,0.001,0.001,892.0,863.0,1.0
"eps[50, 0]",0.595,0.086,0.411,0.727,0.002,0.002,1579.0,926.0,1.0
"eps[51, 0]",-0.23,0.043,-0.311,-0.151,0.002,0.001,732.0,787.0,1.01
"eps[52, 0]",-0.044,0.071,-0.163,0.109,0.003,0.002,721.0,760.0,1.0
"eps[53, 0]",0.097,0.053,0.005,0.203,0.001,0.001,1785.0,903.0,1.0
"eps_tform[0, 0]",4.234,0.846,2.623,5.872,0.025,0.018,1163.0,659.0,1.0
"eps_tform[0, 1]",1.59,0.763,0.265,3.12,0.023,0.017,1115.0,785.0,1.0
"eps_tform[0, 2]",1.333,0.821,-0.108,2.983,0.029,0.022,821.0,734.0,1.0
"eps_tform[0, 3]",2.208,0.796,0.596,3.677,0.033,0.027,584.0,496.0,1.01
"eps_tform[0, 4]",-1.69,0.705,-2.946,-0.29,0.029,0.02,595.0,837.0,1.01
"eps_tform[0, 5]",1.232,0.877,-0.396,2.872,0.027,0.02,1041.0,739.0,1.01
"eps_tform[0, 6]",0.175,0.926,-1.415,2.05,0.027,0.028,1172.0,789.0,1.0
"eps_tform[0, 7]",0.014,0.875,-1.602,1.709,0.021,0.03,1796.0,541.0,1.0
"eps_tform[0, 8]",0.922,0.909,-0.831,2.473,0.025,0.023,1322.0,517.0,1.0
"eps_tform[0, 9]",0.094,0.64,-1.053,1.269,0.026,0.019,596.0,794.0,1.0
"eps_tform[0, 10]",-0.641,0.478,-1.505,0.246,0.016,0.012,864.0,629.0,1.0
"eps_tform[0, 11]",3.536,0.467,2.72,4.458,0.023,0.016,430.0,724.0,1.0
"eps_tform[0, 12]",3.178,0.596,1.962,4.188,0.024,0.017,641.0,846.0,1.01
"eps_tform[0, 13]",-1.42,0.444,-2.319,-0.666,0.018,0.013,638.0,631.0,1.0
"eps_tform[0, 14]",-5.032,0.887,-6.876,-3.548,0.034,0.024,729.0,778.0,1.01
"eps_tform[0, 15]",-3.125,0.616,-4.239,-1.961,0.039,0.028,254.0,764.0,1.02
"eps_tform[0, 16]",-3.6,0.596,-4.716,-2.496,0.027,0.019,503.0,582.0,1.01
"eps_tform[0, 17]",-0.415,0.508,-1.294,0.57,0.02,0.014,633.0,850.0,1.0
"eps_tform[0, 18]",-5.437,0.539,-6.434,-4.45,0.019,0.013,834.0,731.0,1.01
"eps_tform[0, 19]",-0.856,0.36,-1.503,-0.15,0.015,0.011,548.0,773.0,1.01
"eps_tform[0, 20]",-3.9,0.477,-4.819,-3.066,0.019,0.014,605.0,855.0,1.01
"eps_tform[0, 21]",-2.797,0.493,-3.767,-1.937,0.021,0.015,569.0,632.0,1.0
"eps_tform[0, 22]",-3.48,0.31,-4.093,-2.957,0.012,0.008,677.0,810.0,1.0
"eps_tform[0, 23]",-2.913,0.888,-4.476,-1.227,0.027,0.02,1070.0,746.0,1.0
"eps_tform[0, 24]",0.946,0.336,0.258,1.533,0.016,0.011,463.0,652.0,1.0
"eps_tform[0, 25]",-4.075,0.31,-4.621,-3.462,0.014,0.01,448.0,727.0,1.01
"eps_tform[0, 26]",-0.383,0.474,-1.248,0.504,0.018,0.014,708.0,536.0,1.01
"eps_tform[0, 27]",1.795,0.408,1.099,2.583,0.016,0.012,629.0,908.0,1.01
"eps_tform[0, 28]",-1.262,0.478,-2.238,-0.461,0.016,0.012,889.0,951.0,1.01
"eps_tform[0, 29]",-2.384,0.49,-3.19,-1.407,0.027,0.02,338.0,898.0,1.01
"eps_tform[0, 30]",1.384,0.457,0.531,2.277,0.017,0.012,767.0,606.0,1.0
"eps_tform[0, 31]",-0.206,0.367,-0.874,0.436,0.013,0.011,787.0,663.0,1.01
"eps_tform[0, 32]",4.344,0.954,2.57,6.175,0.027,0.019,1284.0,783.0,1.0
"eps_tform[0, 33]",0.27,0.395,-0.476,0.98,0.016,0.012,608.0,761.0,1.0
"eps_tform[0, 34]",0.575,0.423,-0.212,1.354,0.017,0.012,621.0,897.0,1.0
"eps_tform[0, 35]",0.475,0.869,-1.085,2.117,0.02,0.029,1942.0,536.0,1.01
"eps_tform[0, 36]",-0.969,0.446,-1.823,-0.163,0.017,0.012,670.0,694.0,1.0
"eps_tform[0, 37]",-0.095,0.491,-0.972,0.871,0.014,0.013,1141.0,778.0,1.0
"eps_tform[0, 38]",1.298,0.379,0.611,1.983,0.014,0.01,707.0,816.0,1.0
"eps_tform[0, 39]",0.438,0.46,-0.361,1.285,0.015,0.012,878.0,786.0,1.0
"eps_tform[0, 40]",3.781,0.425,3.001,4.566,0.014,0.01,888.0,844.0,1.0
"eps_tform[0, 41]",-0.119,1.012,-1.867,1.816,0.031,0.032,1084.0,696.0,1.01
"eps_tform[0, 42]",-0.213,0.435,-0.993,0.616,0.019,0.013,530.0,806.0,1.0
"eps_tform[0, 43]",2.693,0.503,1.81,3.681,0.018,0.013,763.0,738.0,1.0
"eps_tform[0, 44]",3.729,0.688,2.396,5.03,0.025,0.018,746.0,741.0,1.0
"eps_tform[0, 45]",1.94,0.905,0.247,3.683,0.024,0.018,1460.0,833.0,1.0
"eps_tform[0, 46]",1.35,0.712,0.063,2.702,0.018,0.014,1540.0,824.0,1.0
"eps_tform[0, 47]",-0.386,0.718,-1.718,1.0,0.022,0.019,1044.0,858.0,1.0
"eps_tform[0, 48]",3.069,0.546,2.036,4.059,0.018,0.013,913.0,757.0,1.01
"eps_tform[0, 49]",2.631,0.634,1.245,3.667,0.021,0.015,907.0,732.0,1.0
"eps_tform[0, 50]",-0.636,0.976,-2.439,1.261,0.024,0.026,1628.0,682.0,1.01
"eps_tform[0, 51]",1.256,0.702,-0.074,2.493,0.026,0.018,738.0,880.0,1.0
"eps_tform[0, 52]",0.967,0.937,-0.884,2.577,0.023,0.021,1675.0,763.0,1.01
"eps_tform[0, 53]",0.069,0.986,-1.749,1.913,0.021,0.035,2052.0,688.0,1.0
theta[0],1.911,0.094,1.737,2.082,0.003,0.002,739.0,800.0,1.0
tmax[0],-3.278,0.17,-3.593,-3.03,0.014,0.01,186.0,849.0,1.02
peak_MJD[0],54491.773,0.173,54491.454,54492.025,0.015,0.01,186.0,849.0,1.02
mu[0],33.707,0.107,33.506,33.9,0.004,0.003,660.0,940.0,1.0
delM[0],0.001,0.092,-0.179,0.157,0.003,0.002,932.0,909.0,1.0
