,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.226,0.065,0.11,0.354,0.003,0.002,584.0,594.0,1.0
Ds[0],35.295,0.06,35.194,35.411,0.003,0.002,454.0,629.0,1.0
RV[0],3.807,1.343,1.541,5.985,0.048,0.034,826.0,768.0,1.01
"eps[0, 0]",0.117,0.055,0.018,0.215,0.002,0.002,624.0,856.0,1.0
"eps[1, 0]",0.077,0.089,-0.087,0.244,0.003,0.002,720.0,759.0,1.0
"eps[2, 0]",-0.0,0.077,-0.163,0.125,0.003,0.002,574.0,564.0,1.01
"eps[3, 0]",0.122,0.069,0.0,0.248,0.003,0.002,562.0,627.0,1.01
"eps[4, 0]",0.128,0.067,0.017,0.278,0.003,0.002,616.0,666.0,1.01
"eps[5, 0]",0.061,0.18,-0.288,0.392,0.005,0.005,1073.0,713.0,1.01
"eps[6, 0]",0.037,0.084,-0.106,0.204,0.003,0.002,973.0,746.0,1.01
"eps[7, 0]",0.0,0.075,-0.147,0.134,0.002,0.002,1116.0,818.0,1.0
"eps[8, 0]",-0.103,0.108,-0.301,0.102,0.003,0.003,1426.0,815.0,1.0
"eps[9, 0]",0.05,0.039,-0.025,0.118,0.001,0.001,931.0,698.0,1.0
"eps[10, 0]",0.054,0.045,-0.025,0.143,0.001,0.001,1276.0,774.0,1.0
"eps[11, 0]",0.026,0.037,-0.039,0.099,0.001,0.001,810.0,743.0,1.0
"eps[12, 0]",-0.04,0.032,-0.1,0.02,0.001,0.001,899.0,755.0,1.0
"eps[13, 0]",0.006,0.036,-0.061,0.075,0.001,0.001,856.0,881.0,1.0
"eps[14, 0]",-0.066,0.126,-0.315,0.153,0.004,0.004,929.0,712.0,1.01
"eps[15, 0]",0.064,0.063,-0.052,0.18,0.002,0.002,1075.0,765.0,1.01
"eps[16, 0]",0.093,0.046,0.004,0.174,0.002,0.001,655.0,791.0,1.0
"eps[17, 0]",0.053,0.057,-0.044,0.161,0.002,0.001,954.0,871.0,1.0
"eps[18, 0]",-0.096,0.031,-0.159,-0.044,0.001,0.001,849.0,767.0,1.0
"eps[19, 0]",0.041,0.029,-0.013,0.094,0.001,0.001,808.0,812.0,1.0
"eps[20, 0]",-0.112,0.024,-0.159,-0.066,0.001,0.001,1085.0,870.0,1.0
"eps[21, 0]",-0.007,0.023,-0.047,0.038,0.001,0.001,683.0,521.0,1.01
"eps[22, 0]",-0.124,0.025,-0.172,-0.08,0.001,0.001,848.0,850.0,1.0
"eps[23, 0]",-0.004,0.116,-0.22,0.217,0.003,0.004,1886.0,856.0,1.01
"eps[24, 0]",-0.02,0.064,-0.136,0.092,0.002,0.002,1004.0,904.0,1.0
"eps[25, 0]",0.046,0.064,-0.074,0.164,0.002,0.002,851.0,606.0,1.01
"eps[26, 0]",-0.092,0.084,-0.264,0.055,0.002,0.002,1261.0,736.0,1.0
"eps[27, 0]",0.032,0.042,-0.047,0.109,0.001,0.001,828.0,770.0,1.01
"eps[28, 0]",0.01,0.04,-0.065,0.087,0.001,0.001,1087.0,731.0,1.0
"eps[29, 0]",-0.035,0.026,-0.081,0.016,0.001,0.001,943.0,670.0,1.0
"eps[30, 0]",-0.035,0.02,-0.072,0.002,0.001,0.0,1148.0,752.0,1.0
"eps[31, 0]",-0.12,0.034,-0.188,-0.06,0.001,0.001,800.0,710.0,1.0
"eps[32, 0]",-0.029,0.131,-0.272,0.209,0.004,0.004,1399.0,835.0,1.0
"eps[33, 0]",-0.025,0.078,-0.199,0.105,0.002,0.002,1214.0,995.0,1.0
"eps[34, 0]",-0.058,0.107,-0.259,0.151,0.003,0.003,1232.0,538.0,1.0
"eps[35, 0]",-0.085,0.065,-0.215,0.032,0.002,0.001,1736.0,876.0,1.01
"eps[36, 0]",0.062,0.032,0.004,0.123,0.001,0.001,960.0,909.0,1.0
"eps[37, 0]",0.014,0.036,-0.057,0.079,0.001,0.001,986.0,774.0,1.01
"eps[38, 0]",0.057,0.03,0.005,0.117,0.001,0.001,1031.0,633.0,1.01
"eps[39, 0]",-0.017,0.032,-0.077,0.037,0.001,0.001,748.0,800.0,1.01
"eps[40, 0]",-0.026,0.026,-0.07,0.027,0.001,0.001,795.0,667.0,1.01
"eps[41, 0]",0.008,0.107,-0.195,0.192,0.003,0.003,1578.0,895.0,1.0
"eps[42, 0]",-0.064,0.086,-0.227,0.091,0.002,0.002,1625.0,660.0,1.0
"eps[43, 0]",-0.092,0.075,-0.232,0.05,0.002,0.002,1533.0,777.0,1.0
"eps[44, 0]",-0.039,0.057,-0.134,0.075,0.001,0.001,1473.0,756.0,1.01
"eps[45, 0]",-0.021,0.04,-0.102,0.051,0.001,0.001,1586.0,771.0,1.01
"eps[46, 0]",0.109,0.058,0.0,0.211,0.002,0.001,1277.0,627.0,1.0
"eps[47, 0]",0.012,0.022,-0.026,0.053,0.001,0.001,1389.0,771.0,1.0
"eps[48, 0]",0.026,0.028,-0.026,0.08,0.001,0.001,1055.0,799.0,1.0
"eps[49, 0]",0.01,0.028,-0.041,0.063,0.001,0.001,761.0,690.0,1.0
"eps[50, 0]",0.028,0.091,-0.149,0.193,0.002,0.002,1417.0,823.0,1.0
"eps[51, 0]",0.015,0.073,-0.119,0.151,0.002,0.002,1602.0,930.0,1.0
"eps[52, 0]",0.006,0.073,-0.132,0.14,0.002,0.002,1334.0,688.0,1.0
"eps[53, 0]",0.049,0.053,-0.045,0.148,0.002,0.001,1034.0,804.0,1.0
"eps_tform[0, 0]",1.276,0.6,0.194,2.334,0.024,0.017,624.0,856.0,1.0
"eps_tform[0, 1]",0.178,0.411,-0.595,0.921,0.015,0.012,761.0,691.0,1.0
"eps_tform[0, 2]",-0.461,0.507,-1.435,0.395,0.02,0.015,622.0,646.0,1.01
"eps_tform[0, 3]",0.548,0.258,0.093,1.028,0.01,0.007,614.0,802.0,1.01
"eps_tform[0, 4]",0.582,0.302,-0.021,1.118,0.011,0.008,769.0,836.0,1.0
"eps_tform[0, 5]",0.089,0.845,-1.532,1.673,0.025,0.027,1134.0,706.0,1.01
"eps_tform[0, 6]",0.18,0.388,-0.496,0.94,0.013,0.01,928.0,795.0,1.0
"eps_tform[0, 7]",-0.142,0.451,-0.989,0.666,0.013,0.012,1261.0,830.0,1.0
"eps_tform[0, 8]",-0.767,0.725,-2.081,0.645,0.019,0.017,1419.0,776.0,1.0
"eps_tform[0, 9]",0.892,0.751,-0.577,2.201,0.024,0.019,979.0,610.0,1.0
"eps_tform[0, 10]",0.721,0.776,-0.734,2.151,0.021,0.017,1391.0,898.0,1.0
"eps_tform[0, 11]",0.468,0.6,-0.703,1.555,0.018,0.015,1128.0,777.0,1.0
"eps_tform[0, 12]",-0.996,0.639,-2.203,0.176,0.02,0.015,1001.0,792.0,1.0
"eps_tform[0, 13]",0.04,0.527,-0.91,1.03,0.018,0.014,852.0,916.0,1.0
"eps_tform[0, 14]",-0.44,0.824,-2.025,1.057,0.025,0.026,1087.0,652.0,1.01
"eps_tform[0, 15]",0.465,0.583,-0.507,1.615,0.019,0.016,940.0,676.0,1.01
"eps_tform[0, 16]",1.009,0.51,0.084,1.924,0.019,0.013,745.0,594.0,1.01
"eps_tform[0, 17]",0.313,0.665,-0.89,1.581,0.02,0.017,1106.0,827.0,1.01
"eps_tform[0, 18]",-1.693,0.583,-2.884,-0.699,0.021,0.015,804.0,794.0,1.0
"eps_tform[0, 19]",0.766,0.349,0.128,1.435,0.011,0.008,1060.0,879.0,1.0
"eps_tform[0, 20]",-1.092,0.448,-1.853,-0.179,0.014,0.01,1037.0,901.0,1.0
"eps_tform[0, 21]",-0.044,0.44,-0.842,0.832,0.016,0.013,737.0,686.0,1.01
"eps_tform[0, 22]",-1.647,0.341,-2.29,-1.032,0.012,0.009,757.0,705.0,1.0
"eps_tform[0, 23]",0.051,0.855,-1.555,1.596,0.02,0.023,1852.0,936.0,1.0
"eps_tform[0, 24]",-0.29,0.364,-0.956,0.388,0.012,0.009,921.0,854.0,1.0
"eps_tform[0, 25]",-0.176,0.504,-1.247,0.66,0.017,0.014,854.0,813.0,1.0
"eps_tform[0, 26]",-1.173,0.667,-2.381,0.05,0.018,0.014,1431.0,717.0,1.01
"eps_tform[0, 27]",0.755,0.51,-0.178,1.739,0.016,0.012,943.0,875.0,1.01
"eps_tform[0, 28]",-0.615,0.467,-1.417,0.273,0.016,0.012,841.0,725.0,1.0
"eps_tform[0, 29]",-0.273,0.491,-1.174,0.61,0.016,0.015,938.0,663.0,1.0
"eps_tform[0, 30]",0.278,0.549,-0.726,1.271,0.016,0.02,1130.0,539.0,1.0
"eps_tform[0, 31]",-0.913,0.439,-1.798,-0.146,0.016,0.012,748.0,640.0,1.0
"eps_tform[0, 32]",0.169,0.9,-1.46,1.904,0.023,0.032,1479.0,729.0,1.0
"eps_tform[0, 33]",0.76,0.561,-0.198,1.887,0.015,0.013,1347.0,824.0,1.0
"eps_tform[0, 34]",-0.268,0.927,-2.018,1.424,0.025,0.03,1458.0,573.0,1.0
"eps_tform[0, 35]",-0.678,0.79,-2.097,0.766,0.018,0.017,1868.0,837.0,1.01
"eps_tform[0, 36]",-0.494,0.438,-1.4,0.212,0.014,0.011,943.0,866.0,1.0
"eps_tform[0, 37]",0.081,0.491,-0.805,1.025,0.014,0.014,1188.0,881.0,1.01
"eps_tform[0, 38]",1.25,0.53,0.213,2.198,0.015,0.011,1215.0,856.0,1.0
"eps_tform[0, 39]",-0.262,0.595,-1.38,0.792,0.02,0.016,886.0,850.0,1.0
"eps_tform[0, 40]",0.636,0.486,-0.289,1.546,0.015,0.011,1009.0,808.0,1.0
"eps_tform[0, 41]",-0.035,1.014,-1.983,1.731,0.025,0.036,1651.0,782.0,1.0
"eps_tform[0, 42]",0.114,0.847,-1.451,1.786,0.02,0.026,1722.0,860.0,1.01
"eps_tform[0, 43]",0.013,0.987,-1.943,1.801,0.024,0.032,1745.0,722.0,1.0
"eps_tform[0, 44]",0.097,1.02,-1.816,1.936,0.021,0.05,2410.0,531.0,1.01
"eps_tform[0, 45]",-0.029,0.837,-1.631,1.572,0.021,0.029,1631.0,737.0,1.01
"eps_tform[0, 46]",0.13,0.632,-1.052,1.309,0.019,0.021,1121.0,692.0,1.0
"eps_tform[0, 47]",0.031,0.783,-1.448,1.419,0.02,0.023,1564.0,866.0,1.0
"eps_tform[0, 48]",-0.086,0.655,-1.331,1.134,0.019,0.021,1195.0,704.0,1.0
"eps_tform[0, 49]",-0.187,0.572,-1.207,0.895,0.017,0.016,1084.0,916.0,1.0
"eps_tform[0, 50]",0.014,0.999,-1.657,1.959,0.022,0.031,1970.0,810.0,1.0
"eps_tform[0, 51]",-0.034,0.976,-1.836,1.829,0.023,0.031,1848.0,776.0,1.01
"eps_tform[0, 52]",0.009,0.987,-1.915,1.73,0.021,0.033,2142.0,726.0,1.0
"eps_tform[0, 53]",-0.017,1.016,-1.975,1.713,0.023,0.04,2027.0,696.0,1.01
theta[0],-0.54,0.147,-0.796,-0.241,0.006,0.004,573.0,671.0,1.01
tmax[0],-0.943,0.214,-1.323,-0.514,0.009,0.007,539.0,482.0,1.01
peak_MJD[0],54534.257,0.219,54533.868,54534.697,0.009,0.007,539.0,482.0,1.01
mu[0],35.297,0.113,35.075,35.496,0.004,0.003,870.0,960.0,1.0
delM[0],-0.002,0.096,-0.192,0.17,0.003,0.002,1115.0,973.0,1.0
