,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.223,0.07,0.094,0.357,0.003,0.002,591.0,485.0,1.0
Ds[0],35.304,0.064,35.189,35.423,0.003,0.002,611.0,712.0,1.0
RV[0],3.728,1.358,1.556,5.988,0.051,0.036,728.0,688.0,1.0
"eps[0, 0]",0.12,0.055,0.023,0.231,0.002,0.001,804.0,863.0,1.0
"eps[1, 0]",0.077,0.093,-0.102,0.255,0.003,0.002,946.0,737.0,1.0
"eps[2, 0]",0.001,0.076,-0.124,0.145,0.003,0.002,691.0,593.0,1.01
"eps[3, 0]",0.121,0.07,-0.014,0.258,0.002,0.002,811.0,636.0,1.0
"eps[4, 0]",0.131,0.065,0.002,0.247,0.002,0.002,723.0,662.0,1.01
"eps[5, 0]",0.061,0.171,-0.264,0.375,0.005,0.005,1024.0,729.0,1.0
"eps[6, 0]",0.04,0.086,-0.124,0.192,0.003,0.002,945.0,881.0,1.0
"eps[7, 0]",-0.001,0.075,-0.14,0.129,0.002,0.002,1149.0,742.0,1.0
"eps[8, 0]",-0.103,0.11,-0.288,0.122,0.003,0.002,1473.0,746.0,1.01
"eps[9, 0]",0.052,0.038,-0.014,0.126,0.001,0.001,778.0,740.0,1.01
"eps[10, 0]",0.056,0.045,-0.029,0.138,0.001,0.001,1040.0,841.0,1.0
"eps[11, 0]",0.024,0.037,-0.038,0.095,0.001,0.001,1013.0,857.0,1.0
"eps[12, 0]",-0.038,0.032,-0.105,0.016,0.001,0.001,762.0,639.0,1.01
"eps[13, 0]",0.009,0.037,-0.059,0.079,0.001,0.001,882.0,828.0,1.0
"eps[14, 0]",-0.069,0.12,-0.292,0.151,0.004,0.003,1020.0,864.0,1.0
"eps[15, 0]",0.07,0.061,-0.041,0.18,0.002,0.002,983.0,652.0,1.0
"eps[16, 0]",0.091,0.045,0.009,0.175,0.002,0.001,734.0,840.0,1.01
"eps[17, 0]",0.05,0.059,-0.059,0.159,0.002,0.002,812.0,610.0,1.01
"eps[18, 0]",-0.096,0.03,-0.152,-0.04,0.001,0.001,613.0,691.0,1.0
"eps[19, 0]",0.042,0.03,-0.012,0.101,0.001,0.001,743.0,656.0,1.0
"eps[20, 0]",-0.112,0.025,-0.16,-0.067,0.001,0.001,840.0,716.0,1.0
"eps[21, 0]",-0.008,0.024,-0.049,0.039,0.001,0.001,618.0,597.0,1.0
"eps[22, 0]",-0.122,0.024,-0.167,-0.078,0.001,0.001,615.0,575.0,1.01
"eps[23, 0]",-0.002,0.119,-0.229,0.201,0.003,0.004,1354.0,746.0,1.0
"eps[24, 0]",-0.016,0.065,-0.14,0.106,0.002,0.002,1054.0,810.0,1.01
"eps[25, 0]",0.042,0.064,-0.07,0.171,0.002,0.002,932.0,764.0,1.0
"eps[26, 0]",-0.091,0.082,-0.236,0.072,0.002,0.002,1180.0,787.0,1.0
"eps[27, 0]",0.031,0.041,-0.045,0.106,0.002,0.001,677.0,665.0,1.01
"eps[28, 0]",0.01,0.039,-0.062,0.087,0.001,0.001,813.0,728.0,1.01
"eps[29, 0]",-0.037,0.025,-0.082,0.008,0.001,0.001,904.0,800.0,1.0
"eps[30, 0]",-0.034,0.019,-0.07,0.002,0.001,0.0,1084.0,915.0,1.0
"eps[31, 0]",-0.117,0.033,-0.172,-0.046,0.001,0.001,746.0,763.0,1.01
"eps[32, 0]",-0.022,0.127,-0.253,0.226,0.003,0.004,1485.0,807.0,1.0
"eps[33, 0]",-0.02,0.079,-0.159,0.132,0.002,0.002,1089.0,943.0,1.0
"eps[34, 0]",-0.056,0.113,-0.292,0.132,0.003,0.003,1603.0,666.0,1.0
"eps[35, 0]",-0.088,0.063,-0.204,0.029,0.002,0.001,1406.0,707.0,1.0
"eps[36, 0]",0.064,0.032,0.007,0.123,0.001,0.001,868.0,811.0,1.0
"eps[37, 0]",0.014,0.037,-0.058,0.078,0.001,0.001,653.0,885.0,1.01
"eps[38, 0]",0.056,0.029,0.006,0.11,0.001,0.001,912.0,726.0,1.01
"eps[39, 0]",-0.017,0.032,-0.077,0.041,0.001,0.001,678.0,533.0,1.01
"eps[40, 0]",-0.025,0.027,-0.077,0.022,0.001,0.001,813.0,751.0,1.01
"eps[41, 0]",0.008,0.107,-0.2,0.204,0.003,0.003,1421.0,656.0,1.0
"eps[42, 0]",-0.062,0.085,-0.212,0.099,0.002,0.002,1454.0,739.0,1.01
"eps[43, 0]",-0.094,0.073,-0.22,0.051,0.002,0.001,2003.0,714.0,1.0
"eps[44, 0]",-0.036,0.059,-0.143,0.078,0.002,0.002,1355.0,713.0,1.01
"eps[45, 0]",-0.021,0.039,-0.093,0.057,0.001,0.001,1432.0,758.0,1.0
"eps[46, 0]",0.109,0.057,-0.01,0.208,0.002,0.001,1218.0,715.0,1.0
"eps[47, 0]",0.011,0.022,-0.028,0.051,0.001,0.001,1125.0,688.0,1.0
"eps[48, 0]",0.025,0.028,-0.028,0.077,0.001,0.001,865.0,724.0,1.0
"eps[49, 0]",0.012,0.029,-0.041,0.066,0.001,0.001,738.0,754.0,1.01
"eps[50, 0]",0.03,0.09,-0.161,0.185,0.003,0.003,1155.0,567.0,1.0
"eps[51, 0]",0.015,0.074,-0.124,0.156,0.002,0.002,1231.0,929.0,1.0
"eps[52, 0]",0.004,0.073,-0.131,0.14,0.002,0.002,1785.0,636.0,1.0
"eps[53, 0]",0.049,0.053,-0.061,0.142,0.001,0.001,1304.0,837.0,1.0
"eps_tform[0, 0]",1.305,0.598,0.253,2.514,0.021,0.015,804.0,863.0,1.0
"eps_tform[0, 1]",0.176,0.431,-0.639,0.962,0.014,0.013,1017.0,768.0,1.0
"eps_tform[0, 2]",-0.46,0.48,-1.336,0.374,0.018,0.013,732.0,741.0,1.0
"eps_tform[0, 3]",0.542,0.247,0.128,1.048,0.009,0.006,819.0,564.0,1.0
"eps_tform[0, 4]",0.597,0.304,-0.018,1.144,0.011,0.008,831.0,641.0,1.01
"eps_tform[0, 5]",0.086,0.798,-1.404,1.557,0.025,0.024,1073.0,621.0,1.0
"eps_tform[0, 6]",0.196,0.405,-0.541,0.931,0.013,0.01,910.0,817.0,1.0
"eps_tform[0, 7]",-0.156,0.449,-0.958,0.682,0.013,0.013,1280.0,694.0,1.0
"eps_tform[0, 8]",-0.767,0.735,-2.07,0.678,0.019,0.014,1533.0,841.0,1.01
"eps_tform[0, 9]",0.925,0.734,-0.447,2.274,0.026,0.02,788.0,708.0,1.01
"eps_tform[0, 10]",0.743,0.78,-0.765,2.111,0.023,0.018,1134.0,878.0,1.0
