,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.012,0.011,0.0,0.032,0.0,0.0,1011.0,638.0,1.01
Ds[0],35.056,0.024,35.007,35.096,0.001,0.001,276.0,571.0,1.01
RV[0],3.778,1.366,1.529,5.995,0.031,0.024,1872.0,637.0,1.0
"eps[0, 0]",-0.004,0.035,-0.066,0.07,0.001,0.001,722.0,822.0,1.0
"eps[1, 0]",0.112,0.061,-0.013,0.218,0.002,0.001,941.0,910.0,1.0
"eps[2, 0]",-0.179,0.05,-0.276,-0.087,0.002,0.001,728.0,712.0,1.0
"eps[3, 0]",0.053,0.04,-0.025,0.125,0.001,0.001,941.0,820.0,1.0
"eps[4, 0]",-0.164,0.039,-0.237,-0.091,0.001,0.001,701.0,808.0,1.01
"eps[5, 0]",-0.223,0.165,-0.517,0.085,0.006,0.004,822.0,723.0,1.0
"eps[6, 0]",0.148,0.069,0.023,0.28,0.002,0.002,929.0,790.0,1.0
"eps[7, 0]",-0.039,0.042,-0.117,0.036,0.002,0.001,743.0,831.0,1.01
"eps[8, 0]",0.221,0.069,0.098,0.353,0.002,0.001,1093.0,839.0,1.0
"eps[9, 0]",-0.019,0.016,-0.049,0.012,0.001,0.001,328.0,500.0,1.0
"eps[10, 0]",-0.043,0.025,-0.088,0.003,0.001,0.001,671.0,657.0,1.0
"eps[11, 0]",0.005,0.021,-0.037,0.046,0.001,0.001,566.0,715.0,1.0
"eps[12, 0]",-0.026,0.019,-0.064,0.007,0.001,0.001,419.0,632.0,1.01
"eps[13, 0]",-0.049,0.023,-0.09,-0.003,0.001,0.001,371.0,540.0,1.0
"eps[14, 0]",-0.146,0.106,-0.359,0.033,0.003,0.003,1057.0,908.0,1.0
"eps[15, 0]",0.044,0.044,-0.034,0.13,0.002,0.001,661.0,523.0,1.01
"eps[16, 0]",-0.007,0.024,-0.057,0.033,0.001,0.001,412.0,552.0,1.0
"eps[17, 0]",0.052,0.057,-0.053,0.162,0.002,0.001,1281.0,647.0,1.0
"eps[18, 0]",-0.085,0.019,-0.119,-0.045,0.001,0.001,534.0,644.0,1.02
"eps[19, 0]",-0.02,0.021,-0.058,0.018,0.001,0.001,864.0,734.0,1.0
"eps[20, 0]",-0.059,0.02,-0.094,-0.018,0.001,0.001,401.0,733.0,1.01
"eps[21, 0]",0.026,0.016,-0.008,0.052,0.001,0.0,587.0,749.0,1.0
"eps[22, 0]",0.022,0.02,-0.017,0.057,0.001,0.001,413.0,664.0,1.01
