,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.261,0.059,0.148,0.363,0.004,0.003,242.0,567.0,1.04
Ds[0],35.697,0.054,35.588,35.789,0.003,0.002,323.0,647.0,1.02
RV[0],2.88,1.109,1.21,5.095,0.078,0.058,216.0,541.0,1.03
"eps[0, 0]",-0.059,0.068,-0.188,0.065,0.003,0.003,416.0,754.0,1.01
"eps[1, 0]",-0.045,0.116,-0.276,0.151,0.005,0.004,499.0,516.0,1.0
"eps[2, 0]",-0.105,0.102,-0.291,0.08,0.007,0.005,206.0,205.0,1.02
"eps[3, 0]",0.316,0.09,0.121,0.464,0.004,0.003,462.0,556.0,1.0
"eps[4, 0]",-0.124,0.105,-0.323,0.058,0.005,0.003,455.0,818.0,1.01
"eps[5, 0]",0.053,0.196,-0.288,0.442,0.008,0.007,574.0,337.0,1.01
"eps[6, 0]",-0.006,0.184,-0.385,0.28,0.009,0.007,392.0,460.0,1.01
"eps[7, 0]",-0.043,0.146,-0.323,0.221,0.005,0.004,712.0,643.0,1.0
"eps[8, 0]",0.061,0.137,-0.193,0.326,0.01,0.007,194.0,159.0,1.03
"eps[9, 0]",0.051,0.035,-0.014,0.118,0.002,0.002,250.0,380.0,1.02
"eps[10, 0]",0.019,0.025,-0.029,0.063,0.001,0.001,283.0,425.0,1.01
"eps[11, 0]",0.089,0.024,0.044,0.131,0.003,0.002,88.0,291.0,1.05
"eps[12, 0]",-0.014,0.028,-0.068,0.037,0.002,0.001,231.0,435.0,1.02
"eps[13, 0]",0.041,0.025,-0.015,0.082,0.001,0.001,352.0,452.0,1.03
"eps[14, 0]",-0.075,0.113,-0.278,0.141,0.006,0.004,412.0,332.0,1.01
"eps[15, 0]",-0.022,0.068,-0.157,0.097,0.003,0.003,400.0,348.0,1.01
"eps[16, 0]",-0.042,0.062,-0.173,0.069,0.003,0.002,562.0,555.0,1.0
"eps[17, 0]",0.011,0.064,-0.101,0.141,0.003,0.002,420.0,485.0,1.01
"eps[18, 0]",-0.058,0.03,-0.115,-0.005,0.002,0.001,202.0,247.0,1.02
"eps[19, 0]",0.048,0.023,0.004,0.091,0.002,0.001,184.0,435.0,1.03
"eps[20, 0]",-0.1,0.02,-0.136,-0.064,0.002,0.002,60.0,497.0,1.06
"eps[21, 0]",-0.035,0.025,-0.08,0.011,0.003,0.002,74.0,296.0,1.06
