,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.261,0.086,0.116,0.408,0.004,0.003,490.0,516.0,1.01
Ds[0],35.694,0.082,35.541,35.831,0.004,0.003,452.0,556.0,1.0
RV[0],2.658,1.247,1.007,5.087,0.063,0.045,405.0,571.0,1.01
"eps[0, 0]",-0.058,0.069,-0.18,0.076,0.003,0.002,754.0,810.0,1.0
"eps[1, 0]",-0.033,0.115,-0.248,0.165,0.004,0.003,882.0,877.0,1.0
"eps[2, 0]",-0.113,0.099,-0.285,0.077,0.005,0.003,422.0,606.0,1.01
"eps[3, 0]",0.308,0.087,0.152,0.47,0.003,0.002,781.0,762.0,1.0
"eps[4, 0]",-0.134,0.097,-0.311,0.054,0.004,0.003,671.0,735.0,1.01
"eps[5, 0]",0.036,0.201,-0.301,0.429,0.007,0.006,919.0,752.0,1.01
"eps[6, 0]",0.002,0.176,-0.313,0.333,0.005,0.005,1183.0,820.0,1.0
"eps[7, 0]",-0.049,0.156,-0.356,0.233,0.005,0.005,1028.0,620.0,1.0
"eps[8, 0]",0.081,0.138,-0.182,0.34,0.004,0.003,1074.0,952.0,1.0
"eps[9, 0]",0.054,0.033,-0.009,0.114,0.002,0.001,422.0,724.0,1.01
"eps[10, 0]",0.023,0.024,-0.021,0.071,0.001,0.001,587.0,820.0,1.01
"eps[11, 0]",0.085,0.025,0.036,0.127,0.001,0.001,694.0,783.0,1.0
"eps[12, 0]",-0.025,0.022,-0.066,0.013,0.001,0.001,567.0,719.0,1.01
"eps[13, 0]",0.039,0.025,-0.01,0.086,0.001,0.001,503.0,729.0,1.0
"eps[14, 0]",-0.064,0.119,-0.308,0.137,0.005,0.003,700.0,750.0,1.01
"eps[15, 0]",-0.013,0.068,-0.14,0.11,0.002,0.002,899.0,810.0,1.0
"eps[16, 0]",-0.031,0.061,-0.142,0.082,0.002,0.002,770.0,695.0,1.0
"eps[17, 0]",0.018,0.065,-0.1,0.135,0.002,0.002,738.0,777.0,1.01
"eps[18, 0]",-0.055,0.026,-0.103,-0.005,0.001,0.001,531.0,842.0,1.01
"eps[19, 0]",0.05,0.023,0.008,0.092,0.001,0.001,567.0,738.0,1.0
"eps[20, 0]",-0.102,0.02,-0.139,-0.063,0.001,0.001,648.0,845.0,1.0
"eps[21, 0]",-0.048,0.019,-0.086,-0.014,0.001,0.001,577.0,542.0,1.0
"eps[22, 0]",-0.106,0.026,-0.155,-0.06,0.001,0.001,522.0,527.0,1.0
"eps[23, 0]",0.022,0.125,-0.214,0.246,0.004,0.004,786.0,691.0,1.0
"eps[24, 0]",-0.051,0.117,-0.259,0.183,0.003,0.003,1462.0,754.0,1.0
"eps[25, 0]",0.022,0.115,-0.183,0.246,0.004,0.003,1041.0,717.0,1.0
"eps[26, 0]",0.037,0.113,-0.191,0.225,0.003,0.004,1136.0,782.0,1.0
"eps[27, 0]",0.018,0.037,-0.053,0.081,0.001,0.001,659.0,788.0,1.0
"eps[28, 0]",-0.037,0.034,-0.106,0.021,0.001,0.001,1062.0,836.0,1.0
"eps[29, 0]",0.032,0.028,-0.019,0.086,0.001,0.001,942.0,789.0,1.01
"eps[30, 0]",-0.051,0.024,-0.098,-0.007,0.001,0.001,596.0,653.0,1.01
"eps[31, 0]",0.056,0.036,-0.006,0.132,0.001,0.001,602.0,715.0,1.0
"eps[32, 0]",0.066,0.128,-0.174,0.31,0.004,0.004,825.0,764.0,1.01
"eps[33, 0]",-0.065,0.073,-0.203,0.073,0.003,0.002,834.0,715.0,1.0
"eps[34, 0]",0.106,0.108,-0.093,0.321,0.003,0.003,1161.0,738.0,1.0
"eps[35, 0]",0.063,0.076,-0.069,0.218,0.002,0.002,1642.0,931.0,1.0
