,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.063,0.053,0.0,0.145,0.023,0.018,7.0,16.0,1.56
Ds[0],37.195,0.061,37.102,37.276,0.025,0.019,7.0,18.0,1.56
RV[0],4.153,1.256,1.755,6.0,0.165,0.117,547.0,509.0,1.33
"eps[0, 0]",-0.09,0.077,-0.26,0.013,0.017,0.012,21.0,761.0,1.13
"eps[1, 0]",0.163,0.149,-0.154,0.407,0.023,0.016,52.0,664.0,1.06
"eps[2, 0]",0.086,0.116,-0.061,0.33,0.031,0.023,15.0,522.0,1.19
"eps[3, 0]",0.549,0.144,0.33,0.894,0.022,0.017,44.0,531.0,1.12
"eps[4, 0]",0.483,0.147,0.201,0.777,0.005,0.003,709.0,822.0,1.35
"eps[5, 0]",-0.013,0.194,-0.34,0.379,0.033,0.024,40.0,789.0,1.16
"eps[6, 0]",0.099,0.174,-0.249,0.394,0.034,0.025,28.0,598.0,1.09
"eps[7, 0]",0.031,0.14,-0.247,0.316,0.004,0.009,827.0,555.0,1.24
"eps[8, 0]",-0.07,0.13,-0.279,0.191,0.023,0.017,34.0,705.0,1.08
"eps[9, 0]",-0.008,0.018,-0.038,0.028,0.002,0.001,107.0,404.0,1.14
"eps[10, 0]",-0.06,0.02,-0.104,-0.023,0.001,0.001,751.0,834.0,1.35
"eps[11, 0]",-0.072,0.026,-0.12,-0.022,0.001,0.001,663.0,710.0,1.26
"eps[12, 0]",-0.071,0.027,-0.133,-0.03,0.004,0.003,45.0,733.0,1.09
"eps[13, 0]",-0.009,0.043,-0.093,0.047,0.012,0.009,14.0,594.0,1.21
"eps[14, 0]",-0.13,0.132,-0.395,0.077,0.024,0.017,31.0,656.0,1.09
"eps[15, 0]",0.009,0.076,-0.154,0.141,0.009,0.007,66.0,724.0,1.14
"eps[16, 0]",-0.046,0.075,-0.211,0.095,0.002,0.005,2021.0,655.0,1.35
"eps[17, 0]",-0.041,0.082,-0.208,0.07,0.021,0.015,15.0,457.0,1.18
"eps[18, 0]",-0.029,0.029,-0.07,0.03,0.007,0.005,16.0,751.0,1.17
"eps[19, 0]",-0.02,0.024,-0.055,0.025,0.007,0.005,13.0,239.0,1.22
"eps[20, 0]",0.025,0.029,-0.036,0.078,0.001,0.001,755.0,766.0,1.28
"eps[21, 0]",0.111,0.032,0.064,0.173,0.007,0.005,20.0,577.0,1.14
"eps[22, 0]",0.219,0.048,0.113,0.287,0.009,0.007,30.0,700.0,1.1
"eps[23, 0]",0.063,0.123,-0.148,0.308,0.018,0.013,52.0,512.0,1.17
"eps[24, 0]",0.202,0.126,-0.068,0.361,0.033,0.024,15.0,585.0,1.19
"eps[25, 0]",0.113,0.124,-0.129,0.352,0.018,0.013,44.0,551.0,1.1
"eps[26, 0]",0.048,0.137,-0.227,0.219,0.038,0.027,15.0,668.0,1.2
"eps[27, 0]",0.014,0.034,-0.052,0.081,0.001,0.004,542.0,469.0,1.29
"eps[28, 0]",-0.08,0.044,-0.152,0.004,0.011,0.008,17.0,767.0,1.16
"eps[29, 0]",-0.062,0.033,-0.11,0.01,0.006,0.005,25.0,605.0,1.18
"eps[30, 0]",-0.048,0.035,-0.129,0.002,0.006,0.005,32.0,670.0,1.09
"eps[31, 0]",0.013,0.055,-0.091,0.115,0.006,0.004,127.0,624.0,1.25
"eps[32, 0]",0.011,0.123,-0.236,0.231,0.012,0.009,122.0,770.0,1.28
"eps[33, 0]",-0.115,0.134,-0.373,0.112,0.032,0.023,19.0,633.0,1.15
"eps[34, 0]",-0.045,0.117,-0.32,0.146,0.003,0.009,1659.0,530.0,1.32
