,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.17,0.044,0.088,0.254,0.002,0.001,588.0,738.0,1.0
Ds[0],32.839,0.046,32.753,32.919,0.002,0.001,657.0,721.0,1.0
RV[0],3.367,1.302,1.389,5.811,0.041,0.029,1003.0,659.0,1.0
"eps[0, 0]",0.041,0.076,-0.089,0.191,0.002,0.002,1264.0,739.0,1.0
"eps[1, 0]",-0.377,0.168,-0.681,-0.06,0.004,0.003,1776.0,697.0,1.0
"eps[2, 0]",0.277,0.107,0.092,0.485,0.003,0.002,1338.0,801.0,1.0
"eps[3, 0]",0.234,0.185,-0.082,0.592,0.004,0.004,1979.0,643.0,1.0
"eps[4, 0]",0.374,0.158,0.069,0.652,0.004,0.003,1290.0,769.0,1.0
"eps[5, 0]",1.109,0.194,0.749,1.472,0.004,0.003,2682.0,788.0,1.01
"eps[6, 0]",-0.347,0.163,-0.669,-0.069,0.004,0.003,1772.0,703.0,1.01
"eps[7, 0]",0.105,0.147,-0.168,0.388,0.003,0.004,2662.0,692.0,1.0
"eps[8, 0]",-0.006,0.131,-0.229,0.255,0.003,0.004,1649.0,770.0,1.0
"eps[9, 0]",0.116,0.04,0.035,0.181,0.001,0.001,1472.0,832.0,1.0
"eps[10, 0]",0.045,0.048,-0.051,0.135,0.001,0.001,2097.0,753.0,1.0
"eps[11, 0]",0.086,0.043,0.015,0.174,0.001,0.001,1252.0,758.0,1.0
"eps[12, 0]",0.057,0.034,-0.004,0.119,0.001,0.001,1200.0,712.0,1.01
"eps[13, 0]",0.029,0.043,-0.054,0.104,0.001,0.001,1190.0,809.0,1.0
"eps[14, 0]",0.024,0.135,-0.238,0.267,0.003,0.004,1576.0,891.0,1.01
"eps[15, 0]",-0.082,0.087,-0.228,0.101,0.002,0.002,2226.0,654.0,1.0
"eps[16, 0]",0.204,0.086,0.049,0.365,0.002,0.002,1803.0,647.0,1.01
"eps[17, 0]",-0.034,0.078,-0.182,0.104,0.002,0.002,1468.0,778.0,1.0
"eps[18, 0]",-0.17,0.033,-0.228,-0.11,0.001,0.001,822.0,752.0,1.0
"eps[19, 0]",-0.047,0.022,-0.09,-0.007,0.001,0.001,959.0,580.0,1.0
"eps[20, 0]",-0.026,0.023,-0.073,0.013,0.001,0.001,1035.0,918.0,1.0
"eps[21, 0]",-0.021,0.021,-0.058,0.021,0.001,0.0,1091.0,848.0,1.0
"eps[22, 0]",-0.036,0.023,-0.08,0.008,0.001,0.001,792.0,782.0,1.0
"eps[23, 0]",-0.89,0.125,-1.129,-0.66,0.003,0.002,1675.0,878.0,1.0
"eps[24, 0]",0.456,0.062,0.334,0.562,0.002,0.001,1034.0,815.0,1.0
"eps[25, 0]",-0.122,0.049,-0.212,-0.033,0.001,0.001,1192.0,870.0,1.01
"eps[26, 0]",0.325,0.065,0.204,0.444,0.002,0.002,811.0,848.0,1.0
"eps[27, 0]",-0.2,0.035,-0.257,-0.137,0.001,0.001,790.0,805.0,1.01
"eps[28, 0]",-0.079,0.027,-0.132,-0.033,0.001,0.001,1008.0,949.0,1.0
"eps[29, 0]",-0.099,0.018,-0.133,-0.066,0.001,0.0,997.0,710.0,1.0
"eps[30, 0]",0.012,0.021,-0.025,0.054,0.001,0.001,892.0,640.0,1.01
"eps[31, 0]",0.059,0.031,0.002,0.118,0.001,0.001,835.0,787.0,1.0
"eps[32, 0]",-0.244,0.086,-0.38,-0.059,0.002,0.002,1580.0,971.0,1.0
"eps[33, 0]",0.275,0.054,0.18,0.379,0.002,0.001,844.0,763.0,1.0
