,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.156,0.052,0.055,0.245,0.002,0.001,825.0,728.0,1.0
Ds[0],32.849,0.053,32.749,32.942,0.002,0.001,739.0,717.0,1.0
RV[0],2.768,1.349,1.004,5.335,0.046,0.033,913.0,748.0,1.0
"eps[0, 0]",0.044,0.079,-0.106,0.193,0.002,0.002,1789.0,629.0,1.0
"eps[1, 0]",-0.375,0.161,-0.699,-0.093,0.005,0.003,1182.0,848.0,1.01
"eps[2, 0]",0.278,0.106,0.095,0.491,0.003,0.002,1418.0,754.0,1.0
"eps[3, 0]",0.232,0.18,-0.112,0.549,0.005,0.004,1460.0,912.0,1.0
"eps[4, 0]",0.373,0.155,0.044,0.634,0.005,0.003,1154.0,909.0,1.0
"eps[5, 0]",1.109,0.202,0.732,1.473,0.005,0.004,1488.0,771.0,1.0
"eps[6, 0]",-0.35,0.158,-0.63,-0.052,0.005,0.003,1212.0,841.0,1.0
"eps[7, 0]",0.106,0.143,-0.158,0.382,0.003,0.003,2050.0,903.0,1.0
"eps[8, 0]",-0.003,0.125,-0.226,0.233,0.003,0.003,1314.0,870.0,1.0
"eps[9, 0]",0.117,0.039,0.042,0.188,0.001,0.001,1233.0,880.0,1.0
"eps[10, 0]",0.047,0.049,-0.047,0.139,0.001,0.001,1387.0,749.0,1.0
"eps[11, 0]",0.087,0.043,0.007,0.169,0.001,0.001,1266.0,761.0,1.0
"eps[12, 0]",0.056,0.035,-0.007,0.118,0.001,0.001,1107.0,839.0,1.01
"eps[13, 0]",0.03,0.044,-0.052,0.115,0.001,0.001,1151.0,782.0,1.0
"eps[14, 0]",0.03,0.133,-0.225,0.268,0.004,0.005,1380.0,684.0,1.01
"eps[15, 0]",-0.085,0.084,-0.238,0.076,0.002,0.002,1770.0,783.0,1.01
"eps[16, 0]",0.201,0.08,0.05,0.352,0.002,0.002,1636.0,899.0,1.0
"eps[17, 0]",-0.033,0.075,-0.155,0.125,0.002,0.002,1567.0,788.0,1.0
"eps[18, 0]",-0.168,0.03,-0.229,-0.114,0.001,0.001,696.0,751.0,1.01
"eps[19, 0]",-0.045,0.023,-0.087,-0.004,0.001,0.001,952.0,799.0,1.0
"eps[20, 0]",-0.025,0.023,-0.067,0.018,0.001,0.001,988.0,735.0,1.0
"eps[21, 0]",-0.025,0.016,-0.055,0.006,0.001,0.0,923.0,718.0,1.0
"eps[22, 0]",-0.037,0.024,-0.079,0.006,0.001,0.001,800.0,877.0,1.0
"eps[23, 0]",-0.893,0.129,-1.112,-0.638,0.004,0.003,1261.0,900.0,1.0
"eps[24, 0]",0.459,0.062,0.344,0.575,0.002,0.001,928.0,918.0,1.0
"eps[25, 0]",-0.121,0.048,-0.212,-0.034,0.001,0.001,1307.0,949.0,1.0
"eps[26, 0]",0.325,0.061,0.218,0.443,0.002,0.001,841.0,953.0,1.0
"eps[27, 0]",-0.2,0.033,-0.252,-0.13,0.001,0.001,650.0,744.0,1.01
"eps[28, 0]",-0.078,0.027,-0.126,-0.027,0.001,0.001,956.0,955.0,1.0
"eps[29, 0]",-0.097,0.018,-0.132,-0.065,0.001,0.0,863.0,873.0,1.0
"eps[30, 0]",0.008,0.016,-0.022,0.038,0.001,0.0,871.0,606.0,1.0
"eps[31, 0]",0.058,0.03,-0.001,0.109,0.001,0.001,762.0,870.0,1.0
"eps[32, 0]",-0.246,0.087,-0.414,-0.09,0.002,0.001,2531.0,882.0,1.01
"eps[33, 0]",0.28,0.053,0.18,0.376,0.002,0.001,777.0,673.0,1.0
"eps[34, 0]",0.034,0.043,-0.042,0.118,0.002,0.001,722.0,674.0,1.0
"eps[35, 0]",0.052,0.04,-0.029,0.118,0.001,0.001,723.0,752.0,1.0
"eps[36, 0]",-0.058,0.033,-0.114,0.008,0.001,0.001,1062.0,902.0,1.0
"eps[37, 0]",0.032,0.039,-0.041,0.104,0.001,0.001,1021.0,713.0,1.0
"eps[38, 0]",-0.035,0.022,-0.077,0.003,0.001,0.001,1106.0,674.0,1.0
"eps[39, 0]",-0.197,0.021,-0.235,-0.158,0.001,0.0,1066.0,875.0,1.01
"eps[40, 0]",-0.101,0.023,-0.142,-0.059,0.001,0.001,929.0,728.0,1.0
