,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.013,0.011,0.0,0.035,0.0,0.0,916.0,766.0,1.0
Ds[0],36.529,0.028,36.48,36.582,0.001,0.001,349.0,560.0,1.0
RV[0],3.545,1.428,1.346,5.996,0.036,0.027,1433.0,597.0,1.02
"eps[0, 0]",-0.17,0.08,-0.313,-0.015,0.003,0.002,593.0,714.0,1.01
"eps[1, 0]",-0.474,0.119,-0.714,-0.285,0.004,0.003,924.0,793.0,1.0
"eps[2, 0]",-0.205,0.101,-0.38,-0.016,0.004,0.003,606.0,581.0,1.0
"eps[3, 0]",-0.128,0.105,-0.339,0.06,0.003,0.003,1047.0,736.0,1.0
"eps[4, 0]",-0.281,0.125,-0.508,-0.041,0.004,0.003,1035.0,651.0,1.0
"eps[5, 0]",-0.232,0.188,-0.58,0.118,0.005,0.004,1512.0,864.0,1.0
"eps[6, 0]",0.038,0.179,-0.299,0.362,0.005,0.005,1416.0,759.0,1.0
"eps[7, 0]",-0.035,0.152,-0.326,0.242,0.004,0.004,1413.0,850.0,1.01
"eps[8, 0]",0.165,0.136,-0.073,0.415,0.004,0.004,954.0,744.0,1.01
"eps[9, 0]",-0.004,0.016,-0.032,0.029,0.001,0.001,377.0,537.0,1.02
"eps[10, 0]",-0.124,0.022,-0.164,-0.082,0.001,0.001,368.0,739.0,1.01
"eps[11, 0]",-0.051,0.024,-0.093,-0.005,0.001,0.001,652.0,654.0,1.01
"eps[12, 0]",-0.132,0.026,-0.176,-0.08,0.001,0.001,354.0,616.0,1.01
"eps[13, 0]",0.052,0.028,0.0,0.102,0.001,0.001,566.0,650.0,1.01
"eps[14, 0]",0.178,0.095,0.016,0.359,0.003,0.002,840.0,796.0,1.0
"eps[15, 0]",0.25,0.064,0.142,0.381,0.002,0.002,925.0,621.0,1.0
"eps[16, 0]",0.129,0.058,0.026,0.241,0.002,0.001,1140.0,876.0,1.0
"eps[17, 0]",-0.039,0.051,-0.13,0.056,0.002,0.001,915.0,760.0,1.0
"eps[18, 0]",0.023,0.027,-0.03,0.071,0.001,0.001,471.0,632.0,1.01
"eps[19, 0]",-0.056,0.034,-0.117,0.007,0.001,0.001,871.0,904.0,1.0
"eps[20, 0]",0.039,0.035,-0.021,0.105,0.001,0.001,672.0,754.0,1.01
"eps[21, 0]",0.054,0.033,-0.015,0.109,0.001,0.001,721.0,757.0,1.0
"eps[22, 0]",0.048,0.039,-0.022,0.126,0.001,0.001,717.0,925.0,1.0
"eps[23, 0]",-0.007,0.116,-0.216,0.195,0.003,0.004,1105.0,790.0,1.0
"eps[24, 0]",0.398,0.078,0.24,0.533,0.003,0.002,751.0,723.0,1.0
"eps[25, 0]",0.128,0.117,-0.091,0.355,0.004,0.003,986.0,735.0,1.0
"eps[26, 0]",0.227,0.059,0.121,0.339,0.002,0.001,1017.0,809.0,1.0
"eps[27, 0]",0.029,0.041,-0.05,0.1,0.002,0.001,445.0,611.0,1.01
"eps[28, 0]",-0.026,0.038,-0.097,0.048,0.001,0.001,649.0,819.0,1.0
"eps[29, 0]",0.013,0.028,-0.041,0.06,0.001,0.001,1085.0,894.0,1.01
"eps[30, 0]",0.037,0.028,-0.009,0.092,0.001,0.001,1049.0,928.0,1.0
"eps[31, 0]",0.106,0.048,0.018,0.192,0.002,0.002,407.0,612.0,1.01
"eps[32, 0]",0.248,0.124,0.028,0.477,0.004,0.003,1074.0,976.0,1.0
"eps[33, 0]",0.104,0.099,-0.078,0.288,0.003,0.002,964.0,894.0,1.0
"eps[34, 0]",0.199,0.119,-0.034,0.421,0.003,0.002,1577.0,901.0,1.0
"eps[35, 0]",0.133,0.078,-0.016,0.28,0.002,0.002,1270.0,798.0,1.0
"eps[36, 0]",-0.053,0.028,-0.106,-0.002,0.001,0.001,528.0,802.0,1.0
"eps[37, 0]",-0.132,0.032,-0.195,-0.076,0.001,0.001,655.0,823.0,1.0
"eps[38, 0]",0.058,0.034,-0.002,0.125,0.001,0.001,755.0,854.0,1.0
"eps[39, 0]",-0.021,0.028,-0.076,0.028,0.001,0.001,803.0,851.0,1.0
"eps[40, 0]",0.226,0.027,0.178,0.278,0.001,0.001,970.0,879.0,1.0
"eps[41, 0]",0.215,0.102,0.021,0.412,0.003,0.002,1173.0,868.0,1.01
"eps[42, 0]",0.386,0.061,0.269,0.495,0.002,0.001,1180.0,931.0,1.0
"eps[43, 0]",0.184,0.088,0.002,0.332,0.002,0.002,1299.0,930.0,1.0
"eps[44, 0]",0.115,0.057,0.013,0.223,0.001,0.001,1640.0,764.0,1.0
"eps[45, 0]",0.003,0.049,-0.096,0.092,0.001,0.001,1438.0,817.0,1.0
"eps[46, 0]",0.052,0.091,-0.1,0.232,0.003,0.002,1322.0,574.0,1.0
"eps[47, 0]",-0.061,0.028,-0.116,-0.013,0.001,0.001,1531.0,834.0,1.0
"eps[48, 0]",-0.173,0.057,-0.276,-0.071,0.001,0.001,1466.0,1006.0,1.0
"eps[49, 0]",-0.102,0.061,-0.221,0.011,0.002,0.001,1342.0,877.0,1.01
"eps[50, 0]",-0.188,0.09,-0.357,-0.028,0.002,0.002,1361.0,783.0,1.0
"eps[51, 0]",0.17,0.082,0.015,0.319,0.002,0.002,1221.0,830.0,1.0
