,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.015,0.015,0.0,0.042,0.0,0.0,1010.0,684.0,1.0
Ds[0],36.522,0.028,36.468,36.57,0.001,0.001,571.0,683.0,1.0
RV[0],3.795,1.387,1.519,5.998,0.033,0.023,1902.0,582.0,1.01
"eps[0, 0]",-0.167,0.077,-0.309,-0.02,0.003,0.002,919.0,899.0,1.0
"eps[1, 0]",-0.471,0.116,-0.675,-0.262,0.003,0.002,1178.0,748.0,1.0
"eps[2, 0]",-0.203,0.104,-0.409,-0.026,0.003,0.002,899.0,832.0,1.01
"eps[3, 0]",-0.123,0.108,-0.327,0.073,0.003,0.002,1130.0,789.0,1.0
"eps[4, 0]",-0.285,0.117,-0.514,-0.089,0.003,0.003,1138.0,898.0,1.01
"eps[5, 0]",-0.233,0.171,-0.52,0.11,0.005,0.004,1193.0,951.0,1.0
"eps[6, 0]",0.03,0.177,-0.274,0.365,0.005,0.005,1214.0,651.0,1.0
"eps[7, 0]",-0.031,0.158,-0.323,0.268,0.004,0.005,1607.0,879.0,1.01
"eps[8, 0]",0.164,0.138,-0.104,0.404,0.004,0.003,1085.0,587.0,1.0
"eps[9, 0]",0.002,0.016,-0.029,0.031,0.001,0.0,581.0,654.0,1.01
"eps[10, 0]",-0.12,0.022,-0.163,-0.083,0.001,0.001,580.0,689.0,1.01
"eps[11, 0]",-0.049,0.024,-0.093,-0.006,0.001,0.001,806.0,786.0,1.0
"eps[12, 0]",-0.133,0.025,-0.18,-0.087,0.001,0.001,592.0,616.0,1.01
"eps[13, 0]",0.053,0.028,0.002,0.104,0.001,0.001,704.0,789.0,1.0
"eps[14, 0]",0.181,0.094,0.01,0.359,0.003,0.002,883.0,778.0,1.0
"eps[15, 0]",0.248,0.062,0.132,0.365,0.002,0.002,910.0,690.0,1.0
"eps[16, 0]",0.134,0.055,0.037,0.245,0.002,0.001,1271.0,871.0,1.0
"eps[17, 0]",-0.037,0.051,-0.133,0.056,0.001,0.001,1291.0,804.0,1.0
"eps[18, 0]",0.026,0.028,-0.025,0.079,0.001,0.001,587.0,623.0,1.01
"eps[19, 0]",-0.053,0.033,-0.111,0.005,0.001,0.001,692.0,666.0,1.01
"eps[20, 0]",0.04,0.034,-0.022,0.107,0.001,0.001,899.0,832.0,1.0
"eps[21, 0]",0.051,0.033,-0.01,0.115,0.001,0.001,798.0,674.0,1.0
