,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.05,0.033,0.0,0.105,0.001,0.001,688.0,668.0,1.01
Ds[0],34.559,0.047,34.466,34.638,0.002,0.002,449.0,570.0,1.0
RV[0],3.668,1.394,1.358,5.929,0.033,0.023,1716.0,502.0,1.0
"eps[0, 0]",-0.055,0.074,-0.196,0.074,0.002,0.002,958.0,711.0,1.0
"eps[1, 0]",0.288,0.174,-0.034,0.611,0.006,0.004,942.0,756.0,1.0
"eps[2, 0]",0.171,0.115,-0.035,0.38,0.004,0.003,932.0,779.0,1.0
"eps[3, 0]",0.453,0.19,0.114,0.794,0.006,0.004,1049.0,770.0,1.01
"eps[4, 0]",0.372,0.176,0.061,0.711,0.006,0.004,921.0,645.0,1.0
"eps[5, 0]",-0.014,0.207,-0.396,0.362,0.006,0.006,1169.0,880.0,1.0
"eps[6, 0]",0.045,0.162,-0.252,0.343,0.005,0.005,991.0,538.0,1.0
"eps[7, 0]",0.085,0.148,-0.198,0.354,0.005,0.004,927.0,587.0,1.01
"eps[8, 0]",-0.028,0.131,-0.285,0.193,0.004,0.004,1048.0,837.0,1.0
"eps[9, 0]",0.02,0.045,-0.065,0.111,0.001,0.001,1131.0,647.0,1.0
"eps[10, 0]",0.021,0.051,-0.079,0.109,0.001,0.001,1209.0,696.0,1.0
"eps[11, 0]",-0.037,0.045,-0.126,0.042,0.002,0.001,896.0,723.0,1.0
"eps[12, 0]",-0.028,0.037,-0.105,0.034,0.001,0.001,976.0,724.0,1.01
"eps[13, 0]",0.017,0.049,-0.082,0.102,0.002,0.001,858.0,701.0,1.0
"eps[14, 0]",-0.075,0.145,-0.331,0.24,0.005,0.005,1010.0,551.0,1.0
"eps[15, 0]",-0.066,0.088,-0.24,0.087,0.003,0.002,1222.0,791.0,1.0
"eps[16, 0]",0.093,0.081,-0.046,0.248,0.002,0.002,1284.0,765.0,1.0
"eps[17, 0]",-0.12,0.078,-0.265,0.028,0.002,0.002,1124.0,507.0,1.0
"eps[18, 0]",0.132,0.036,0.066,0.201,0.001,0.001,614.0,499.0,1.0
"eps[19, 0]",0.265,0.045,0.183,0.351,0.001,0.001,1137.0,586.0,1.01
"eps[20, 0]",-0.008,0.036,-0.075,0.055,0.001,0.001,1006.0,863.0,1.0
"eps[21, 0]",0.055,0.027,0.003,0.104,0.001,0.001,798.0,750.0,1.0
"eps[22, 0]",-0.038,0.035,-0.103,0.026,0.001,0.001,893.0,797.0,1.0
"eps[23, 0]",0.198,0.126,-0.026,0.428,0.004,0.003,905.0,694.0,1.0
"eps[24, 0]",-0.041,0.055,-0.147,0.052,0.002,0.002,701.0,813.0,1.0
"eps[25, 0]",-0.136,0.065,-0.261,-0.019,0.003,0.002,697.0,530.0,1.01
"eps[26, 0]",-0.031,0.059,-0.148,0.071,0.002,0.002,952.0,953.0,1.01
"eps[27, 0]",0.123,0.034,0.061,0.188,0.001,0.001,581.0,527.0,1.0
"eps[28, 0]",0.154,0.032,0.099,0.214,0.001,0.001,650.0,602.0,1.0
"eps[29, 0]",-0.116,0.019,-0.154,-0.083,0.001,0.0,822.0,647.0,1.0
"eps[30, 0]",-0.101,0.021,-0.142,-0.063,0.001,0.001,579.0,596.0,1.0
"eps[31, 0]",-0.135,0.04,-0.21,-0.059,0.002,0.001,482.0,532.0,1.0
"eps[32, 0]",-0.044,0.113,-0.249,0.164,0.004,0.003,820.0,497.0,1.01
"eps[33, 0]",-0.138,0.064,-0.263,-0.024,0.003,0.002,474.0,729.0,1.0
"eps[34, 0]",-0.009,0.054,-0.106,0.096,0.003,0.002,456.0,445.0,1.0
"eps[35, 0]",0.065,0.035,0.002,0.128,0.001,0.001,591.0,438.0,1.0
"eps[36, 0]",0.0,0.027,-0.049,0.051,0.001,0.001,711.0,808.0,1.0
"eps[37, 0]",0.162,0.028,0.106,0.207,0.001,0.001,599.0,697.0,1.0
"eps[38, 0]",-0.117,0.021,-0.155,-0.078,0.001,0.001,803.0,618.0,1.0
"eps[39, 0]",-0.079,0.024,-0.121,-0.033,0.001,0.001,566.0,622.0,1.0
"eps[40, 0]",-0.098,0.019,-0.132,-0.061,0.001,0.0,834.0,716.0,1.0
"eps[41, 0]",-0.112,0.13,-0.336,0.125,0.004,0.003,913.0,584.0,1.01
"eps[42, 0]",-0.044,0.05,-0.133,0.045,0.002,0.001,637.0,707.0,1.0
"eps[43, 0]",-0.003,0.044,-0.089,0.074,0.002,0.001,604.0,694.0,1.01
"eps[44, 0]",0.021,0.036,-0.043,0.09,0.002,0.001,570.0,665.0,1.01
"eps[45, 0]",-0.139,0.038,-0.213,-0.068,0.001,0.001,830.0,684.0,1.0
"eps[46, 0]",0.183,0.061,0.081,0.302,0.002,0.001,1103.0,628.0,1.0
"eps[47, 0]",-0.051,0.024,-0.096,-0.006,0.001,0.001,1159.0,792.0,1.0
"eps[48, 0]",-0.114,0.031,-0.171,-0.056,0.001,0.001,887.0,683.0,1.0
"eps[49, 0]",0.066,0.031,0.006,0.121,0.001,0.001,630.0,618.0,1.01
"eps[50, 0]",-0.036,0.115,-0.249,0.175,0.004,0.004,894.0,715.0,1.01
"eps[51, 0]",0.151,0.054,0.052,0.253,0.002,0.001,760.0,741.0,1.0
"eps[52, 0]",0.105,0.047,0.023,0.193,0.001,0.001,1037.0,819.0,1.0
"eps[53, 0]",-0.057,0.036,-0.129,0.006,0.001,0.001,858.0,880.0,1.0
"eps_tform[0, 0]",-0.602,0.8,-2.129,0.803,0.026,0.022,958.0,711.0,1.0
"eps_tform[0, 1]",1.44,0.832,-0.127,2.957,0.027,0.02,942.0,630.0,1.01
