,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.05,0.033,0.0,0.106,0.001,0.001,594.0,580.0,1.0
Ds[0],34.565,0.046,34.474,34.642,0.002,0.001,499.0,562.0,1.0
RV[0],3.769,1.385,1.455,5.919,0.036,0.026,1250.0,787.0,1.01
"eps[0, 0]",-0.055,0.074,-0.186,0.087,0.002,0.002,1029.0,819.0,1.0
"eps[1, 0]",0.282,0.169,-0.063,0.576,0.006,0.004,872.0,771.0,1.0
"eps[2, 0]",0.173,0.111,-0.043,0.382,0.004,0.003,963.0,654.0,1.0
"eps[3, 0]",0.455,0.186,0.109,0.786,0.006,0.004,1113.0,743.0,1.0
"eps[4, 0]",0.382,0.177,0.041,0.714,0.006,0.004,953.0,589.0,1.0
"eps[5, 0]",-0.009,0.205,-0.397,0.356,0.006,0.006,1389.0,789.0,1.0
"eps[6, 0]",0.045,0.167,-0.27,0.371,0.005,0.005,940.0,636.0,1.0
"eps[7, 0]",0.087,0.143,-0.19,0.338,0.005,0.004,996.0,821.0,1.01
"eps[8, 0]",-0.025,0.135,-0.269,0.218,0.005,0.004,815.0,708.0,1.0
"eps[9, 0]",0.023,0.044,-0.058,0.109,0.001,0.001,1065.0,792.0,1.0
"eps[10, 0]",0.021,0.052,-0.08,0.117,0.002,0.001,1154.0,780.0,1.0
"eps[11, 0]",-0.037,0.045,-0.114,0.049,0.002,0.001,779.0,691.0,1.0
"eps[12, 0]",-0.029,0.038,-0.1,0.039,0.001,0.001,889.0,727.0,1.0
"eps[13, 0]",0.019,0.049,-0.07,0.11,0.002,0.001,656.0,647.0,1.01
"eps[14, 0]",-0.081,0.143,-0.355,0.188,0.004,0.004,1322.0,876.0,1.0
"eps[15, 0]",-0.061,0.086,-0.229,0.088,0.003,0.002,1126.0,787.0,1.01
"eps[16, 0]",0.092,0.086,-0.064,0.256,0.002,0.002,1237.0,689.0,1.0
"eps[17, 0]",-0.121,0.077,-0.259,0.031,0.002,0.002,951.0,873.0,1.0
"eps[18, 0]",0.134,0.035,0.069,0.199,0.002,0.001,441.0,406.0,1.0
"eps[19, 0]",0.265,0.045,0.183,0.351,0.001,0.001,1135.0,538.0,1.0
"eps[20, 0]",-0.009,0.036,-0.082,0.051,0.001,0.001,1072.0,728.0,1.0
"eps[21, 0]",0.054,0.026,0.007,0.106,0.001,0.001,1144.0,849.0,1.0
"eps[22, 0]",-0.037,0.035,-0.109,0.022,0.001,0.001,815.0,746.0,1.0
"eps[23, 0]",0.199,0.124,-0.015,0.451,0.004,0.003,1193.0,820.0,1.0
"eps[24, 0]",-0.037,0.055,-0.143,0.068,0.002,0.001,809.0,775.0,1.0
"eps[25, 0]",-0.136,0.063,-0.258,-0.021,0.003,0.002,583.0,541.0,1.0
"eps[26, 0]",-0.034,0.057,-0.134,0.084,0.002,0.002,1022.0,638.0,1.0
"eps[27, 0]",0.124,0.035,0.058,0.187,0.001,0.001,569.0,642.0,1.0
"eps[28, 0]",0.155,0.031,0.097,0.211,0.001,0.001,609.0,480.0,1.0
