,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.169,0.05,0.069,0.248,0.002,0.002,401.0,529.0,1.0
Ds[0],34.548,0.05,34.459,34.644,0.003,0.002,373.0,568.0,1.0
RV[0],3.214,1.363,1.029,5.56,0.053,0.037,698.0,634.0,1.0
"eps[0, 0]",0.142,0.075,0.005,0.294,0.002,0.002,1027.0,524.0,1.0
"eps[1, 0]",0.096,0.148,-0.183,0.359,0.004,0.004,1149.0,803.0,1.0
"eps[2, 0]",0.428,0.1,0.25,0.625,0.003,0.002,943.0,679.0,1.01
"eps[3, 0]",0.498,0.146,0.224,0.76,0.005,0.003,947.0,661.0,1.01
"eps[4, 0]",0.429,0.133,0.185,0.676,0.004,0.003,952.0,760.0,1.0
"eps[5, 0]",0.592,0.195,0.241,0.947,0.005,0.004,1434.0,873.0,1.0
"eps[6, 0]",-0.46,0.159,-0.777,-0.193,0.005,0.003,1128.0,621.0,1.01
"eps[7, 0]",0.196,0.14,-0.054,0.473,0.004,0.003,1190.0,681.0,1.0
"eps[8, 0]",0.073,0.131,-0.209,0.288,0.004,0.003,1232.0,756.0,1.0
"eps[9, 0]",0.031,0.028,-0.021,0.085,0.001,0.001,744.0,773.0,1.01
"eps[10, 0]",0.051,0.029,-0.005,0.102,0.001,0.001,1027.0,823.0,1.0
"eps[11, 0]",0.088,0.024,0.044,0.135,0.001,0.001,793.0,689.0,1.01
"eps[12, 0]",0.062,0.02,0.026,0.099,0.001,0.001,769.0,744.0,1.0
"eps[13, 0]",-0.007,0.022,-0.047,0.034,0.001,0.001,491.0,647.0,1.0
"eps[14, 0]",0.013,0.138,-0.261,0.253,0.004,0.004,1187.0,735.0,1.0
"eps[15, 0]",-0.138,0.047,-0.235,-0.061,0.002,0.001,695.0,666.0,1.0
"eps[16, 0]",-0.165,0.039,-0.242,-0.099,0.002,0.001,640.0,636.0,1.0
"eps[17, 0]",-0.071,0.04,-0.148,-0.001,0.002,0.001,530.0,710.0,1.0
"eps[18, 0]",-0.034,0.03,-0.088,0.021,0.001,0.001,772.0,772.0,1.0
"eps[19, 0]",0.027,0.026,-0.022,0.073,0.001,0.001,776.0,654.0,1.01
