,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.194,0.036,1.127,1.262,0.002,0.001,343.0,342.0,1.0
Ds[0],31.58,0.035,31.517,31.641,0.002,0.001,342.0,478.0,1.0
RV[0],2.794,0.206,2.451,3.187,0.011,0.008,360.0,392.0,1.0
"eps[0, 0]",0.513,0.048,0.424,0.601,0.002,0.001,732.0,644.0,1.0
"eps[1, 0]",0.748,0.094,0.569,0.915,0.003,0.002,761.0,721.0,1.01
"eps[2, 0]",0.249,0.046,0.16,0.334,0.002,0.001,834.0,752.0,1.0
"eps[3, 0]",0.241,0.041,0.168,0.322,0.001,0.001,910.0,760.0,1.01
"eps[4, 0]",0.082,0.048,-0.01,0.17,0.002,0.001,794.0,749.0,1.0
"eps[5, 0]",-0.201,0.169,-0.524,0.106,0.006,0.005,721.0,704.0,1.0
"eps[6, 0]",0.544,0.045,0.455,0.623,0.001,0.001,1003.0,926.0,1.0
"eps[7, 0]",0.076,0.035,0.012,0.144,0.002,0.001,516.0,680.0,1.01
"eps[8, 0]",0.753,0.06,0.644,0.861,0.002,0.001,944.0,729.0,1.0
"eps[9, 0]",0.118,0.032,0.062,0.183,0.001,0.001,534.0,812.0,1.0
"eps[10, 0]",0.134,0.023,0.095,0.178,0.001,0.001,706.0,674.0,1.0
"eps[11, 0]",-0.016,0.017,-0.045,0.017,0.001,0.001,468.0,455.0,1.01
"eps[12, 0]",0.197,0.021,0.162,0.24,0.001,0.001,314.0,451.0,1.01
"eps[13, 0]",-0.175,0.018,-0.209,-0.142,0.001,0.001,284.0,486.0,1.01
"eps[14, 0]",-0.23,0.09,-0.406,-0.077,0.003,0.002,682.0,720.0,1.01
"eps[15, 0]",-0.124,0.025,-0.171,-0.076,0.001,0.001,317.0,678.0,1.0
"eps[16, 0]",0.059,0.023,0.015,0.101,0.001,0.001,345.0,449.0,1.01
"eps[17, 0]",0.085,0.029,0.034,0.139,0.002,0.001,342.0,497.0,1.0
"eps[18, 0]",-0.262,0.027,-0.308,-0.209,0.001,0.001,518.0,485.0,1.01
"eps[19, 0]",0.153,0.028,0.102,0.202,0.001,0.001,900.0,851.0,1.0
"eps[20, 0]",-0.313,0.017,-0.348,-0.283,0.001,0.001,431.0,649.0,1.0
"eps[21, 0]",-0.094,0.021,-0.134,-0.056,0.001,0.001,346.0,530.0,1.0
"eps[22, 0]",-0.312,0.019,-0.345,-0.275,0.001,0.001,347.0,583.0,1.0
"eps[23, 0]",0.015,0.133,-0.226,0.262,0.005,0.004,729.0,749.0,1.0
"eps[24, 0]",0.044,0.033,-0.012,0.107,0.001,0.001,503.0,514.0,1.0
"eps[25, 0]",-0.298,0.022,-0.339,-0.257,0.001,0.001,423.0,508.0,1.0
"eps[26, 0]",0.199,0.029,0.146,0.251,0.001,0.001,367.0,426.0,1.0
"eps[27, 0]",-0.299,0.03,-0.356,-0.246,0.001,0.001,477.0,603.0,1.01
"eps[28, 0]",-0.176,0.02,-0.213,-0.134,0.001,0.0,848.0,845.0,1.01
"eps[29, 0]",-0.159,0.015,-0.184,-0.127,0.001,0.001,397.0,460.0,1.0
"eps[30, 0]",0.112,0.02,0.073,0.146,0.001,0.001,297.0,434.0,1.01
"eps[31, 0]",0.044,0.02,0.009,0.082,0.001,0.001,300.0,445.0,1.01
"eps[32, 0]",1.043,0.08,0.883,1.184,0.002,0.002,1068.0,736.0,1.0
"eps[33, 0]",0.155,0.036,0.092,0.226,0.002,0.001,331.0,530.0,1.0
"eps[34, 0]",0.391,0.033,0.333,0.453,0.002,0.001,410.0,598.0,1.0
"eps[35, 0]",0.238,0.029,0.188,0.288,0.002,0.001,325.0,534.0,1.0
"eps[36, 0]",-0.155,0.029,-0.209,-0.103,0.001,0.001,527.0,694.0,1.01
"eps[37, 0]",-0.072,0.024,-0.113,-0.021,0.001,0.001,707.0,866.0,1.0
"eps[38, 0]",-0.193,0.017,-0.224,-0.162,0.001,0.001,405.0,493.0,1.01
"eps[39, 0]",-0.014,0.026,-0.061,0.035,0.001,0.001,427.0,532.0,1.0
"eps[40, 0]",-0.106,0.019,-0.141,-0.072,0.001,0.001,394.0,637.0,1.0
"eps[41, 0]",0.115,0.097,-0.081,0.272,0.003,0.002,1005.0,808.0,1.0
"eps[42, 0]",0.275,0.021,0.235,0.315,0.001,0.001,566.0,721.0,1.0
"eps[43, 0]",0.283,0.024,0.237,0.325,0.001,0.001,406.0,694.0,1.01
"eps[44, 0]",0.096,0.03,0.044,0.157,0.001,0.001,486.0,554.0,1.0
"eps[45, 0]",0.244,0.028,0.195,0.299,0.001,0.001,653.0,811.0,1.01
