,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.99,0.079,0.854,1.137,0.006,0.004,205.0,381.0,1.02
Ds[0],31.756,0.073,31.617,31.885,0.005,0.003,240.0,408.0,1.02
RV[0],2.02,0.251,1.576,2.501,0.017,0.012,202.0,403.0,1.02
"eps[0, 0]",0.512,0.046,0.42,0.596,0.002,0.001,689.0,577.0,1.01
"eps[1, 0]",0.756,0.099,0.575,0.947,0.003,0.002,864.0,574.0,1.0
"eps[2, 0]",0.263,0.048,0.167,0.35,0.002,0.001,770.0,705.0,1.0
"eps[3, 0]",0.212,0.04,0.145,0.29,0.002,0.001,603.0,620.0,1.0
"eps[4, 0]",0.088,0.048,-0.006,0.171,0.002,0.001,648.0,708.0,1.0
"eps[5, 0]",-0.204,0.17,-0.54,0.093,0.007,0.005,666.0,676.0,1.01
"eps[6, 0]",0.592,0.048,0.506,0.684,0.002,0.001,650.0,812.0,1.0
"eps[7, 0]",0.086,0.033,0.026,0.152,0.001,0.001,535.0,727.0,1.01
"eps[8, 0]",0.725,0.06,0.613,0.839,0.003,0.002,528.0,468.0,1.01
"eps[9, 0]",0.107,0.031,0.046,0.158,0.002,0.001,283.0,486.0,1.01
"eps[10, 0]",0.146,0.023,0.104,0.189,0.001,0.001,269.0,676.0,1.02
"eps[11, 0]",-0.002,0.018,-0.035,0.031,0.001,0.001,228.0,395.0,1.01
"eps[12, 0]",0.172,0.017,0.142,0.204,0.001,0.001,166.0,245.0,1.02
"eps[13, 0]",-0.17,0.021,-0.21,-0.132,0.002,0.001,190.0,229.0,1.02
"eps[14, 0]",-0.193,0.086,-0.344,-0.025,0.004,0.003,599.0,763.0,1.0
"eps[15, 0]",-0.086,0.024,-0.13,-0.039,0.001,0.001,289.0,396.0,1.01
"eps[16, 0]",0.066,0.02,0.03,0.106,0.001,0.001,296.0,485.0,1.01
"eps[17, 0]",0.048,0.035,-0.019,0.112,0.002,0.002,273.0,482.0,1.01
"eps[18, 0]",-0.265,0.026,-0.307,-0.214,0.001,0.001,296.0,392.0,1.01
"eps[19, 0]",0.161,0.028,0.113,0.216,0.001,0.001,628.0,563.0,1.01
"eps[20, 0]",-0.296,0.018,-0.33,-0.264,0.001,0.001,224.0,517.0,1.02
"eps[21, 0]",-0.123,0.016,-0.154,-0.093,0.001,0.001,172.0,218.0,1.03
"eps[22, 0]",-0.302,0.022,-0.343,-0.259,0.002,0.001,205.0,272.0,1.01
"eps[23, 0]",-0.024,0.13,-0.254,0.238,0.005,0.004,712.0,757.0,1.01
"eps[24, 0]",0.096,0.035,0.035,0.164,0.002,0.001,330.0,273.0,1.01
"eps[25, 0]",-0.29,0.02,-0.325,-0.254,0.001,0.001,403.0,592.0,1.01
"eps[26, 0]",0.168,0.033,0.107,0.229,0.002,0.001,281.0,482.0,1.01
"eps[27, 0]",-0.305,0.031,-0.368,-0.252,0.002,0.001,355.0,607.0,1.01
"eps[28, 0]",-0.162,0.02,-0.199,-0.123,0.001,0.001,335.0,528.0,1.02
"eps[29, 0]",-0.143,0.015,-0.174,-0.116,0.001,0.001,221.0,389.0,1.02
"eps[30, 0]",0.085,0.015,0.057,0.114,0.001,0.001,153.0,193.0,1.02
"eps[31, 0]",0.051,0.023,0.001,0.088,0.002,0.001,188.0,285.0,1.01
"eps[32, 0]",1.052,0.082,0.894,1.199,0.003,0.002,939.0,694.0,1.0
"eps[33, 0]",0.193,0.033,0.132,0.255,0.002,0.001,272.0,456.0,1.01
"eps[34, 0]",0.393,0.03,0.34,0.451,0.002,0.001,307.0,560.0,1.0
"eps[35, 0]",0.205,0.034,0.143,0.27,0.002,0.001,273.0,514.0,1.02
