,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.021,0.019,0.0,0.058,0.001,0.0,1216.0,696.0,1.0
Ds[0],36.153,0.031,36.091,36.206,0.001,0.001,695.0,657.0,1.0
RV[0],3.731,1.426,1.4,5.981,0.034,0.026,1712.0,655.0,1.02
"eps[0, 0]",0.008,0.078,-0.142,0.148,0.002,0.002,1108.0,881.0,1.0
"eps[1, 0]",0.221,0.173,-0.101,0.544,0.005,0.004,1415.0,759.0,1.01
"eps[2, 0]",-0.091,0.116,-0.298,0.133,0.003,0.003,1166.0,809.0,1.02
"eps[3, 0]",0.347,0.173,-0.02,0.653,0.005,0.004,1375.0,609.0,1.0
"eps[4, 0]",0.179,0.167,-0.131,0.487,0.005,0.004,1040.0,880.0,1.01
"eps[5, 0]",-0.017,0.182,-0.335,0.312,0.005,0.006,1280.0,783.0,1.0
"eps[6, 0]",-0.138,0.166,-0.434,0.187,0.005,0.004,1305.0,899.0,1.0
"eps[7, 0]",-0.067,0.15,-0.344,0.216,0.004,0.004,1505.0,705.0,1.01
"eps[8, 0]",0.068,0.141,-0.192,0.344,0.004,0.004,1419.0,685.0,1.0
"eps[9, 0]",0.001,0.032,-0.058,0.059,0.001,0.001,970.0,848.0,1.0
"eps[10, 0]",-0.053,0.039,-0.127,0.017,0.001,0.001,1257.0,831.0,1.0
"eps[11, 0]",0.012,0.038,-0.065,0.077,0.001,0.001,1147.0,529.0,1.0
"eps[12, 0]",-0.038,0.034,-0.095,0.031,0.001,0.001,1257.0,842.0,1.01
"eps[13, 0]",-0.122,0.041,-0.191,-0.043,0.001,0.001,1147.0,894.0,1.01
"eps[14, 0]",0.084,0.11,-0.124,0.286,0.003,0.003,1397.0,875.0,1.0
"eps[15, 0]",0.101,0.073,-0.034,0.239,0.002,0.002,1206.0,915.0,1.01
"eps[16, 0]",0.0,0.073,-0.147,0.125,0.002,0.002,1545.0,954.0,1.0
"eps[17, 0]",0.001,0.078,-0.132,0.152,0.002,0.003,1592.0,724.0,1.0
"eps[18, 0]",-0.039,0.026,-0.096,0.005,0.001,0.001,957.0,804.0,1.01
"eps[19, 0]",0.086,0.025,0.043,0.14,0.001,0.001,1180.0,807.0,1.0
"eps[20, 0]",-0.11,0.028,-0.159,-0.057,0.001,0.001,1210.0,874.0,1.0
"eps[21, 0]",0.145,0.024,0.099,0.189,0.001,0.0,1411.0,860.0,1.0
"eps[22, 0]",-0.061,0.032,-0.115,0.001,0.001,0.001,958.0,837.0,1.01
"eps[23, 0]",0.007,0.107,-0.198,0.205,0.004,0.003,929.0,713.0,1.01
"eps[24, 0]",0.125,0.069,0.001,0.256,0.002,0.002,906.0,675.0,1.01
"eps[25, 0]",0.352,0.064,0.239,0.476,0.002,0.001,1029.0,859.0,1.01
"eps[26, 0]",0.138,0.048,0.05,0.23,0.002,0.001,939.0,808.0,1.0
"eps[27, 0]",0.021,0.039,-0.05,0.09,0.001,0.001,785.0,739.0,1.01
"eps[28, 0]",-0.143,0.036,-0.209,-0.076,0.001,0.001,951.0,829.0,1.0
"eps[29, 0]",0.071,0.028,0.018,0.121,0.001,0.001,1279.0,744.0,1.0
"eps[30, 0]",-0.025,0.024,-0.068,0.022,0.001,0.001,1296.0,880.0,1.0
"eps[31, 0]",0.105,0.043,0.022,0.181,0.002,0.001,703.0,739.0,1.01
"eps[32, 0]",0.006,0.117,-0.196,0.242,0.003,0.003,1486.0,849.0,1.0
"eps[33, 0]",0.045,0.074,-0.088,0.188,0.003,0.002,803.0,800.0,1.0
"eps[34, 0]",0.134,0.108,-0.068,0.33,0.003,0.002,1430.0,663.0,1.0
