,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.021,0.017,0.0,0.053,0.001,0.001,1060.0,656.0,1.0
Ds[0],36.156,0.031,36.094,36.212,0.001,0.001,693.0,670.0,1.0
RV[0],3.805,1.451,1.383,5.999,0.032,0.025,1479.0,572.0,1.01
"eps[0, 0]",0.007,0.081,-0.137,0.165,0.002,0.003,1387.0,659.0,1.0
"eps[1, 0]",0.221,0.169,-0.092,0.541,0.004,0.004,1530.0,833.0,1.0
"eps[2, 0]",-0.095,0.114,-0.309,0.117,0.003,0.003,1415.0,833.0,1.01
"eps[3, 0]",0.343,0.167,0.055,0.708,0.004,0.003,1457.0,672.0,1.0
"eps[4, 0]",0.174,0.162,-0.117,0.48,0.005,0.004,1127.0,880.0,1.0
"eps[5, 0]",-0.011,0.183,-0.349,0.327,0.005,0.005,1118.0,866.0,1.0
"eps[6, 0]",-0.132,0.179,-0.447,0.216,0.004,0.004,1740.0,892.0,1.0
"eps[7, 0]",-0.062,0.153,-0.379,0.211,0.004,0.005,1427.0,570.0,1.01
"eps[8, 0]",0.067,0.129,-0.162,0.32,0.003,0.003,1877.0,838.0,1.0
"eps[9, 0]",0.001,0.032,-0.059,0.062,0.001,0.001,894.0,728.0,1.0
"eps[10, 0]",-0.055,0.042,-0.135,0.021,0.001,0.001,1534.0,804.0,1.0
"eps[11, 0]",0.014,0.037,-0.054,0.082,0.001,0.001,1320.0,837.0,1.01
"eps[12, 0]",-0.039,0.034,-0.104,0.022,0.001,0.001,1178.0,703.0,1.01
"eps[13, 0]",-0.122,0.041,-0.199,-0.047,0.001,0.001,1269.0,915.0,1.0
"eps[14, 0]",0.083,0.113,-0.122,0.291,0.003,0.002,1668.0,895.0,1.0
"eps[15, 0]",0.102,0.072,-0.029,0.242,0.002,0.002,1339.0,758.0,1.0
"eps[16, 0]",0.0,0.078,-0.156,0.141,0.002,0.002,1743.0,880.0,1.0
"eps[17, 0]",-0.0,0.077,-0.135,0.151,0.002,0.003,1997.0,741.0,1.0
"eps[18, 0]",-0.039,0.027,-0.087,0.014,0.001,0.001,990.0,847.0,1.0
"eps[19, 0]",0.087,0.027,0.04,0.139,0.001,0.001,1371.0,867.0,1.0
"eps[20, 0]",-0.111,0.028,-0.162,-0.057,0.001,0.001,1297.0,677.0,1.0
"eps[21, 0]",0.145,0.026,0.097,0.196,0.001,0.0,1500.0,913.0,1.0
"eps[22, 0]",-0.059,0.033,-0.119,0.007,0.001,0.001,1081.0,883.0,1.0
"eps[23, 0]",0.011,0.107,-0.173,0.223,0.003,0.005,1205.0,754.0,1.01
"eps[24, 0]",0.126,0.068,-0.008,0.25,0.002,0.002,916.0,688.0,1.0
"eps[25, 0]",0.351,0.063,0.223,0.458,0.002,0.001,1386.0,941.0,1.0
"eps[26, 0]",0.136,0.047,0.047,0.222,0.002,0.001,885.0,513.0,1.0
"eps[27, 0]",0.021,0.04,-0.051,0.096,0.001,0.001,926.0,565.0,1.0
