,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.134,0.065,0.013,0.249,0.004,0.002,299.0,248.0,1.0
Ds[0],36.7,0.068,36.574,36.827,0.004,0.003,345.0,282.0,1.0
RV[0],3.327,1.414,1.067,5.695,0.051,0.036,756.0,684.0,1.0
"eps[0, 0]",-0.024,0.084,-0.169,0.133,0.003,0.002,994.0,834.0,1.01
"eps[1, 0]",-0.118,0.175,-0.446,0.218,0.006,0.004,993.0,873.0,1.01
"eps[2, 0]",0.048,0.114,-0.143,0.276,0.003,0.003,1363.0,912.0,1.0
"eps[3, 0]",0.325,0.196,-0.027,0.677,0.006,0.005,1040.0,668.0,1.0
"eps[4, 0]",0.319,0.191,-0.079,0.64,0.006,0.004,1115.0,839.0,1.0
"eps[5, 0]",0.165,0.206,-0.182,0.561,0.006,0.005,1139.0,808.0,1.0
"eps[6, 0]",0.135,0.173,-0.183,0.457,0.005,0.004,993.0,867.0,1.0
"eps[7, 0]",0.084,0.155,-0.21,0.375,0.004,0.005,1210.0,612.0,1.01
"eps[8, 0]",-0.02,0.144,-0.256,0.271,0.005,0.005,995.0,772.0,1.0
"eps[9, 0]",-0.027,0.038,-0.096,0.04,0.001,0.001,716.0,824.0,1.01
"eps[10, 0]",-0.006,0.048,-0.084,0.099,0.001,0.002,1285.0,731.0,1.0
"eps[11, 0]",-0.024,0.048,-0.106,0.073,0.002,0.001,857.0,762.0,1.0
"eps[12, 0]",-0.122,0.037,-0.188,-0.054,0.001,0.001,983.0,852.0,1.0
"eps[13, 0]",-0.052,0.052,-0.156,0.039,0.001,0.001,1268.0,738.0,1.0
"eps[14, 0]",-0.223,0.125,-0.464,-0.003,0.003,0.003,1522.0,887.0,1.0
"eps[15, 0]",-0.04,0.084,-0.197,0.111,0.002,0.002,1366.0,760.0,1.0
"eps[16, 0]",-0.111,0.086,-0.257,0.056,0.002,0.002,1550.0,834.0,1.0
"eps[17, 0]",0.031,0.083,-0.136,0.181,0.002,0.003,1508.0,734.0,1.0
"eps[18, 0]",-0.114,0.038,-0.183,-0.036,0.001,0.001,676.0,763.0,1.0
"eps[19, 0]",-0.005,0.031,-0.065,0.051,0.001,0.001,747.0,641.0,1.0
"eps[20, 0]",-0.011,0.04,-0.083,0.068,0.002,0.001,669.0,648.0,1.01
"eps[21, 0]",0.007,0.035,-0.054,0.079,0.001,0.001,772.0,755.0,1.01
"eps[22, 0]",0.13,0.055,0.028,0.236,0.002,0.002,619.0,673.0,1.01
"eps[23, 0]",-0.135,0.118,-0.36,0.069,0.004,0.003,853.0,496.0,1.0
"eps[24, 0]",0.326,0.102,0.151,0.525,0.004,0.003,607.0,590.0,1.01
"eps[25, 0]",0.118,0.108,-0.087,0.308,0.003,0.003,1022.0,772.0,1.0
"eps[26, 0]",0.105,0.072,-0.018,0.245,0.003,0.002,715.0,716.0,1.0
"eps[27, 0]",0.083,0.042,0.001,0.156,0.002,0.001,682.0,782.0,1.0
"eps[28, 0]",-0.058,0.054,-0.159,0.042,0.002,0.001,679.0,732.0,1.01
"eps[29, 0]",0.063,0.041,-0.006,0.15,0.001,0.001,762.0,743.0,1.01
"eps[30, 0]",-0.071,0.034,-0.129,0.003,0.001,0.001,739.0,702.0,1.01
"eps[31, 0]",0.005,0.061,-0.111,0.112,0.003,0.002,539.0,601.0,1.01
"eps[32, 0]",0.04,0.111,-0.187,0.232,0.004,0.003,939.0,799.0,1.0
"eps[33, 0]",-0.166,0.095,-0.344,0.001,0.004,0.003,674.0,690.0,1.0
"eps[34, 0]",-0.064,0.104,-0.252,0.133,0.004,0.003,686.0,685.0,1.0
"eps[35, 0]",-0.025,0.069,-0.152,0.098,0.003,0.002,679.0,763.0,1.0
"eps[36, 0]",0.26,0.059,0.146,0.365,0.002,0.001,981.0,522.0,1.01
"eps[37, 0]",0.021,0.054,-0.084,0.118,0.002,0.001,1117.0,798.0,1.0
"eps[38, 0]",0.22,0.049,0.133,0.316,0.002,0.001,914.0,849.0,1.01
"eps[39, 0]",0.078,0.042,0.003,0.157,0.001,0.001,964.0,878.0,1.0
"eps[40, 0]",0.11,0.043,0.024,0.19,0.001,0.001,879.0,648.0,1.0
"eps[41, 0]",-0.075,0.104,-0.269,0.12,0.004,0.003,861.0,649.0,1.0
"eps[42, 0]",0.005,0.09,-0.159,0.17,0.003,0.002,822.0,757.0,1.0
"eps[43, 0]",-0.024,0.086,-0.173,0.148,0.003,0.003,977.0,820.0,1.0
"eps[44, 0]",-0.041,0.06,-0.165,0.065,0.002,0.002,1057.0,628.0,1.0
"eps[45, 0]",-0.109,0.049,-0.204,-0.017,0.001,0.001,1592.0,906.0,1.0
"eps[46, 0]",0.152,0.079,-0.001,0.289,0.002,0.001,1565.0,899.0,1.0
"eps[47, 0]",-0.037,0.028,-0.089,0.018,0.001,0.001,1526.0,767.0,1.0
"eps[48, 0]",-0.038,0.06,-0.16,0.063,0.002,0.002,861.0,906.0,1.0
"eps[49, 0]",0.052,0.059,-0.051,0.168,0.002,0.002,1493.0,731.0,1.0
"eps[50, 0]",0.193,0.106,-0.013,0.383,0.003,0.002,1262.0,801.0,1.0
"eps[51, 0]",0.115,0.095,-0.048,0.298,0.003,0.002,977.0,826.0,1.01
"eps[52, 0]",-0.053,0.087,-0.211,0.12,0.002,0.002,1245.0,782.0,1.0
"eps[53, 0]",-0.055,0.066,-0.182,0.066,0.002,0.002,1071.0,641.0,1.0
"eps_tform[0, 0]",-0.259,0.914,-1.835,1.448,0.029,0.026,994.0,834.0,1.01
"eps_tform[0, 1]",-0.516,0.822,-2.104,0.994,0.026,0.02,999.0,874.0,1.01
"eps_tform[0, 2]",0.442,0.902,-1.199,2.188,0.025,0.022,1275.0,891.0,1.0
"eps_tform[0, 3]",1.797,0.887,0.143,3.357,0.027,0.02,1090.0,783.0,1.0
"eps_tform[0, 4]",0.896,0.85,-0.711,2.486,0.025,0.02,1167.0,686.0,1.01
"eps_tform[0, 5]",0.402,0.915,-1.184,2.183,0.026,0.025,1207.0,833.0,1.0
"eps_tform[0, 6]",0.724,0.935,-0.977,2.483,0.029,0.023,1027.0,759.0,1.0
"eps_tform[0, 7]",0.262,0.932,-1.356,2.013,0.027,0.029,1205.0,714.0,1.01
"eps_tform[0, 8]",-0.216,0.974,-1.966,1.648,0.031,0.03,989.0,558.0,1.01
"eps_tform[0, 9]",-0.785,0.731,-2.224,0.5,0.026,0.019,770.0,819.0,1.01
"eps_tform[0, 10]",-0.19,0.838,-1.674,1.421,0.022,0.026,1387.0,746.0,1.0
"eps_tform[0, 11]",-0.326,0.862,-1.973,1.301,0.028,0.024,968.0,723.0,1.0
