,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.196,0.051,0.103,0.284,0.002,0.002,581.0,585.0,1.0
Ds[0],33.035,0.053,32.946,33.135,0.002,0.002,623.0,644.0,1.0
RV[0],2.686,1.224,1.001,5.025,0.049,0.035,662.0,516.0,1.0
"eps[0, 0]",-0.011,0.078,-0.17,0.136,0.003,0.003,969.0,577.0,1.01
"eps[1, 0]",-0.019,0.179,-0.338,0.316,0.006,0.006,884.0,742.0,1.0
"eps[2, 0]",0.088,0.108,-0.114,0.28,0.003,0.003,966.0,673.0,1.0
"eps[3, 0]",-0.167,0.181,-0.494,0.187,0.006,0.005,1006.0,701.0,1.0
"eps[4, 0]",0.245,0.153,-0.06,0.506,0.005,0.004,784.0,807.0,1.01
"eps[5, 0]",-0.132,0.205,-0.508,0.225,0.006,0.005,1349.0,764.0,1.0
"eps[6, 0]",0.063,0.162,-0.246,0.365,0.005,0.004,964.0,605.0,1.0
"eps[7, 0]",-0.063,0.144,-0.318,0.216,0.004,0.005,1146.0,694.0,1.0
"eps[8, 0]",0.021,0.134,-0.236,0.253,0.004,0.004,1249.0,901.0,1.01
"eps[9, 0]",0.007,0.042,-0.068,0.091,0.001,0.001,821.0,677.0,1.01
"eps[10, 0]",-0.062,0.047,-0.147,0.029,0.001,0.001,1219.0,665.0,1.0
"eps[11, 0]",-0.061,0.036,-0.131,0.004,0.001,0.001,1124.0,489.0,1.0
"eps[12, 0]",0.081,0.032,0.024,0.141,0.001,0.001,1002.0,788.0,1.0
"eps[13, 0]",-0.184,0.036,-0.25,-0.117,0.001,0.001,776.0,655.0,1.0
"eps[14, 0]",-0.103,0.143,-0.367,0.156,0.004,0.003,1272.0,818.0,1.0
"eps[15, 0]",-0.047,0.088,-0.209,0.113,0.003,0.002,1168.0,706.0,1.0
"eps[16, 0]",0.012,0.082,-0.145,0.154,0.002,0.002,1483.0,784.0,1.0
"eps[17, 0]",-0.019,0.074,-0.151,0.126,0.002,0.002,999.0,766.0,1.0
"eps[18, 0]",-0.014,0.033,-0.085,0.041,0.001,0.001,769.0,754.0,1.0
"eps[19, 0]",0.107,0.027,0.06,0.159,0.001,0.001,993.0,757.0,1.0
"eps[20, 0]",-0.057,0.02,-0.096,-0.023,0.001,0.0,839.0,710.0,1.0
"eps[21, 0]",0.022,0.024,-0.023,0.069,0.001,0.001,684.0,633.0,1.0
"eps[22, 0]",0.018,0.026,-0.033,0.062,0.001,0.001,833.0,849.0,1.0
"eps[23, 0]",0.147,0.13,-0.129,0.369,0.004,0.003,1264.0,634.0,1.01
"eps[24, 0]",-0.175,0.098,-0.348,0.009,0.003,0.002,979.0,805.0,1.0
"eps[25, 0]",-0.059,0.091,-0.236,0.098,0.003,0.002,1048.0,898.0,1.01
"eps[26, 0]",-0.125,0.098,-0.302,0.068,0.003,0.002,981.0,880.0,1.0
"eps[27, 0]",-0.058,0.039,-0.133,0.013,0.001,0.001,826.0,663.0,1.0
"eps[28, 0]",-0.13,0.025,-0.175,-0.084,0.001,0.001,890.0,980.0,1.0
"eps[29, 0]",0.035,0.018,0.002,0.069,0.001,0.0,788.0,667.0,1.01
"eps[30, 0]",0.053,0.024,0.008,0.096,0.001,0.001,737.0,731.0,1.0
"eps[31, 0]",0.099,0.03,0.047,0.156,0.001,0.001,637.0,716.0,1.0
"eps[32, 0]",0.061,0.147,-0.216,0.342,0.004,0.004,1230.0,760.0,1.01
"eps[33, 0]",0.036,0.062,-0.074,0.148,0.002,0.002,762.0,883.0,1.0
"eps[34, 0]",0.068,0.059,-0.034,0.184,0.002,0.002,794.0,588.0,1.0
"eps[35, 0]",0.026,0.048,-0.069,0.106,0.002,0.001,708.0,802.0,1.0
"eps[36, 0]",-0.17,0.033,-0.23,-0.109,0.001,0.001,780.0,668.0,1.01
"eps[37, 0]",-0.001,0.026,-0.049,0.045,0.001,0.001,910.0,579.0,1.0
"eps[38, 0]",-0.054,0.019,-0.09,-0.019,0.001,0.0,928.0,793.0,1.0
"eps[39, 0]",0.041,0.03,-0.013,0.097,0.001,0.001,869.0,817.0,1.0
"eps[40, 0]",0.026,0.024,-0.021,0.066,0.001,0.001,877.0,851.0,1.0
"eps[41, 0]",0.117,0.125,-0.103,0.349,0.004,0.003,1193.0,685.0,1.0
"eps[42, 0]",0.226,0.049,0.129,0.305,0.002,0.001,771.0,773.0,1.0
"eps[43, 0]",0.251,0.047,0.159,0.332,0.002,0.001,813.0,772.0,1.0
"eps[44, 0]",0.16,0.046,0.072,0.241,0.001,0.001,961.0,858.0,1.0
"eps[45, 0]",0.087,0.032,0.027,0.145,0.001,0.001,907.0,630.0,1.01
"eps[46, 0]",-0.075,0.028,-0.126,-0.021,0.001,0.001,958.0,947.0,1.0
"eps[47, 0]",0.002,0.018,-0.033,0.035,0.001,0.001,869.0,839.0,1.0
"eps[48, 0]",-0.04,0.024,-0.089,-0.0,0.001,0.001,742.0,661.0,1.0
"eps[49, 0]",-0.007,0.025,-0.056,0.034,0.001,0.001,869.0,897.0,1.01
"eps[50, 0]",-0.145,0.115,-0.368,0.061,0.003,0.003,1168.0,715.0,1.0
"eps[51, 0]",-0.039,0.063,-0.171,0.064,0.002,0.002,1076.0,661.0,1.0
"eps[52, 0]",-0.171,0.067,-0.288,-0.045,0.002,0.001,1359.0,763.0,1.0
"eps[53, 0]",-0.106,0.061,-0.219,0.012,0.002,0.001,1126.0,800.0,1.0
"eps_tform[0, 0]",-0.116,0.852,-1.849,1.482,0.027,0.028,969.0,577.0,1.01
"eps_tform[0, 1]",-0.074,0.861,-1.802,1.323,0.028,0.027,925.0,645.0,1.0
"eps_tform[0, 2]",0.757,0.832,-0.72,2.335,0.026,0.021,966.0,819.0,1.0
"eps_tform[0, 3]",-0.938,0.802,-2.511,0.5,0.025,0.02,1014.0,673.0,1.0
"eps_tform[0, 4]",1.454,0.712,0.179,2.826,0.022,0.017,998.0,536.0,1.0
"eps_tform[0, 5]",-0.376,0.914,-1.948,1.295,0.024,0.024,1412.0,764.0,1.0
"eps_tform[0, 6]",0.088,0.876,-1.419,1.871,0.028,0.025,959.0,665.0,1.0
"eps_tform[0, 7]",-0.486,0.879,-2.052,1.261,0.026,0.026,1153.0,658.0,1.01
"eps_tform[0, 8]",0.14,0.907,-1.691,1.634,0.026,0.026,1226.0,850.0,1.01
"eps_tform[0, 9]",0.121,0.81,-1.369,1.657,0.028,0.025,859.0,755.0,1.01
"eps_tform[0, 10]",-1.042,0.842,-2.515,0.638,0.024,0.02,1186.0,604.0,1.0
"eps_tform[0, 11]",-1.61,0.678,-2.81,-0.334,0.022,0.016,940.0,589.0,1.0
"eps_tform[0, 12]",2.05,0.706,0.833,3.339,0.024,0.017,881.0,822.0,1.0
"eps_tform[0, 13]",-2.011,0.636,-3.179,-0.831,0.024,0.017,687.0,694.0,1.01
"eps_tform[0, 14]",-0.753,0.954,-2.648,0.863,0.026,0.022,1334.0,865.0,1.0
"eps_tform[0, 15]",-0.278,0.933,-1.987,1.365,0.028,0.028,1155.0,736.0,1.0
"eps_tform[0, 16]",0.034,0.878,-1.645,1.551,0.022,0.024,1583.0,882.0,1.0
"eps_tform[0, 17]",-0.301,0.888,-2.062,1.211,0.027,0.029,1044.0,627.0,1.01
"eps_tform[0, 18]",-0.307,0.615,-1.414,0.839,0.022,0.016,792.0,726.0,1.01
"eps_tform[0, 19]",1.134,0.369,0.469,1.86,0.013,0.009,813.0,556.0,1.0
"eps_tform[0, 20]",-0.398,0.425,-1.201,0.328,0.016,0.011,715.0,827.0,1.0
"eps_tform[0, 21]",-0.588,0.489,-1.461,0.331,0.017,0.013,817.0,717.0,1.0
"eps_tform[0, 22]",0.959,0.368,0.289,1.671,0.013,0.009,853.0,621.0,1.0
"eps_tform[0, 23]",0.524,0.956,-1.289,2.297,0.027,0.027,1257.0,681.0,1.0
"eps_tform[0, 24]",-0.522,0.714,-1.784,0.822,0.022,0.017,1027.0,736.0,1.01
"eps_tform[0, 25]",-0.401,0.662,-1.521,0.869,0.02,0.018,1043.0,784.0,1.0
"eps_tform[0, 26]",-0.521,0.809,-2.073,0.958,0.025,0.021,1033.0,773.0,1.0
"eps_tform[0, 27]",-0.46,0.467,-1.442,0.325,0.015,0.011,962.0,932.0,1.0
