,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.189,0.063,0.092,0.308,0.003,0.002,480.0,421.0,1.01
Ds[0],33.037,0.062,32.922,33.144,0.003,0.002,555.0,366.0,1.01
RV[0],2.429,1.222,1.01,4.802,0.059,0.044,594.0,590.0,1.0
"eps[0, 0]",-0.01,0.082,-0.164,0.14,0.002,0.003,1571.0,870.0,1.0
"eps[1, 0]",0.007,0.175,-0.283,0.38,0.005,0.006,1162.0,710.0,1.0
"eps[2, 0]",0.089,0.111,-0.116,0.29,0.003,0.003,1332.0,768.0,1.01
"eps[3, 0]",-0.138,0.164,-0.43,0.175,0.004,0.004,1435.0,809.0,1.01
"eps[4, 0]",0.264,0.153,-0.053,0.536,0.005,0.004,990.0,854.0,1.0
"eps[5, 0]",-0.136,0.203,-0.459,0.275,0.005,0.005,1617.0,810.0,1.01
"eps[6, 0]",0.064,0.158,-0.22,0.355,0.004,0.006,1257.0,611.0,1.02
"eps[7, 0]",-0.06,0.147,-0.353,0.21,0.004,0.005,1709.0,692.0,1.0
"eps[8, 0]",0.023,0.137,-0.223,0.27,0.003,0.005,1633.0,334.0,1.01
"eps[9, 0]",0.016,0.042,-0.059,0.096,0.002,0.001,715.0,602.0,1.0
"eps[10, 0]",-0.058,0.046,-0.143,0.022,0.001,0.001,1083.0,748.0,1.0
"eps[11, 0]",-0.061,0.036,-0.136,-0.002,0.001,0.001,1256.0,807.0,1.01
"eps[12, 0]",0.075,0.03,0.018,0.127,0.001,0.001,1566.0,909.0,1.0
"eps[13, 0]",-0.184,0.036,-0.251,-0.118,0.001,0.001,1240.0,863.0,1.0
"eps[14, 0]",-0.084,0.137,-0.324,0.191,0.003,0.003,1714.0,850.0,1.0
"eps[15, 0]",-0.051,0.086,-0.21,0.107,0.002,0.002,1232.0,815.0,1.0
"eps[16, 0]",0.009,0.083,-0.147,0.155,0.002,0.003,1444.0,821.0,1.0
"eps[17, 0]",-0.017,0.076,-0.162,0.124,0.002,0.003,1315.0,701.0,1.01
"eps[18, 0]",-0.007,0.031,-0.064,0.052,0.001,0.001,925.0,807.0,1.0
"eps[19, 0]",0.111,0.026,0.064,0.163,0.001,0.001,746.0,533.0,1.0
"eps[20, 0]",-0.057,0.02,-0.095,-0.02,0.001,0.001,740.0,816.0,1.0
