,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.138,0.046,0.059,0.222,0.002,0.001,527.0,593.0,1.0
Ds[0],35.674,0.046,35.595,35.758,0.002,0.001,529.0,578.0,1.0
RV[0],2.803,1.361,1.0,5.399,0.058,0.042,585.0,577.0,1.01
"eps[0, 0]",0.01,0.074,-0.122,0.151,0.002,0.002,1281.0,732.0,1.01
"eps[1, 0]",0.632,0.153,0.378,0.935,0.004,0.003,1221.0,671.0,1.0
"eps[2, 0]",0.222,0.099,0.033,0.414,0.003,0.002,1016.0,854.0,1.0
"eps[3, 0]",0.843,0.126,0.606,1.071,0.004,0.003,1105.0,817.0,1.0
"eps[4, 0]",0.598,0.129,0.359,0.829,0.004,0.003,977.0,779.0,1.01
"eps[5, 0]",-0.058,0.188,-0.421,0.276,0.005,0.006,1502.0,784.0,1.0
"eps[6, 0]",-0.042,0.163,-0.333,0.283,0.004,0.005,1623.0,832.0,1.0
"eps[7, 0]",0.039,0.149,-0.228,0.339,0.004,0.005,1678.0,630.0,1.0
"eps[8, 0]",0.128,0.13,-0.107,0.381,0.004,0.003,1240.0,913.0,1.0
"eps[9, 0]",0.063,0.03,0.009,0.123,0.001,0.001,429.0,491.0,1.02
"eps[10, 0]",0.051,0.026,0.005,0.104,0.001,0.001,858.0,792.0,1.01
"eps[11, 0]",-0.071,0.025,-0.12,-0.029,0.001,0.001,896.0,759.0,1.0
"eps[12, 0]",-0.057,0.021,-0.098,-0.02,0.001,0.001,733.0,611.0,1.01
"eps[13, 0]",-0.017,0.025,-0.059,0.036,0.001,0.001,662.0,602.0,1.0
"eps[14, 0]",0.071,0.123,-0.147,0.301,0.004,0.003,982.0,814.0,1.0
"eps[15, 0]",-0.013,0.061,-0.119,0.109,0.002,0.002,902.0,664.0,1.0
"eps[16, 0]",0.033,0.051,-0.061,0.124,0.001,0.001,1158.0,913.0,1.0
"eps[17, 0]",-0.138,0.047,-0.224,-0.05,0.001,0.001,1029.0,912.0,1.0
"eps[18, 0]",0.167,0.028,0.111,0.217,0.001,0.001,634.0,710.0,1.01
"eps[19, 0]",0.172,0.023,0.129,0.215,0.001,0.001,820.0,749.0,1.0
"eps[20, 0]",-0.106,0.021,-0.147,-0.07,0.001,0.001,682.0,819.0,1.01
"eps[21, 0]",0.045,0.019,0.012,0.079,0.001,0.0,763.0,708.0,1.0
"eps[22, 0]",0.013,0.023,-0.03,0.058,0.001,0.001,610.0,690.0,1.0
"eps[23, 0]",0.181,0.116,-0.023,0.402,0.003,0.002,1338.0,614.0,1.0
"eps[24, 0]",0.1,0.064,-0.01,0.22,0.002,0.001,1163.0,842.0,1.0
"eps[25, 0]",0.161,0.057,0.059,0.269,0.002,0.001,1124.0,779.0,1.0
"eps[26, 0]",0.243,0.065,0.123,0.365,0.002,0.002,976.0,711.0,1.0
"eps[27, 0]",0.123,0.033,0.059,0.181,0.001,0.001,816.0,646.0,1.0
"eps[28, 0]",0.105,0.028,0.051,0.154,0.001,0.001,827.0,755.0,1.0
"eps[29, 0]",-0.102,0.018,-0.136,-0.07,0.001,0.0,701.0,835.0,1.0
"eps[30, 0]",-0.143,0.017,-0.173,-0.108,0.001,0.001,600.0,763.0,1.0
"eps[31, 0]",-0.024,0.032,-0.088,0.032,0.001,0.001,673.0,755.0,1.01
"eps[32, 0]",-0.037,0.127,-0.263,0.189,0.004,0.004,1206.0,844.0,1.0
"eps[33, 0]",-0.031,0.069,-0.162,0.099,0.002,0.002,831.0,632.0,1.0
"eps[34, 0]",0.081,0.075,-0.044,0.237,0.002,0.002,1124.0,828.0,1.0
"eps[35, 0]",0.201,0.052,0.091,0.29,0.002,0.001,1063.0,622.0,1.0
"eps[36, 0]",0.027,0.031,-0.025,0.087,0.001,0.001,623.0,826.0,1.01
"eps[37, 0]",0.043,0.031,-0.018,0.098,0.001,0.001,882.0,707.0,1.0
"eps[38, 0]",-0.13,0.025,-0.18,-0.086,0.001,0.001,870.0,922.0,1.0
"eps[39, 0]",-0.157,0.024,-0.2,-0.109,0.001,0.001,767.0,708.0,1.0
"eps[40, 0]",-0.078,0.025,-0.12,-0.028,0.001,0.001,661.0,694.0,1.01
"eps[41, 0]",0.078,0.108,-0.129,0.284,0.003,0.003,1436.0,827.0,1.0
"eps[42, 0]",0.018,0.056,-0.08,0.132,0.002,0.002,1105.0,779.0,1.0
"eps[43, 0]",0.183,0.062,0.079,0.305,0.002,0.001,1307.0,804.0,1.0
"eps[44, 0]",0.083,0.053,-0.014,0.18,0.002,0.001,1198.0,794.0,1.0
"eps[45, 0]",-0.142,0.034,-0.203,-0.076,0.001,0.001,1151.0,889.0,1.0
"eps[46, 0]",0.194,0.051,0.104,0.282,0.002,0.001,896.0,893.0,1.0
"eps[47, 0]",-0.091,0.023,-0.129,-0.044,0.001,0.001,884.0,784.0,1.0
"eps[48, 0]",-0.142,0.03,-0.205,-0.088,0.001,0.001,922.0,811.0,1.0
"eps[49, 0]",-0.006,0.031,-0.06,0.054,0.001,0.001,1051.0,851.0,1.0
"eps[50, 0]",-0.139,0.085,-0.286,0.028,0.002,0.002,1451.0,763.0,1.0
"eps[51, 0]",0.056,0.055,-0.041,0.168,0.002,0.001,767.0,566.0,1.01
"eps[52, 0]",0.162,0.067,0.043,0.289,0.002,0.001,1384.0,536.0,1.0
"eps[53, 0]",-0.038,0.051,-0.13,0.063,0.001,0.001,1536.0,717.0,1.0
"eps_tform[0, 0]",0.11,0.807,-1.322,1.641,0.023,0.026,1281.0,732.0,1.01
"eps_tform[0, 1]",2.955,0.729,1.691,4.397,0.021,0.015,1238.0,756.0,1.0
"eps_tform[0, 2]",2.069,0.759,0.692,3.469,0.024,0.018,989.0,778.0,1.0
"eps_tform[0, 3]",2.549,0.611,1.478,3.768,0.018,0.013,1142.0,707.0,1.0
"eps_tform[0, 4]",0.196,0.643,-0.96,1.455,0.021,0.02,969.0,707.0,1.0
"eps_tform[0, 5]",-0.965,0.892,-2.67,0.695,0.023,0.023,1476.0,761.0,1.0
"eps_tform[0, 6]",-0.609,0.881,-2.216,1.132,0.022,0.023,1683.0,840.0,1.0
"eps_tform[0, 7]",-0.142,0.938,-2.061,1.481,0.023,0.034,1696.0,501.0,1.0
"eps_tform[0, 8]",0.337,0.879,-1.256,1.997,0.025,0.023,1267.0,856.0,1.01
"eps_tform[0, 9]",0.556,0.608,-0.642,1.677,0.028,0.022,464.0,647.0,1.02
"eps_tform[0, 10]",0.06,0.454,-0.796,0.865,0.015,0.013,911.0,637.0,1.01
"eps_tform[0, 11]",-1.032,0.476,-1.868,-0.154,0.017,0.012,806.0,771.0,1.0
"eps_tform[0, 12]",-0.97,0.512,-1.985,-0.113,0.017,0.012,920.0,923.0,1.0
"eps_tform[0, 13]",0.298,0.458,-0.598,1.105,0.017,0.013,716.0,742.0,1.0
"eps_tform[0, 14]",0.796,0.8,-0.757,2.248,0.024,0.02,1128.0,810.0,1.0
"eps_tform[0, 15]",0.238,0.604,-0.832,1.366,0.021,0.016,872.0,836.0,1.0
"eps_tform[0, 16]",1.047,0.577,-0.028,2.051,0.017,0.012,1156.0,907.0,1.0
"eps_tform[0, 17]",-0.911,0.578,-2.086,0.085,0.017,0.013,1175.0,812.0,1.0
"eps_tform[0, 18]",2.47,0.521,1.454,3.443,0.019,0.014,799.0,683.0,1.01
"eps_tform[0, 19]",1.171,0.281,0.681,1.745,0.009,0.006,1071.0,852.0,1.0
"eps_tform[0, 20]",0.034,0.418,-0.723,0.828,0.016,0.011,662.0,741.0,1.0
"eps_tform[0, 21]",0.801,0.43,-0.017,1.64,0.015,0.011,828.0,544.0,1.01
"eps_tform[0, 22]",0.188,0.342,-0.409,0.835,0.013,0.01,691.0,879.0,1.01
"eps_tform[0, 23]",-0.336,0.869,-2.011,1.183,0.022,0.024,1496.0,910.0,1.0
"eps_tform[0, 24]",0.477,0.449,-0.36,1.307,0.013,0.01,1109.0,782.0,1.0
"eps_tform[0, 25]",0.674,0.455,-0.147,1.54,0.013,0.01,1181.0,947.0,1.01
