,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.048,0.032,0.0,0.105,0.002,0.001,374.0,521.0,1.02
Ds[0],35.823,0.035,35.75,35.885,0.002,0.001,299.0,404.0,1.01
RV[0],3.708,1.407,1.43,5.992,0.042,0.031,984.0,548.0,1.01
"eps[0, 0]",-0.205,0.042,-0.289,-0.135,0.002,0.001,642.0,647.0,1.0
"eps[1, 0]",0.05,0.079,-0.081,0.211,0.003,0.002,649.0,657.0,1.0
"eps[2, 0]",-0.321,0.084,-0.462,-0.152,0.003,0.002,590.0,672.0,1.01
"eps[3, 0]",0.048,0.072,-0.092,0.176,0.003,0.002,548.0,605.0,1.0
"eps[4, 0]",0.004,0.077,-0.131,0.147,0.003,0.002,681.0,632.0,1.01
"eps[5, 0]",-0.168,0.19,-0.517,0.182,0.006,0.005,971.0,740.0,1.0
"eps[6, 0]",0.328,0.158,0.061,0.646,0.006,0.004,797.0,812.0,1.0
"eps[7, 0]",0.148,0.136,-0.11,0.402,0.004,0.003,991.0,829.0,1.0
"eps[8, 0]",0.015,0.127,-0.22,0.256,0.004,0.003,980.0,820.0,1.01
"eps[9, 0]",0.051,0.02,0.016,0.086,0.001,0.001,335.0,557.0,1.01
"eps[10, 0]",-0.028,0.02,-0.064,0.008,0.001,0.001,461.0,675.0,1.01
"eps[11, 0]",-0.007,0.022,-0.045,0.036,0.001,0.001,540.0,582.0,1.0
"eps[12, 0]",-0.11,0.018,-0.145,-0.079,0.001,0.001,391.0,506.0,1.01
"eps[13, 0]",-0.003,0.026,-0.051,0.046,0.001,0.001,324.0,419.0,1.01
"eps[14, 0]",0.247,0.11,0.053,0.46,0.005,0.003,582.0,743.0,1.0
"eps[15, 0]",0.155,0.058,0.046,0.267,0.003,0.002,543.0,679.0,1.01
"eps[16, 0]",-0.107,0.038,-0.175,-0.034,0.002,0.001,348.0,497.0,1.01
"eps[17, 0]",0.026,0.049,-0.07,0.111,0.002,0.001,705.0,681.0,1.0
"eps[18, 0]",0.06,0.023,0.015,0.104,0.001,0.001,355.0,528.0,1.01
"eps[19, 0]",0.086,0.025,0.04,0.134,0.001,0.001,634.0,688.0,1.01
"eps[20, 0]",0.018,0.029,-0.033,0.075,0.002,0.001,321.0,478.0,1.01
"eps[21, 0]",-0.01,0.02,-0.047,0.029,0.001,0.001,603.0,731.0,1.0
"eps[22, 0]",0.041,0.029,-0.01,0.096,0.001,0.001,388.0,534.0,1.01
