,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.079,0.057,0.009,0.167,0.024,0.019,7.0,13.0,1.62
Ds[0],35.803,0.047,35.738,35.879,0.018,0.013,8.0,34.0,1.45
RV[0],4.108,1.344,1.581,5.997,0.167,0.118,167.0,96.0,1.3
"eps[0, 0]",-0.2,0.036,-0.268,-0.134,0.002,0.002,257.0,531.0,1.26
"eps[1, 0]",0.075,0.074,-0.073,0.18,0.017,0.012,23.0,767.0,1.12
"eps[2, 0]",-0.343,0.076,-0.461,-0.184,0.013,0.009,39.0,725.0,1.09
"eps[3, 0]",0.078,0.075,-0.062,0.177,0.022,0.018,11.0,216.0,1.28
"eps[4, 0]",-0.017,0.071,-0.121,0.137,0.015,0.011,22.0,478.0,1.14
"eps[5, 0]",-0.15,0.167,-0.484,0.134,0.01,0.017,422.0,617.0,1.3
"eps[6, 0]",0.373,0.162,0.047,0.623,0.038,0.028,18.0,347.0,1.17
"eps[7, 0]",0.102,0.147,-0.081,0.366,0.046,0.034,10.0,260.0,1.3
"eps[8, 0]",0.062,0.141,-0.211,0.233,0.043,0.031,11.0,426.0,1.27
"eps[9, 0]",0.039,0.026,0.003,0.078,0.01,0.008,7.0,45.0,1.52
"eps[10, 0]",-0.036,0.021,-0.061,0.005,0.006,0.005,12.0,290.0,1.26
"eps[11, 0]",-0.013,0.02,-0.043,0.026,0.004,0.003,29.0,433.0,1.1
"eps[12, 0]",-0.113,0.016,-0.142,-0.08,0.002,0.001,71.0,546.0,1.14
"eps[13, 0]",-0.001,0.024,-0.047,0.045,0.002,0.002,228.0,485.0,1.34
"eps[14, 0]",0.255,0.101,0.035,0.421,0.009,0.006,145.0,152.0,1.29
"eps[15, 0]",0.154,0.05,0.06,0.247,0.003,0.004,189.0,552.0,1.33
"eps[16, 0]",-0.09,0.047,-0.169,-0.023,0.017,0.012,9.0,21.0,1.39
"eps[17, 0]",0.014,0.049,-0.061,0.115,0.011,0.008,21.0,403.0,1.14
"eps[18, 0]",0.048,0.027,0.013,0.094,0.009,0.007,9.0,92.0,1.37
"eps[19, 0]",0.085,0.022,0.043,0.128,0.001,0.001,465.0,543.0,1.34
"eps[20, 0]",0.003,0.034,-0.04,0.065,0.011,0.008,10.0,225.0,1.35
"eps[21, 0]",-0.01,0.018,-0.045,0.024,0.001,0.002,225.0,470.0,1.28
"eps[22, 0]",0.033,0.028,-0.007,0.086,0.007,0.005,18.0,511.0,1.17
"eps[23, 0]",0.099,0.098,-0.085,0.305,0.003,0.006,754.0,532.0,1.39
"eps[24, 0]",0.48,0.072,0.334,0.602,0.01,0.007,66.0,635.0,1.1
"eps[25, 0]",-0.151,0.067,-0.299,-0.037,0.003,0.002,576.0,663.0,1.3
"eps[26, 0]",0.135,0.106,-0.081,0.294,0.024,0.017,20.0,533.0,1.14
"eps[27, 0]",0.203,0.034,0.153,0.254,0.012,0.009,8.0,17.0,1.48
"eps[28, 0]",-0.02,0.041,-0.089,0.059,0.007,0.005,44.0,616.0,1.08
"eps[29, 0]",0.003,0.022,-0.038,0.048,0.001,0.003,395.0,412.0,1.44
"eps[30, 0]",-0.078,0.016,-0.111,-0.047,0.001,0.001,393.0,420.0,1.4
"eps[31, 0]",-0.097,0.034,-0.164,-0.033,0.003,0.003,208.0,483.0,1.37
"eps[32, 0]",0.068,0.106,-0.131,0.28,0.007,0.005,268.0,537.0,1.28
"eps[33, 0]",0.032,0.067,-0.097,0.169,0.003,0.003,410.0,407.0,1.45
"eps[34, 0]",-0.156,0.074,-0.313,-0.023,0.003,0.005,679.0,464.0,1.31
"eps[35, 0]",0.006,0.055,-0.109,0.108,0.002,0.005,633.0,664.0,1.35
"eps[36, 0]",0.221,0.031,0.165,0.285,0.003,0.002,118.0,424.0,1.24
"eps[37, 0]",-0.033,0.033,-0.097,0.03,0.002,0.003,472.0,725.0,1.41
"eps[38, 0]",0.078,0.032,0.022,0.139,0.005,0.004,61.0,510.0,1.16
"eps[39, 0]",-0.062,0.028,-0.116,-0.005,0.001,0.001,398.0,535.0,1.3
"eps[40, 0]",0.024,0.029,-0.031,0.065,0.007,0.005,19.0,164.0,1.16
"eps[41, 0]",0.17,0.089,-0.025,0.332,0.005,0.003,329.0,537.0,1.34
"eps[42, 0]",0.15,0.051,0.044,0.234,0.003,0.002,339.0,631.0,1.33
"eps[43, 0]",-0.149,0.06,-0.251,-0.03,0.01,0.007,39.0,811.0,1.08
"eps[44, 0]",0.012,0.055,-0.086,0.116,0.008,0.006,55.0,107.0,1.12
"eps[45, 0]",-0.094,0.047,-0.157,0.002,0.012,0.009,16.0,788.0,1.17
"eps[46, 0]",-0.007,0.058,-0.106,0.108,0.006,0.004,101.0,744.0,1.23
"eps[47, 0]",-0.046,0.023,-0.085,0.0,0.003,0.002,55.0,700.0,1.1
"eps[48, 0]",-0.096,0.041,-0.185,-0.048,0.012,0.009,12.0,506.0,1.25
"eps[49, 0]",-0.004,0.029,-0.056,0.062,0.001,0.003,714.0,652.0,1.42
"eps[50, 0]",-0.15,0.08,-0.314,0.007,0.003,0.003,627.0,697.0,1.34
"eps[51, 0]",0.342,0.073,0.194,0.457,0.016,0.012,22.0,454.0,1.12
"eps[52, 0]",0.011,0.076,-0.145,0.103,0.022,0.016,13.0,560.0,1.22
"eps[53, 0]",-0.028,0.059,-0.142,0.044,0.018,0.013,10.0,206.0,1.31
