,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.116,0.065,0.002,0.225,0.004,0.003,341.0,375.0,1.01
Ds[0],37.054,0.065,36.923,37.157,0.004,0.003,349.0,370.0,1.0
RV[0],3.19,1.411,1.002,5.589,0.06,0.044,558.0,562.0,1.0
"eps[0, 0]",-0.119,0.086,-0.267,0.051,0.003,0.003,630.0,764.0,1.01
"eps[1, 0]",0.037,0.136,-0.22,0.28,0.005,0.004,895.0,744.0,1.0
"eps[2, 0]",-0.222,0.118,-0.423,0.019,0.004,0.003,892.0,788.0,1.01
"eps[3, 0]",0.361,0.136,0.103,0.603,0.005,0.003,769.0,808.0,1.0
"eps[4, 0]",0.101,0.163,-0.194,0.404,0.005,0.005,981.0,833.0,1.0
"eps[5, 0]",0.013,0.195,-0.333,0.383,0.006,0.006,1040.0,701.0,1.0
"eps[6, 0]",0.053,0.18,-0.31,0.382,0.005,0.006,1107.0,606.0,1.01
"eps[7, 0]",-0.089,0.162,-0.421,0.207,0.006,0.005,917.0,325.0,1.01
"eps[8, 0]",0.04,0.145,-0.242,0.301,0.004,0.006,1255.0,570.0,1.0
"eps[9, 0]",0.069,0.034,0.005,0.129,0.002,0.001,453.0,612.0,1.0
"eps[10, 0]",-0.081,0.024,-0.125,-0.037,0.001,0.001,545.0,665.0,1.0
"eps[11, 0]",0.106,0.034,0.041,0.165,0.001,0.001,672.0,719.0,1.0
"eps[12, 0]",-0.171,0.033,-0.23,-0.109,0.001,0.001,586.0,381.0,1.01
"eps[13, 0]",0.233,0.042,0.16,0.32,0.002,0.001,545.0,729.0,1.0
"eps[14, 0]",0.142,0.1,-0.031,0.339,0.004,0.003,640.0,464.0,1.0
"eps[15, 0]",0.124,0.084,-0.023,0.281,0.003,0.002,681.0,578.0,1.0
"eps[16, 0]",0.032,0.095,-0.14,0.214,0.003,0.003,1055.0,622.0,1.0
"eps[17, 0]",-0.041,0.085,-0.202,0.108,0.003,0.002,1129.0,712.0,1.0
"eps[18, 0]",0.026,0.047,-0.065,0.115,0.002,0.002,416.0,355.0,1.0
"eps[19, 0]",0.025,0.036,-0.043,0.093,0.002,0.001,513.0,586.0,1.01
"eps[20, 0]",-0.037,0.037,-0.11,0.028,0.001,0.001,899.0,732.0,1.0
"eps[21, 0]",-0.13,0.044,-0.21,-0.047,0.002,0.001,469.0,337.0,1.0
"eps[22, 0]",0.108,0.056,0.0,0.209,0.002,0.001,870.0,703.0,1.0
"eps[23, 0]",-0.051,0.119,-0.249,0.187,0.004,0.004,1167.0,557.0,1.01
"eps[24, 0]",0.142,0.12,-0.077,0.363,0.003,0.003,1244.0,829.0,1.0
"eps[25, 0]",-0.013,0.136,-0.28,0.223,0.003,0.004,1612.0,825.0,1.01
"eps[26, 0]",0.066,0.14,-0.185,0.331,0.004,0.004,1551.0,602.0,1.0
"eps[27, 0]",0.051,0.074,-0.094,0.174,0.003,0.002,813.0,382.0,1.0
"eps[28, 0]",-0.093,0.098,-0.264,0.097,0.003,0.003,900.0,741.0,1.0
"eps[29, 0]",-0.034,0.052,-0.123,0.069,0.001,0.001,1325.0,647.0,1.0
"eps[30, 0]",-0.057,0.049,-0.149,0.031,0.002,0.001,1027.0,623.0,1.0
"eps[31, 0]",0.031,0.106,-0.154,0.246,0.003,0.004,1062.0,496.0,1.01
"eps[32, 0]",0.078,0.14,-0.165,0.357,0.004,0.004,1033.0,604.0,1.0
"eps[33, 0]",-0.065,0.158,-0.337,0.238,0.004,0.004,1393.0,713.0,1.0
