,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.107,0.061,0.007,0.225,0.003,0.002,381.0,471.0,1.0
Ds[0],37.069,0.06,36.956,37.169,0.003,0.002,386.0,532.0,1.0
RV[0],3.254,1.409,1.001,5.614,0.049,0.036,782.0,745.0,1.01
"eps[0, 0]",-0.113,0.086,-0.277,0.047,0.003,0.003,615.0,605.0,1.0
"eps[1, 0]",0.042,0.136,-0.217,0.287,0.005,0.004,781.0,714.0,1.0
"eps[2, 0]",-0.224,0.119,-0.45,0.005,0.004,0.003,940.0,842.0,1.01
"eps[3, 0]",0.364,0.136,0.12,0.624,0.005,0.003,792.0,729.0,1.0
"eps[4, 0]",0.089,0.164,-0.231,0.381,0.005,0.004,1145.0,766.0,1.01
"eps[5, 0]",0.012,0.197,-0.374,0.341,0.005,0.006,1291.0,812.0,1.0
"eps[6, 0]",0.043,0.182,-0.322,0.375,0.005,0.006,1307.0,543.0,1.01
"eps[7, 0]",-0.088,0.166,-0.396,0.217,0.005,0.005,1192.0,839.0,1.02
"eps[8, 0]",0.039,0.144,-0.225,0.308,0.004,0.005,1165.0,824.0,1.0
"eps[9, 0]",0.073,0.032,0.01,0.127,0.001,0.001,459.0,669.0,1.0
"eps[10, 0]",-0.08,0.024,-0.126,-0.036,0.001,0.001,545.0,689.0,1.0
"eps[11, 0]",0.108,0.033,0.047,0.17,0.001,0.001,660.0,718.0,1.01
"eps[12, 0]",-0.175,0.031,-0.227,-0.114,0.001,0.001,726.0,755.0,1.0
"eps[13, 0]",0.234,0.042,0.153,0.308,0.002,0.001,650.0,707.0,1.02
"eps[14, 0]",0.137,0.098,-0.052,0.316,0.004,0.003,636.0,755.0,1.01
"eps[15, 0]",0.124,0.083,-0.025,0.28,0.003,0.002,761.0,748.0,1.01
"eps[16, 0]",0.032,0.092,-0.159,0.192,0.002,0.003,1423.0,594.0,1.0
"eps[17, 0]",-0.044,0.082,-0.187,0.122,0.002,0.002,1486.0,933.0,1.01
"eps[18, 0]",0.031,0.045,-0.055,0.113,0.002,0.001,460.0,694.0,1.0
"eps[19, 0]",0.028,0.036,-0.039,0.098,0.002,0.001,522.0,748.0,1.0
"eps[20, 0]",-0.04,0.038,-0.107,0.028,0.001,0.001,709.0,772.0,1.0
"eps[21, 0]",-0.132,0.043,-0.209,-0.051,0.002,0.001,636.0,830.0,1.0
"eps[22, 0]",0.105,0.057,0.001,0.209,0.002,0.002,724.0,775.0,1.0
"eps[23, 0]",-0.051,0.111,-0.265,0.146,0.003,0.003,1139.0,873.0,1.0
"eps[24, 0]",0.135,0.124,-0.091,0.359,0.003,0.003,1273.0,771.0,1.01
"eps[25, 0]",-0.011,0.138,-0.272,0.246,0.004,0.005,1341.0,775.0,1.0
"eps[26, 0]",0.069,0.136,-0.222,0.3,0.004,0.004,1242.0,462.0,1.01
