,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.033,0.024,0.0,0.076,0.001,0.001,526.0,326.0,1.01
Ds[0],35.7,0.028,35.645,35.752,0.002,0.001,356.0,428.0,1.0
RV[0],3.939,1.358,1.668,5.999,0.037,0.029,1061.0,418.0,1.01
"eps[0, 0]",-0.092,0.038,-0.164,-0.02,0.002,0.001,537.0,552.0,1.0
"eps[1, 0]",0.013,0.052,-0.08,0.109,0.002,0.002,614.0,452.0,1.0
"eps[2, 0]",-0.273,0.049,-0.365,-0.182,0.002,0.002,441.0,491.0,1.0
"eps[3, 0]",0.073,0.042,-0.003,0.147,0.002,0.001,633.0,516.0,1.0
"eps[4, 0]",-0.257,0.044,-0.336,-0.174,0.002,0.002,399.0,489.0,1.0
"eps[5, 0]",-0.162,0.162,-0.461,0.133,0.006,0.005,660.0,503.0,1.0
"eps[6, 0]",0.093,0.072,-0.034,0.238,0.003,0.002,760.0,683.0,1.0
"eps[7, 0]",0.067,0.054,-0.03,0.17,0.002,0.001,680.0,627.0,1.01
"eps[8, 0]",0.03,0.073,-0.092,0.176,0.003,0.002,726.0,661.0,1.01
"eps[9, 0]",-0.009,0.018,-0.042,0.026,0.001,0.001,473.0,599.0,1.0
"eps[10, 0]",0.007,0.023,-0.033,0.052,0.001,0.001,623.0,567.0,1.0
"eps[11, 0]",0.009,0.024,-0.037,0.052,0.001,0.001,667.0,635.0,1.01
"eps[12, 0]",0.028,0.02,-0.01,0.062,0.001,0.001,452.0,590.0,1.0
"eps[13, 0]",-0.019,0.025,-0.068,0.027,0.001,0.001,402.0,525.0,1.01
"eps[14, 0]",-0.03,0.109,-0.237,0.177,0.004,0.003,842.0,682.0,1.0
"eps[15, 0]",0.005,0.061,-0.102,0.121,0.002,0.002,764.0,694.0,1.0
"eps[16, 0]",-0.034,0.039,-0.108,0.035,0.002,0.001,521.0,728.0,1.0
"eps[17, 0]",0.114,0.058,0.002,0.216,0.002,0.001,882.0,640.0,1.0
"eps[18, 0]",-0.112,0.022,-0.154,-0.071,0.001,0.001,498.0,462.0,1.01
"eps[19, 0]",0.047,0.025,-0.001,0.091,0.001,0.001,754.0,575.0,1.01
"eps[20, 0]",-0.087,0.023,-0.129,-0.044,0.001,0.001,717.0,804.0,1.0
"eps[21, 0]",0.058,0.02,0.023,0.095,0.001,0.001,682.0,522.0,1.0
"eps[22, 0]",-0.042,0.023,-0.083,0.001,0.001,0.001,556.0,718.0,1.01
"eps[23, 0]",0.104,0.125,-0.117,0.344,0.004,0.003,857.0,710.0,1.0
"eps[24, 0]",-0.14,0.068,-0.255,-0.009,0.003,0.002,687.0,742.0,1.01
"eps[25, 0]",-0.052,0.064,-0.166,0.066,0.002,0.001,1030.0,534.0,1.01
"eps[26, 0]",0.134,0.076,-0.008,0.267,0.002,0.002,1049.0,700.0,1.01
"eps[27, 0]",0.02,0.032,-0.042,0.075,0.001,0.001,494.0,511.0,1.01
"eps[28, 0]",-0.069,0.032,-0.127,-0.012,0.001,0.001,624.0,559.0,1.0
"eps[29, 0]",0.06,0.021,0.024,0.101,0.001,0.001,588.0,673.0,1.0
"eps[30, 0]",0.012,0.016,-0.016,0.042,0.001,0.0,555.0,653.0,1.0
"eps[31, 0]",-0.003,0.033,-0.066,0.053,0.002,0.001,414.0,679.0,1.01
"eps[32, 0]",0.002,0.121,-0.226,0.221,0.004,0.004,754.0,705.0,1.0
"eps[33, 0]",-0.138,0.07,-0.248,0.013,0.003,0.002,440.0,478.0,1.0
"eps[34, 0]",-0.11,0.085,-0.264,0.046,0.003,0.002,1045.0,629.0,1.0
"eps[35, 0]",0.103,0.061,-0.022,0.214,0.001,0.001,1798.0,662.0,1.0
"eps[36, 0]",0.143,0.028,0.089,0.192,0.001,0.001,722.0,731.0,1.0
"eps[37, 0]",-0.002,0.038,-0.065,0.073,0.001,0.001,772.0,486.0,1.01
"eps[38, 0]",0.048,0.03,-0.003,0.107,0.001,0.001,704.0,627.0,1.0
"eps[39, 0]",-0.022,0.027,-0.073,0.028,0.001,0.001,571.0,657.0,1.0
"eps[40, 0]",-0.059,0.022,-0.102,-0.015,0.001,0.001,662.0,445.0,1.0
"eps[41, 0]",0.046,0.103,-0.156,0.223,0.003,0.003,953.0,674.0,1.0
"eps[42, 0]",-0.066,0.05,-0.153,0.029,0.002,0.001,736.0,675.0,1.01
"eps[43, 0]",-0.06,0.062,-0.178,0.047,0.002,0.002,1172.0,759.0,1.0
"eps[44, 0]",-0.054,0.049,-0.134,0.047,0.001,0.001,1346.0,814.0,1.0
"eps[45, 0]",-0.046,0.048,-0.142,0.037,0.001,0.001,1393.0,690.0,1.0
"eps[46, 0]",-0.0,0.076,-0.136,0.143,0.002,0.002,1398.0,794.0,1.0
"eps[47, 0]",-0.002,0.025,-0.047,0.047,0.001,0.001,1735.0,838.0,1.0
"eps[48, 0]",0.142,0.044,0.063,0.226,0.001,0.001,1168.0,976.0,1.01
"eps[49, 0]",0.088,0.041,0.009,0.16,0.001,0.001,1303.0,915.0,1.0
"eps[50, 0]",-0.019,0.09,-0.182,0.15,0.003,0.003,987.0,733.0,1.01
"eps[51, 0]",-0.022,0.072,-0.152,0.119,0.002,0.002,1189.0,448.0,1.01
"eps[52, 0]",-0.137,0.068,-0.253,-0.006,0.002,0.001,1417.0,735.0,1.0
"eps[53, 0]",0.028,0.049,-0.063,0.115,0.001,0.002,1204.0,934.0,1.0
"eps_tform[0, 0]",-1.003,0.416,-1.783,-0.216,0.018,0.013,537.0,552.0,1.0
"eps_tform[0, 1]",0.205,0.235,-0.225,0.639,0.01,0.007,565.0,479.0,1.0
"eps_tform[0, 2]",-1.835,0.285,-2.385,-1.331,0.013,0.009,509.0,587.0,1.0
"eps_tform[0, 3]",0.669,0.159,0.376,0.958,0.006,0.004,712.0,601.0,1.0
"eps_tform[0, 4]",-0.762,0.185,-1.087,-0.408,0.008,0.006,507.0,679.0,1.01
"eps_tform[0, 5]",-0.516,0.76,-1.971,0.776,0.029,0.021,703.0,702.0,1.0
"eps_tform[0, 6]",0.597,0.322,0.023,1.239,0.012,0.008,749.0,666.0,1.0
"eps_tform[0, 7]",0.461,0.327,-0.157,1.028,0.012,0.009,711.0,509.0,1.0
"eps_tform[0, 8]",-0.012,0.478,-0.862,0.858,0.017,0.014,792.0,702.0,1.01
"eps_tform[0, 9]",-0.277,0.353,-0.987,0.378,0.016,0.011,506.0,614.0,1.0
"eps_tform[0, 10]",0.415,0.38,-0.268,1.175,0.014,0.01,717.0,679.0,1.0
"eps_tform[0, 11]",0.216,0.393,-0.537,0.953,0.017,0.012,567.0,586.0,1.0
"eps_tform[0, 12]",1.304,0.383,0.587,2.023,0.019,0.013,422.0,481.0,1.01
"eps_tform[0, 13]",-0.86,0.362,-1.483,-0.137,0.018,0.012,424.0,527.0,1.0
"eps_tform[0, 14]",-0.25,0.689,-1.647,0.982,0.023,0.02,928.0,714.0,1.0
"eps_tform[0, 15]",-0.142,0.555,-1.126,0.971,0.02,0.016,753.0,612.0,1.0
"eps_tform[0, 16]",-0.333,0.388,-1.004,0.424,0.017,0.012,502.0,669.0,1.0
"eps_tform[0, 17]",1.068,0.691,-0.131,2.467,0.023,0.018,964.0,516.0,1.0
"eps_tform[0, 18]",-1.67,0.406,-2.432,-0.912,0.018,0.013,494.0,562.0,1.01
"eps_tform[0, 19]",1.08,0.302,0.523,1.644,0.011,0.008,748.0,685.0,1.01
"eps_tform[0, 20]",-1.24,0.416,-1.937,-0.396,0.019,0.014,485.0,591.0,1.0
"eps_tform[0, 21]",0.765,0.397,0.078,1.553,0.015,0.011,669.0,627.0,1.0
"eps_tform[0, 22]",0.14,0.292,-0.353,0.758,0.014,0.01,425.0,676.0,1.0
"eps_tform[0, 23]",0.539,0.954,-1.159,2.441,0.034,0.028,799.0,712.0,1.01
"eps_tform[0, 24]",-0.98,0.367,-1.581,-0.211,0.015,0.011,617.0,770.0,1.0
"eps_tform[0, 25]",-0.41,0.505,-1.333,0.566,0.017,0.012,916.0,510.0,1.0
"eps_tform[0, 26]",1.014,0.607,-0.085,2.152,0.018,0.015,1120.0,665.0,1.0
"eps_tform[0, 27]",0.601,0.443,-0.192,1.41,0.019,0.014,555.0,672.0,1.0
"eps_tform[0, 28]",-0.278,0.321,-0.94,0.279,0.012,0.009,694.0,756.0,1.0
"eps_tform[0, 29]",0.493,0.429,-0.312,1.257,0.017,0.013,650.0,762.0,1.01
"eps_tform[0, 30]",-0.78,0.399,-1.559,-0.062,0.016,0.011,642.0,637.0,1.0
"eps_tform[0, 31]",-0.104,0.402,-0.758,0.712,0.016,0.013,645.0,401.0,1.0
"eps_tform[0, 32]",-0.148,0.877,-1.608,1.584,0.032,0.028,767.0,607.0,1.0
"eps_tform[0, 33]",-0.229,0.459,-1.028,0.669,0.019,0.015,602.0,572.0,1.0
"eps_tform[0, 34]",-0.471,0.712,-1.788,0.791,0.02,0.018,1226.0,661.0,1.0
"eps_tform[0, 35]",0.904,0.802,-0.467,2.496,0.019,0.019,1809.0,654.0,1.0
"eps_tform[0, 36]",1.269,0.379,0.522,1.961,0.014,0.01,725.0,692.0,1.0
"eps_tform[0, 37]",-0.203,0.487,-1.065,0.762,0.017,0.014,826.0,652.0,1.0
"eps_tform[0, 38]",0.051,0.493,-0.841,0.977,0.02,0.015,649.0,595.0,1.0
"eps_tform[0, 39]",-0.276,0.535,-1.321,0.696,0.02,0.015,735.0,755.0,1.01
"eps_tform[0, 40]",-0.402,0.406,-1.263,0.267,0.015,0.01,760.0,685.0,1.0
"eps_tform[0, 41]",0.173,0.94,-1.651,1.898,0.026,0.029,1272.0,658.0,1.0
"eps_tform[0, 42]",-0.772,0.489,-1.632,0.164,0.016,0.011,896.0,839.0,1.01
"eps_tform[0, 43]",-0.176,0.816,-1.637,1.376,0.022,0.027,1361.0,668.0,1.0
"eps_tform[0, 44]",0.021,0.859,-1.531,1.637,0.023,0.027,1359.0,689.0,1.01
"eps_tform[0, 45]",-0.164,1.012,-2.158,1.681,0.026,0.032,1552.0,501.0,1.01
"eps_tform[0, 46]",-0.015,0.806,-1.582,1.33,0.021,0.029,1405.0,709.0,1.01
"eps_tform[0, 47]",0.306,0.944,-1.318,2.147,0.023,0.025,1664.0,895.0,1.0
"eps_tform[0, 48]",0.781,0.753,-0.633,2.217,0.023,0.02,1029.0,633.0,1.0
"eps_tform[0, 49]",0.841,0.824,-0.663,2.334,0.02,0.019,1656.0,808.0,1.0
"eps_tform[0, 50]",-0.103,1.032,-2.215,1.672,0.027,0.036,1515.0,691.0,1.01
"eps_tform[0, 51]",-0.101,1.028,-2.016,1.911,0.026,0.038,1550.0,606.0,1.0
"eps_tform[0, 52]",0.009,0.982,-1.836,1.8,0.023,0.037,1785.0,663.0,1.01
"eps_tform[0, 53]",0.025,1.023,-1.803,2.065,0.025,0.039,1649.0,693.0,1.01
theta[0],-0.174,0.116,-0.394,0.03,0.006,0.004,390.0,547.0,1.01
tmax[0],-0.118,0.115,-0.322,0.13,0.005,0.004,645.0,548.0,1.01
peak_MJD[0],54779.501,0.119,54779.29,54779.757,0.005,0.003,645.0,548.0,1.01
mu[0],35.698,0.098,35.509,35.873,0.003,0.002,988.0,883.0,1.0
delM[0],0.003,0.095,-0.166,0.185,0.003,0.002,1007.0,918.0,1.0
