,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.052,0.033,0.0,0.111,0.002,0.001,383.0,543.0,1.01
Ds[0],36.038,0.035,35.968,36.1,0.002,0.001,389.0,418.0,1.01
RV[0],3.63,1.388,1.354,5.999,0.045,0.032,1009.0,545.0,1.01
"eps[0, 0]",0.033,0.045,-0.044,0.127,0.002,0.002,506.0,522.0,1.01
"eps[1, 0]",0.231,0.062,0.121,0.345,0.003,0.002,503.0,623.0,1.01
"eps[2, 0]",-0.263,0.063,-0.375,-0.152,0.003,0.002,647.0,687.0,1.01
"eps[3, 0]",0.151,0.055,0.039,0.247,0.002,0.002,541.0,691.0,1.0
"eps[4, 0]",-0.197,0.057,-0.303,-0.095,0.002,0.002,641.0,525.0,1.0
"eps[5, 0]",-0.156,0.16,-0.444,0.162,0.006,0.004,691.0,515.0,1.0
"eps[6, 0]",0.219,0.093,0.04,0.381,0.004,0.003,668.0,730.0,1.01
"eps[7, 0]",0.089,0.096,-0.072,0.279,0.003,0.003,995.0,609.0,1.0
"eps[8, 0]",0.121,0.095,-0.062,0.29,0.003,0.002,1258.0,858.0,1.0
"eps[9, 0]",0.037,0.023,-0.007,0.079,0.001,0.001,337.0,432.0,1.02
"eps[10, 0]",-0.038,0.022,-0.076,0.003,0.001,0.001,453.0,651.0,1.02
"eps[11, 0]",0.033,0.023,-0.012,0.073,0.001,0.001,636.0,546.0,1.01
"eps[12, 0]",-0.076,0.021,-0.118,-0.04,0.001,0.001,512.0,545.0,1.01
"eps[13, 0]",-0.016,0.026,-0.06,0.037,0.001,0.001,517.0,705.0,1.0
"eps[14, 0]",-0.097,0.11,-0.307,0.115,0.003,0.003,1005.0,863.0,1.0
"eps[15, 0]",0.104,0.061,-0.021,0.209,0.002,0.001,877.0,909.0,1.0
"eps[16, 0]",0.066,0.054,-0.037,0.162,0.002,0.001,781.0,756.0,1.0
"eps[17, 0]",-0.052,0.068,-0.165,0.092,0.002,0.002,1142.0,562.0,1.0
"eps[18, 0]",-0.067,0.024,-0.116,-0.025,0.001,0.001,440.0,437.0,1.01
"eps[19, 0]",0.038,0.023,-0.005,0.079,0.001,0.001,640.0,767.0,1.01
"eps[20, 0]",-0.109,0.025,-0.151,-0.062,0.001,0.001,583.0,802.0,1.01
"eps[21, 0]",0.007,0.021,-0.032,0.048,0.001,0.001,714.0,682.0,1.01
"eps[22, 0]",-0.062,0.028,-0.112,-0.008,0.001,0.001,571.0,676.0,1.01
"eps[23, 0]",0.211,0.116,-0.015,0.415,0.004,0.003,1086.0,564.0,1.02
"eps[24, 0]",0.116,0.077,-0.034,0.255,0.003,0.002,693.0,631.0,1.0
"eps[25, 0]",0.013,0.075,-0.125,0.14,0.002,0.002,1058.0,741.0,1.01
"eps[26, 0]",0.095,0.113,-0.104,0.306,0.003,0.003,1442.0,801.0,1.01
"eps[27, 0]",-0.032,0.039,-0.105,0.041,0.002,0.001,476.0,386.0,1.01
"eps[28, 0]",-0.05,0.035,-0.112,0.019,0.001,0.001,604.0,504.0,1.01
"eps[29, 0]",-0.027,0.025,-0.07,0.023,0.001,0.001,782.0,748.0,1.01
"eps[30, 0]",0.008,0.023,-0.039,0.047,0.001,0.001,719.0,658.0,1.0
"eps[31, 0]",0.11,0.037,0.045,0.183,0.002,0.001,471.0,556.0,1.01
"eps[32, 0]",0.103,0.117,-0.098,0.339,0.003,0.003,1275.0,849.0,1.0
"eps[33, 0]",0.18,0.078,0.022,0.32,0.003,0.002,721.0,462.0,1.0
