,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.157,0.054,0.057,0.255,0.002,0.001,691.0,782.0,1.01
Ds[0],36.758,0.056,36.655,36.862,0.002,0.002,573.0,711.0,1.01
RV[0],3.407,1.384,1.01,5.631,0.043,0.03,1046.0,714.0,1.0
"eps[0, 0]",-0.091,0.077,-0.239,0.047,0.003,0.002,928.0,775.0,1.0
"eps[1, 0]",0.136,0.167,-0.181,0.44,0.005,0.004,1051.0,664.0,1.0
"eps[2, 0]",0.066,0.116,-0.139,0.283,0.003,0.003,1292.0,907.0,1.0
"eps[3, 0]",0.67,0.171,0.36,1.003,0.005,0.003,1409.0,835.0,1.01
"eps[4, 0]",0.847,0.17,0.529,1.169,0.005,0.004,1205.0,645.0,1.0
"eps[5, 0]",-0.087,0.191,-0.45,0.259,0.004,0.005,1816.0,767.0,1.01
"eps[6, 0]",0.077,0.183,-0.256,0.419,0.005,0.006,1221.0,928.0,1.01
"eps[7, 0]",0.1,0.159,-0.192,0.419,0.004,0.005,1553.0,671.0,1.02
"eps[8, 0]",0.063,0.145,-0.209,0.321,0.004,0.004,1440.0,517.0,1.0
"eps[9, 0]",0.027,0.027,-0.023,0.075,0.001,0.001,687.0,844.0,1.01
"eps[10, 0]",0.012,0.026,-0.038,0.057,0.001,0.001,1022.0,758.0,1.01
"eps[11, 0]",0.03,0.034,-0.026,0.098,0.001,0.001,1132.0,763.0,1.0
"eps[12, 0]",-0.093,0.027,-0.145,-0.046,0.001,0.001,1138.0,737.0,1.0
"eps[13, 0]",-0.006,0.035,-0.072,0.056,0.001,0.001,1129.0,881.0,1.01
"eps[14, 0]",-0.228,0.098,-0.407,-0.039,0.003,0.002,1090.0,880.0,1.0
"eps[15, 0]",0.013,0.066,-0.109,0.132,0.002,0.002,1057.0,859.0,1.0
"eps[16, 0]",-0.092,0.059,-0.203,0.025,0.002,0.002,836.0,717.0,1.01
"eps[17, 0]",-0.037,0.068,-0.176,0.077,0.002,0.002,1482.0,764.0,1.01
"eps[18, 0]",-0.104,0.032,-0.162,-0.048,0.001,0.001,860.0,906.0,1.0
"eps[19, 0]",-0.035,0.029,-0.089,0.019,0.001,0.001,1227.0,806.0,1.0
"eps[20, 0]",-0.034,0.037,-0.102,0.037,0.001,0.001,799.0,868.0,1.0
"eps[21, 0]",-0.108,0.029,-0.165,-0.055,0.001,0.001,1098.0,759.0,1.0
"eps[22, 0]",0.112,0.044,0.035,0.202,0.002,0.001,736.0,797.0,1.0
"eps[23, 0]",0.041,0.109,-0.15,0.254,0.003,0.003,1443.0,746.0,1.0
"eps[24, 0]",0.194,0.097,0.033,0.388,0.003,0.002,925.0,758.0,1.0
"eps[25, 0]",0.067,0.126,-0.175,0.306,0.003,0.004,2362.0,532.0,1.0
"eps[26, 0]",0.0,0.12,-0.207,0.247,0.003,0.004,1461.0,843.0,1.0
"eps[27, 0]",0.292,0.038,0.218,0.359,0.001,0.001,743.0,873.0,1.01
"eps[28, 0]",-0.08,0.05,-0.176,0.013,0.002,0.001,721.0,489.0,1.0
"eps[29, 0]",0.135,0.039,0.061,0.206,0.001,0.001,722.0,627.0,1.0
"eps[30, 0]",-0.18,0.029,-0.235,-0.13,0.001,0.001,1071.0,764.0,1.0
"eps[31, 0]",-0.001,0.054,-0.097,0.102,0.002,0.002,642.0,709.0,1.0
"eps[32, 0]",-0.151,0.119,-0.38,0.053,0.004,0.003,1098.0,846.0,1.0
"eps[33, 0]",-0.288,0.095,-0.47,-0.117,0.003,0.002,752.0,729.0,1.01
"eps[34, 0]",-0.189,0.125,-0.409,0.052,0.003,0.003,1742.0,772.0,1.0
"eps[35, 0]",0.04,0.086,-0.13,0.195,0.002,0.002,2360.0,814.0,1.01
"eps[36, 0]",0.162,0.049,0.065,0.251,0.002,0.001,746.0,502.0,1.0
"eps[37, 0]",0.047,0.049,-0.037,0.141,0.001,0.001,1560.0,874.0,1.0
"eps[38, 0]",0.093,0.049,0.005,0.184,0.002,0.001,759.0,611.0,1.0
"eps[39, 0]",0.076,0.037,0.014,0.144,0.001,0.001,1328.0,941.0,1.0
"eps[40, 0]",0.027,0.04,-0.059,0.092,0.001,0.001,1083.0,865.0,1.0
"eps[41, 0]",0.004,0.1,-0.161,0.207,0.002,0.003,1594.0,629.0,1.0
"eps[42, 0]",-0.048,0.072,-0.174,0.088,0.002,0.002,1459.0,739.0,1.0
"eps[43, 0]",0.043,0.07,-0.072,0.188,0.002,0.002,1091.0,754.0,1.0
"eps[44, 0]",-0.001,0.054,-0.1,0.1,0.002,0.001,1145.0,814.0,1.0
"eps[45, 0]",-0.067,0.052,-0.156,0.032,0.001,0.001,2083.0,885.0,1.01
"eps[46, 0]",0.248,0.093,0.073,0.415,0.002,0.002,2351.0,700.0,1.0
"eps[47, 0]",-0.049,0.029,-0.103,0.002,0.001,0.001,1355.0,530.0,1.0
"eps[48, 0]",-0.144,0.061,-0.263,-0.036,0.002,0.001,1369.0,806.0,1.0
"eps[49, 0]",0.123,0.057,0.014,0.226,0.001,0.001,1932.0,830.0,1.01
"eps[50, 0]",0.049,0.103,-0.138,0.252,0.002,0.003,1904.0,763.0,1.0
"eps[51, 0]",-0.072,0.09,-0.243,0.092,0.003,0.002,1102.0,842.0,1.0
"eps[52, 0]",-0.127,0.086,-0.284,0.047,0.002,0.002,1331.0,741.0,1.0
"eps[53, 0]",-0.031,0.065,-0.149,0.086,0.002,0.002,1721.0,692.0,1.0
"eps_tform[0, 0]",-0.991,0.842,-2.602,0.514,0.028,0.02,928.0,775.0,1.0
"eps_tform[0, 1]",0.783,0.795,-0.814,2.161,0.024,0.02,1050.0,728.0,1.01
"eps_tform[0, 2]",0.988,0.885,-0.611,2.624,0.025,0.02,1282.0,691.0,1.0
"eps_tform[0, 3]",2.901,0.818,1.205,4.37,0.022,0.015,1422.0,777.0,1.0
"eps_tform[0, 4]",2.757,0.789,1.222,4.186,0.022,0.016,1251.0,784.0,1.01
"eps_tform[0, 5]",-0.726,0.853,-2.332,0.832,0.02,0.019,1845.0,884.0,1.0
"eps_tform[0, 6]",-0.036,0.989,-1.938,1.732,0.028,0.032,1280.0,855.0,1.01
"eps_tform[0, 7]",0.251,0.967,-1.347,2.416,0.023,0.034,1799.0,578.0,1.01
"eps_tform[0, 8]",0.045,0.971,-1.729,1.753,0.026,0.031,1415.0,746.0,1.0
