,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.01,0.009,0.0,0.026,0.0,0.0,886.0,590.0,1.0
Ds[0],33.766,0.021,33.728,33.806,0.001,0.001,258.0,252.0,1.0
RV[0],3.76,1.356,1.555,5.991,0.034,0.024,1530.0,789.0,1.0
"eps[0, 0]",-0.232,0.04,-0.303,-0.153,0.002,0.002,340.0,527.0,1.01
"eps[1, 0]",-0.08,0.041,-0.152,0.002,0.002,0.001,501.0,715.0,1.0
"eps[2, 0]",-0.303,0.038,-0.376,-0.235,0.002,0.001,407.0,576.0,1.0
"eps[3, 0]",-0.109,0.034,-0.168,-0.044,0.002,0.001,382.0,542.0,1.01
"eps[4, 0]",-0.273,0.034,-0.338,-0.209,0.002,0.001,389.0,623.0,1.01
"eps[5, 0]",0.192,0.181,-0.134,0.541,0.007,0.005,610.0,791.0,1.01
"eps[6, 0]",-0.298,0.04,-0.368,-0.222,0.002,0.001,690.0,754.0,1.0
"eps[7, 0]",-0.167,0.034,-0.229,-0.1,0.002,0.001,505.0,600.0,1.0
"eps[8, 0]",0.034,0.045,-0.052,0.115,0.002,0.001,747.0,747.0,1.0
"eps[9, 0]",-0.026,0.015,-0.052,0.003,0.001,0.001,302.0,511.0,1.0
"eps[10, 0]",0.007,0.023,-0.035,0.052,0.001,0.001,846.0,760.0,1.0
"eps[11, 0]",-0.044,0.019,-0.077,-0.011,0.001,0.001,396.0,640.0,1.0
"eps[12, 0]",-0.028,0.015,-0.056,-0.0,0.001,0.001,363.0,436.0,1.0
"eps[13, 0]",0.058,0.021,0.02,0.098,0.001,0.001,268.0,350.0,1.0
"eps[14, 0]",0.116,0.107,-0.075,0.319,0.003,0.002,1034.0,790.0,1.0
"eps[15, 0]",0.056,0.039,-0.015,0.128,0.002,0.001,368.0,690.0,1.01
"eps[16, 0]",0.079,0.023,0.036,0.12,0.001,0.001,314.0,527.0,1.0
