,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.01,0.009,0.0,0.027,0.0,0.0,865.0,635.0,1.01
Ds[0],33.764,0.02,33.729,33.803,0.001,0.001,245.0,421.0,1.0
RV[0],3.866,1.375,1.609,5.998,0.038,0.027,1240.0,658.0,1.02
"eps[0, 0]",-0.229,0.039,-0.302,-0.155,0.002,0.001,405.0,550.0,1.0
"eps[1, 0]",-0.078,0.039,-0.158,-0.007,0.002,0.001,551.0,689.0,1.0
"eps[2, 0]",-0.302,0.037,-0.376,-0.236,0.002,0.001,432.0,689.0,1.0
"eps[3, 0]",-0.111,0.032,-0.168,-0.049,0.002,0.001,406.0,501.0,1.01
"eps[4, 0]",-0.274,0.034,-0.336,-0.205,0.002,0.001,401.0,606.0,1.0
"eps[5, 0]",0.193,0.185,-0.165,0.537,0.007,0.005,649.0,618.0,1.0
"eps[6, 0]",-0.297,0.04,-0.376,-0.222,0.002,0.001,681.0,672.0,1.0
"eps[7, 0]",-0.166,0.034,-0.231,-0.104,0.002,0.001,506.0,589.0,1.01
"eps[8, 0]",0.036,0.047,-0.053,0.125,0.002,0.001,553.0,640.0,1.01
"eps[9, 0]",-0.024,0.015,-0.05,0.008,0.001,0.001,279.0,474.0,1.0
"eps[10, 0]",0.008,0.024,-0.039,0.049,0.001,0.001,778.0,691.0,1.0
"eps[11, 0]",-0.043,0.019,-0.078,-0.009,0.001,0.001,391.0,527.0,1.0
"eps[12, 0]",-0.03,0.015,-0.058,-0.003,0.001,0.001,352.0,455.0,1.0
"eps[13, 0]",0.057,0.021,0.016,0.093,0.001,0.001,224.0,481.0,1.01
"eps[14, 0]",0.114,0.107,-0.106,0.3,0.003,0.002,1075.0,780.0,1.0
"eps[15, 0]",0.057,0.038,-0.012,0.132,0.002,0.001,364.0,644.0,1.01
"eps[16, 0]",0.079,0.023,0.04,0.124,0.001,0.001,314.0,621.0,1.0
"eps[17, 0]",-0.079,0.028,-0.135,-0.03,0.002,0.001,321.0,559.0,1.0
"eps[18, 0]",-0.11,0.019,-0.14,-0.071,0.001,0.001,293.0,564.0,1.01
"eps[19, 0]",-0.191,0.022,-0.235,-0.155,0.001,0.001,533.0,599.0,1.0
"eps[20, 0]",0.204,0.022,0.16,0.242,0.001,0.001,297.0,635.0,1.01
"eps[21, 0]",0.054,0.015,0.029,0.084,0.001,0.001,266.0,460.0,1.0
"eps[22, 0]",0.16,0.016,0.131,0.191,0.001,0.001,264.0,625.0,1.01
"eps[23, 0]",-0.392,0.118,-0.63,-0.187,0.005,0.003,704.0,577.0,1.0
"eps[24, 0]",0.377,0.046,0.294,0.46,0.002,0.001,591.0,571.0,1.0
"eps[25, 0]",0.132,0.022,0.093,0.177,0.001,0.001,395.0,731.0,1.0
"eps[26, 0]",0.209,0.024,0.162,0.253,0.001,0.001,421.0,633.0,1.0
"eps[27, 0]",-0.189,0.019,-0.224,-0.157,0.001,0.001,372.0,601.0,1.0
"eps[28, 0]",-0.164,0.025,-0.21,-0.118,0.001,0.001,563.0,698.0,1.0
