,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.188,0.044,0.105,0.27,0.002,0.002,423.0,404.0,1.0
Ds[0],34.736,0.045,34.651,34.82,0.003,0.002,327.0,416.0,1.01
RV[0],4.53,1.102,2.552,6.0,0.037,0.026,950.0,576.0,1.0
"eps[0, 0]",-0.293,0.046,-0.377,-0.21,0.002,0.001,559.0,696.0,1.01
"eps[1, 0]",-0.301,0.092,-0.473,-0.134,0.004,0.003,477.0,766.0,1.01
"eps[2, 0]",-0.257,0.076,-0.388,-0.101,0.003,0.002,511.0,671.0,1.0
"eps[3, 0]",-0.296,0.061,-0.406,-0.179,0.002,0.002,656.0,634.0,1.01
"eps[4, 0]",-0.239,0.063,-0.347,-0.117,0.002,0.002,722.0,916.0,1.0
"eps[5, 0]",-0.105,0.19,-0.432,0.236,0.007,0.005,814.0,606.0,1.0
"eps[6, 0]",-0.148,0.105,-0.346,0.035,0.003,0.003,931.0,849.0,1.0
"eps[7, 0]",-0.595,0.122,-0.836,-0.377,0.004,0.003,780.0,664.0,1.0
"eps[8, 0]",-0.023,0.118,-0.246,0.191,0.004,0.003,1115.0,774.0,1.0
"eps[9, 0]",-0.021,0.022,-0.061,0.02,0.001,0.001,453.0,680.0,1.01
"eps[10, 0]",0.054,0.03,-0.0,0.108,0.001,0.001,759.0,819.0,1.0
"eps[11, 0]",-0.033,0.024,-0.076,0.013,0.001,0.001,640.0,808.0,1.0
"eps[12, 0]",-0.025,0.017,-0.059,0.006,0.001,0.001,580.0,581.0,1.0
"eps[13, 0]",0.084,0.024,0.041,0.13,0.001,0.001,553.0,644.0,1.0
"eps[14, 0]",-0.01,0.114,-0.245,0.186,0.004,0.003,976.0,729.0,1.0
"eps[15, 0]",0.084,0.051,-0.011,0.177,0.002,0.002,525.0,567.0,1.0
"eps[16, 0]",0.053,0.04,-0.021,0.127,0.002,0.001,526.0,606.0,1.0
"eps[17, 0]",-0.092,0.041,-0.175,-0.02,0.002,0.002,469.0,779.0,1.0
"eps[18, 0]",-0.066,0.026,-0.117,-0.017,0.001,0.001,459.0,566.0,1.02
"eps[19, 0]",0.093,0.037,0.027,0.159,0.002,0.001,569.0,582.0,1.01
"eps[20, 0]",0.097,0.03,0.041,0.154,0.001,0.001,772.0,820.0,1.01
"eps[21, 0]",0.058,0.022,0.019,0.1,0.001,0.001,635.0,504.0,1.0
"eps[22, 0]",-0.006,0.028,-0.057,0.045,0.001,0.001,714.0,899.0,1.0
"eps[23, 0]",-0.335,0.114,-0.549,-0.125,0.004,0.003,1037.0,852.0,1.0
"eps[24, 0]",0.397,0.062,0.284,0.507,0.002,0.002,651.0,759.0,1.0
"eps[25, 0]",0.532,0.083,0.377,0.684,0.003,0.002,965.0,929.0,1.0
"eps[26, 0]",-0.176,0.062,-0.283,-0.051,0.002,0.002,660.0,641.0,1.0
"eps[27, 0]",-0.077,0.029,-0.134,-0.027,0.001,0.001,449.0,559.0,1.01
"eps[28, 0]",0.022,0.042,-0.057,0.1,0.002,0.001,396.0,482.0,1.01
"eps[29, 0]",0.03,0.022,-0.012,0.072,0.001,0.001,740.0,877.0,1.01
"eps[30, 0]",0.04,0.016,0.008,0.068,0.001,0.0,596.0,703.0,1.0
"eps[31, 0]",0.041,0.032,-0.019,0.098,0.002,0.001,443.0,575.0,1.0
"eps[32, 0]",0.49,0.109,0.298,0.704,0.003,0.002,1108.0,791.0,1.0
"eps[33, 0]",-0.194,0.051,-0.29,-0.102,0.003,0.002,380.0,498.0,1.0
"eps[34, 0]",0.162,0.057,0.048,0.267,0.002,0.002,634.0,676.0,1.0
"eps[35, 0]",-0.232,0.038,-0.302,-0.164,0.002,0.001,370.0,495.0,1.0
"eps[36, 0]",-0.027,0.043,-0.111,0.048,0.002,0.001,551.0,846.0,1.01
"eps[37, 0]",0.058,0.053,-0.037,0.159,0.002,0.001,1124.0,635.0,1.01
"eps[38, 0]",0.07,0.035,0.004,0.134,0.002,0.001,538.0,460.0,1.01
"eps[39, 0]",0.07,0.03,0.008,0.122,0.001,0.001,648.0,834.0,1.0
"eps[40, 0]",0.034,0.029,-0.02,0.092,0.001,0.001,842.0,832.0,1.0
"eps[41, 0]",0.078,0.102,-0.103,0.264,0.003,0.003,1244.0,807.0,1.0
"eps[42, 0]",0.074,0.034,0.009,0.136,0.001,0.001,892.0,739.0,1.0
"eps[43, 0]",0.229,0.036,0.165,0.304,0.001,0.001,885.0,863.0,1.0
"eps[44, 0]",0.016,0.034,-0.045,0.082,0.001,0.001,762.0,739.0,1.0
"eps[45, 0]",-0.022,0.05,-0.123,0.065,0.001,0.001,1635.0,892.0,1.0
"eps[46, 0]",0.016,0.084,-0.146,0.165,0.002,0.003,2326.0,755.0,1.01
"eps[47, 0]",0.006,0.029,-0.043,0.064,0.001,0.001,1835.0,520.0,1.01
"eps[48, 0]",0.05,0.064,-0.061,0.172,0.002,0.001,1380.0,887.0,1.0
"eps[49, 0]",0.134,0.059,0.03,0.246,0.002,0.001,1326.0,911.0,1.01
"eps[50, 0]",-0.226,0.09,-0.382,-0.048,0.003,0.002,1186.0,861.0,1.0
"eps[51, 0]",0.009,0.051,-0.089,0.1,0.002,0.001,871.0,857.0,1.0
"eps[52, 0]",-0.052,0.053,-0.15,0.044,0.001,0.001,1354.0,901.0,1.0
"eps[53, 0]",-0.331,0.043,-0.407,-0.246,0.001,0.001,1135.0,934.0,1.0
"eps_tform[0, 0]",-3.191,0.496,-4.102,-2.28,0.021,0.015,559.0,696.0,1.01
"eps_tform[0, 1]",-0.961,0.438,-1.739,-0.128,0.021,0.015,446.0,744.0,1.0
"eps_tform[0, 2]",-1.002,0.517,-1.907,0.017,0.021,0.015,592.0,758.0,1.0
"eps_tform[0, 3]",-0.7,0.254,-1.148,-0.202,0.008,0.006,985.0,733.0,1.0
"eps_tform[0, 4]",0.029,0.324,-0.615,0.609,0.01,0.009,1028.0,633.0,1.0
"eps_tform[0, 5]",0.303,0.872,-1.205,1.924,0.029,0.026,909.0,723.0,1.0
"eps_tform[0, 6]",-0.716,0.536,-1.704,0.279,0.018,0.013,925.0,902.0,1.0
"eps_tform[0, 7]",-3.296,0.741,-4.869,-2.039,0.026,0.018,855.0,692.0,1.0
