,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.189,0.047,0.094,0.266,0.002,0.002,447.0,630.0,1.0
Ds[0],34.754,0.047,34.668,34.839,0.002,0.002,373.0,543.0,1.01
RV[0],4.507,1.125,2.461,5.997,0.039,0.028,880.0,629.0,1.0
"eps[0, 0]",-0.289,0.046,-0.376,-0.208,0.002,0.001,553.0,698.0,1.0
"eps[1, 0]",-0.299,0.091,-0.47,-0.129,0.004,0.003,648.0,749.0,1.0
"eps[2, 0]",-0.256,0.076,-0.391,-0.111,0.003,0.002,567.0,860.0,1.01
"eps[3, 0]",-0.292,0.06,-0.397,-0.177,0.002,0.002,717.0,746.0,1.01
"eps[4, 0]",-0.234,0.061,-0.333,-0.098,0.002,0.002,855.0,790.0,1.0
"eps[5, 0]",-0.109,0.191,-0.441,0.258,0.006,0.005,922.0,862.0,1.0
"eps[6, 0]",-0.125,0.106,-0.321,0.073,0.003,0.002,1006.0,914.0,1.0
"eps[7, 0]",-0.588,0.124,-0.824,-0.366,0.005,0.004,585.0,591.0,1.0
"eps[8, 0]",-0.02,0.119,-0.244,0.203,0.004,0.003,1101.0,841.0,1.0
"eps[9, 0]",-0.02,0.023,-0.065,0.019,0.001,0.001,396.0,665.0,1.0
"eps[10, 0]",0.053,0.03,-0.008,0.106,0.001,0.001,636.0,621.0,1.0
"eps[11, 0]",-0.037,0.024,-0.078,0.013,0.001,0.001,589.0,696.0,1.0
"eps[12, 0]",-0.026,0.018,-0.059,0.009,0.001,0.001,483.0,401.0,1.0
"eps[13, 0]",0.087,0.024,0.044,0.131,0.001,0.001,465.0,541.0,1.01
"eps[14, 0]",-0.007,0.117,-0.247,0.199,0.004,0.003,851.0,780.0,1.01
"eps[15, 0]",0.092,0.05,0.009,0.194,0.002,0.001,658.0,689.0,1.0
"eps[16, 0]",0.043,0.04,-0.029,0.114,0.002,0.001,359.0,776.0,1.01
"eps[17, 0]",-0.097,0.039,-0.173,-0.026,0.002,0.001,512.0,731.0,1.0
"eps[18, 0]",-0.066,0.027,-0.112,-0.017,0.001,0.001,440.0,761.0,1.01
"eps[19, 0]",0.091,0.035,0.03,0.163,0.001,0.001,707.0,672.0,1.01
"eps[20, 0]",0.092,0.031,0.034,0.149,0.001,0.001,591.0,828.0,1.01
"eps[21, 0]",0.057,0.022,0.018,0.102,0.001,0.001,912.0,873.0,1.0
"eps[22, 0]",-0.004,0.029,-0.059,0.051,0.001,0.001,790.0,741.0,1.0
"eps[23, 0]",-0.328,0.117,-0.563,-0.126,0.003,0.002,1270.0,902.0,1.0
"eps[24, 0]",0.408,0.063,0.29,0.526,0.002,0.002,657.0,630.0,1.0
"eps[25, 0]",0.528,0.083,0.368,0.674,0.003,0.002,974.0,915.0,1.01
"eps[26, 0]",-0.18,0.058,-0.286,-0.075,0.002,0.002,675.0,621.0,1.01
"eps[27, 0]",-0.075,0.03,-0.132,-0.025,0.001,0.001,436.0,592.0,1.01
"eps[28, 0]",0.022,0.042,-0.057,0.097,0.002,0.001,459.0,724.0,1.01
"eps[29, 0]",0.025,0.023,-0.018,0.07,0.001,0.001,619.0,671.0,1.0
"eps[30, 0]",0.039,0.016,0.012,0.072,0.001,0.001,463.0,746.0,1.0
"eps[31, 0]",0.044,0.033,-0.023,0.099,0.002,0.001,437.0,544.0,1.01
"eps[32, 0]",0.497,0.111,0.291,0.697,0.003,0.002,1165.0,898.0,1.0
"eps[33, 0]",-0.186,0.052,-0.28,-0.09,0.003,0.002,382.0,452.0,1.01
"eps[34, 0]",0.154,0.056,0.047,0.256,0.002,0.002,554.0,680.0,1.0
"eps[35, 0]",-0.239,0.036,-0.307,-0.173,0.002,0.001,480.0,670.0,1.0
"eps[36, 0]",-0.023,0.042,-0.107,0.049,0.002,0.001,681.0,782.0,1.01
"eps[37, 0]",0.056,0.054,-0.039,0.155,0.002,0.001,1041.0,901.0,1.0
"eps[38, 0]",0.067,0.034,0.005,0.13,0.001,0.001,552.0,632.0,1.0
"eps[39, 0]",0.069,0.03,0.012,0.126,0.001,0.001,755.0,771.0,1.01
"eps[40, 0]",0.038,0.03,-0.018,0.095,0.001,0.001,770.0,838.0,1.0
"eps[41, 0]",0.088,0.1,-0.103,0.266,0.002,0.002,1891.0,777.0,1.0
"eps[42, 0]",0.086,0.035,0.016,0.146,0.001,0.001,808.0,603.0,1.0
"eps[43, 0]",0.222,0.036,0.154,0.292,0.001,0.001,926.0,761.0,1.01
"eps[44, 0]",0.013,0.034,-0.052,0.077,0.001,0.001,727.0,709.0,1.0
"eps[45, 0]",-0.025,0.05,-0.118,0.062,0.001,0.001,1641.0,925.0,1.0
"eps[46, 0]",0.017,0.09,-0.142,0.187,0.002,0.003,2247.0,654.0,1.0
"eps[47, 0]",0.005,0.028,-0.053,0.052,0.001,0.001,1606.0,758.0,1.0
"eps[48, 0]",0.048,0.065,-0.072,0.174,0.002,0.002,1412.0,828.0,1.01
"eps[49, 0]",0.134,0.058,0.029,0.24,0.002,0.001,1516.0,788.0,1.01
"eps[50, 0]",-0.224,0.092,-0.391,-0.052,0.003,0.002,1321.0,742.0,1.01
"eps[51, 0]",0.022,0.051,-0.083,0.106,0.002,0.001,820.0,931.0,1.01
"eps[52, 0]",-0.056,0.054,-0.149,0.045,0.001,0.001,1472.0,932.0,1.0
"eps[53, 0]",-0.33,0.043,-0.407,-0.248,0.001,0.001,1385.0,841.0,1.0
"eps_tform[0, 0]",-3.145,0.498,-4.09,-2.26,0.021,0.015,553.0,698.0,1.0
"eps_tform[0, 1]",-0.955,0.438,-1.803,-0.177,0.017,0.012,655.0,768.0,1.0
"eps_tform[0, 2]",-1.01,0.506,-1.913,-0.058,0.02,0.014,666.0,915.0,1.0
"eps_tform[0, 3]",-0.683,0.259,-1.15,-0.176,0.008,0.006,1009.0,735.0,1.0
"eps_tform[0, 4]",0.05,0.327,-0.576,0.651,0.011,0.008,914.0,599.0,1.01
"eps_tform[0, 5]",0.276,0.883,-1.395,1.81,0.027,0.023,1078.0,809.0,1.0
"eps_tform[0, 6]",-0.598,0.543,-1.536,0.489,0.017,0.012,982.0,818.0,1.0
"eps_tform[0, 7]",-3.281,0.756,-4.761,-1.946,0.031,0.022,616.0,599.0,1.0
"eps_tform[0, 8]",0.296,0.819,-1.125,1.938,0.024,0.023,1149.0,909.0,1.0
"eps_tform[0, 9]",-0.664,0.462,-1.515,0.205,0.023,0.016,401.0,553.0,1.0
"eps_tform[0, 10]",1.9,0.516,0.858,2.823,0.019,0.013,756.0,576.0,1.0
"eps_tform[0, 11]",-0.386,0.377,-1.092,0.316,0.017,0.012,491.0,607.0,1.0
"eps_tform[0, 12]",-0.23,0.366,-0.891,0.491,0.016,0.011,517.0,615.0,1.01
"eps_tform[0, 13]",0.864,0.359,0.182,1.507,0.017,0.013,430.0,393.0,1.01
