,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.072,0.032,0.002,0.124,0.002,0.001,432.0,512.0,1.0
Ds[0],34.967,0.031,34.913,35.027,0.002,0.001,399.0,581.0,1.01
RV[0],3.459,1.417,1.303,5.94,0.048,0.034,867.0,729.0,1.0
"eps[0, 0]",0.136,0.032,0.077,0.194,0.001,0.001,654.0,619.0,1.0
"eps[1, 0]",0.061,0.055,-0.038,0.164,0.002,0.001,762.0,712.0,1.0
"eps[2, 0]",-0.111,0.048,-0.201,-0.024,0.002,0.001,577.0,668.0,1.0
"eps[3, 0]",0.052,0.036,-0.016,0.114,0.001,0.001,808.0,632.0,1.0
"eps[4, 0]",-0.056,0.037,-0.13,0.01,0.002,0.001,501.0,633.0,1.0
"eps[5, 0]",-0.134,0.177,-0.464,0.184,0.006,0.004,946.0,832.0,1.01
"eps[6, 0]",-0.31,0.115,-0.507,-0.092,0.003,0.003,1093.0,833.0,1.0
"eps[7, 0]",-0.178,0.079,-0.32,-0.023,0.002,0.002,1273.0,900.0,1.0
"eps[8, 0]",0.056,0.112,-0.138,0.272,0.003,0.003,1257.0,678.0,1.0
"eps[9, 0]",0.053,0.025,0.002,0.095,0.001,0.001,396.0,576.0,1.0
"eps[10, 0]",-0.081,0.019,-0.116,-0.044,0.001,0.001,450.0,634.0,1.0
"eps[11, 0]",0.167,0.018,0.132,0.2,0.001,0.001,620.0,847.0,1.0
"eps[12, 0]",0.005,0.015,-0.025,0.033,0.001,0.001,426.0,699.0,1.01
"eps[13, 0]",0.036,0.019,0.002,0.072,0.001,0.001,510.0,711.0,1.01
"eps[14, 0]",0.032,0.138,-0.219,0.278,0.005,0.004,819.0,780.0,1.0
"eps[15, 0]",0.031,0.052,-0.066,0.122,0.002,0.001,705.0,791.0,1.0
"eps[16, 0]",0.047,0.031,-0.009,0.108,0.001,0.001,629.0,692.0,1.0
"eps[17, 0]",0.025,0.035,-0.042,0.086,0.002,0.001,458.0,693.0,1.01
"eps[18, 0]",-0.031,0.023,-0.076,0.011,0.001,0.001,417.0,657.0,1.01
"eps[19, 0]",-0.066,0.023,-0.107,-0.025,0.001,0.001,880.0,750.0,1.0
"eps[20, 0]",-0.038,0.021,-0.078,0.002,0.001,0.001,661.0,740.0,1.0
"eps[21, 0]",-0.095,0.016,-0.125,-0.066,0.001,0.0,746.0,796.0,1.01
"eps[22, 0]",-0.034,0.018,-0.07,-0.0,0.001,0.001,571.0,608.0,1.0
"eps[23, 0]",0.062,0.116,-0.155,0.281,0.004,0.003,1002.0,838.0,1.0
"eps[24, 0]",-0.165,0.053,-0.267,-0.066,0.002,0.001,719.0,633.0,1.0
"eps[25, 0]",-0.107,0.036,-0.175,-0.041,0.001,0.001,855.0,768.0,1.0
"eps[26, 0]",0.028,0.04,-0.046,0.104,0.002,0.001,642.0,625.0,1.01
"eps[27, 0]",0.025,0.032,-0.035,0.085,0.001,0.001,531.0,685.0,1.01
"eps[28, 0]",-0.209,0.025,-0.254,-0.161,0.001,0.001,805.0,737.0,1.0
"eps[29, 0]",0.106,0.019,0.069,0.139,0.001,0.0,777.0,714.0,1.01
"eps[30, 0]",-0.063,0.015,-0.093,-0.035,0.001,0.0,499.0,722.0,1.01
"eps[31, 0]",0.031,0.026,-0.022,0.077,0.001,0.001,541.0,663.0,1.0
"eps[32, 0]",0.135,0.13,-0.105,0.382,0.004,0.003,916.0,675.0,1.0
"eps[33, 0]",-0.038,0.063,-0.162,0.069,0.002,0.002,895.0,778.0,1.0
